Company,Table,Machine_1,Machine_2,Machine_3
Elektrowerkzeuge_GmbH_Eibenstock,V. Sonstige Pflichtangaben,,"3.496.509,50","2.753.709,50"
SMC_Deutschland_GmbH,AKTIVA,,"1.016.226,41","1.454.682,64"
PINK_GmbH_Vakuumtechnik,Aktiva,,"5.329.898,25","4.961.819,64"
Rekers_GmbH_Maschinen-_und_Anlagenbau,AKTIVA,,"102.641,00","119.025,00"
Jakob_Lach_GmbH_and_Co._KG,"Persönlich haftende Gesellschafterin der Jakob Lach GmbH & Co. KG ist die Jakob Lach
            Ver",,"860.889,35","887.185,83"
Dr._Boy_GmbH_and_Co._KG,Mitarbeiter,,"762.837,00","664.768,00"
GEORGII_KOBOLD_GmbH_and_Co._KG,"Aufwendungen und Erträge aus sich im Zeitablauf verändernden Zinssätzen und Restlaufzeiten
         ",,"205.942,96","224.295,87"
Hochrainer_GmbH,Aktiva,,"391.217,00","484.018,00"
LEMO_Maschinenbau_GmbH,Verantwortung des Abschlussprüfers für die Prüfung des Jahresabschlusses und des Lageberichts,,"455.849,00","495.553,00"
WOLFGANG_SCHMAHL_GmbH_and_Co._KG.,E.PROGNOSEBERICHT,,"7.247.338,50","6.058.438,00"
Zimmermann_Formenbau_GmbH,Aktiva,,2.493.703,2.971.789
Allstein_GmbH,"Neben dem Mietvertrag mit unserer Muttergesellschaft mit einer finanziellen Verpflichtung
          ",,"130.038,87","98.333,00"
Finke_Formenbau_GmbH,AKTIVA,,"1.343.852,54","1.326.770,54"
Wissler_and_Rademacher_GmbH_and_Co._KG,AKTIVA,,"1.855.228,50","1.583.779,50"
AMOVA_GmbH,Anhang - Entwicklung des Anlagevermögens,,"2.570,97","3.306,97"
TBi_Industries_GmbH,Sonstige finanzielle Verpflichtungen,,"629.847,68","582.518,50"
Schneider_and_Ozga_GmbH_and_Co._KG,Aktiva,,"1.637,00","2.014,00"
Kubat_Mechanik_GmbH,Aktiva,,"35.828,00","36.895,00"
Johannes_Huebner,Aktiva,,"982.282,00","954.150,00"
ER-WE-PA_GmbH,AKTIVA,,,"49.712,00"
KRS_-_SEIGERT_GmbH,Aktiva,,"5.462.514,66","6.340.526,62"
Sama_Maschinenbau_GmbH,Ergebnisverwendungsvorschlag,,"457.179,71","814.305,95"
RESA_Systems_GmbH,Auf die Angabe der Gesamtbezüge der Geschäftsführung wird gemäß § 286 Abs. 4 HGB verzichtet.,,"125,50","1.927,50"
ebu_Umformtechnik_GmbH,E. Ergebnisverwendungsvorschlag,,"94.684,00","104.859,00"
Krebs_and_Riedel_Schleifscheibenfabrik,AKTIVA,,"3.183.091,50","2.821.082,00"
Michael_Hoerauf_Maschinenfabrik_GmbH,Aktiva,,"2.560.904,00","3.711.087,00"
TPS-Technitube_Roehrenwerke_GmbH,AKTIVA,,"2.171.011,62","2.961.471,13"
Schroeder_Maschinenbau_GmbH_and_Co._KG,Aktiva,,"722.576,00","79.133,00"
SHB_Stahl-_und_Hartgusswerk_Boesdorf_GmbH,"Durch die noch anhaltende Corona-Pandemie und durch die Auswirkungen des kriegerischen
            R",,"2.840.489,36","3.238.446,65"
CEDS_DURADRIVE_GmbH,Außerbilanzielle Geschäfte,,"25.028,00","83.239,00"
PSM_Protech_GmbH_and_Co._KG,V. Sonstige Angaben,,"952.669,00","997.773,47"
Warmpresswerk_Max_B._Schachmann_GmbH,"Entgeltlich von Dritten erworbene immaterielle Vermögensgegenstände des Anlagevermögens
            ",,"2.144.867,00","2.340.161,00"
esmo_AG,Ukraine - Krieg,,"267.640,00","446.083,00"
Kern_and_Sohn_GmbH,"Die Verbindlichkeiten gegenüber Kreditinstituten sind in Höhe von
            EUR 1.624.961,00 (Vorj",,"4.106.517,00","4.575.854,00"
Koelle_GmbH_Werkzeugbau_und_Stanzerei,"Einschließlich des zu berücksichtigenden Gewinnvortrags ergibt sich ein Betrag von
            6.080",,"426.631,00","498.183,00"
PRG_Praezisions-Ruehrer_GmbH,Aktiva,,"810.211,00","945.659,50"
SAMAG_Machine_Tools_GmbH,Aktiva,,"54.449,71","88.965,73"
Christian_Dunkel_GmbH,Aktiva,,"543.503,00","903.650,00"
Reinhold_Mendritzki_Kaltwalzwerk_GmbH,Aktiva,,"18.132.881,23","10.393.266,00"
H._Huettenbrauck_Profil_GmbH,Aktiva,,"1.552.478,00","1.713.023,00"
MHS_Schneidetechnik_GmbH,Aktiva,,"122.559,00","152.844,00"
Gebhardt_-_Stahl_-_GmbH,Aktiva,,"1.558.320,50",
Modell-_und_Formenbau_Blasius_Gerg_GmbH,Aktiva,,"11.474.452,00","12.280.898,00"
SCHEUERMANN_+_HEILIG_GmbH,Aktiva,,"7.660.199,00","6.446.909,00"
Mueller_Modell-_und_Formenbau,AKTIVSEITE,,"2.812.881,94","3.745.944,44"
WELLGO_Geraetetechnik_GmbH,Aktiva,,"1.024.779,00","1.461.530,00"
Gruse_Maschinenbau_GmbH_and_Co._KG,"Rückstellungen für Pensionen und ähnliche Verpflichtungen werden auf der Grundlage
            versi",,"97.187,00","127.498,00"
