Company,Table,Machine_1,Machine_2,Machine_3
Elektrowerkzeuge GmbH Eibenstock,AKTIVSEITE,3496509,2753709,
SMC Deutschland GmbH,AKTIVA,1016226,1454682,
PINK GmbH Vakuumtechnik,Aktiva,5329898,4961819,
Rekers GmbH Maschinen- und Anlagenbau,AKTIVA,102641,119025,
Rite-Hite GmbH,AKTIVA,526852,562774,
Jakob Lach GmbH & Co. KG,AKTIVA,860889,887185,
Elb-Schliff Werkzeugmaschinen GmbH,AKTIVA,117185,168147,
Buss-SMS-Canzler GmbH,Aktiva,2533,1814,
Hochrainer GmbH,Aktiva,391217,484018,
LEMO Maschinenbau GmbH,AKTIVA,455849,495553,
WOLFGANG SCHMAHL GmbH & Co. KG.,Aktiva,7247338,6058,
Zimmermann Formenbau GmbH,Aktiva,2493703,2971789,
Finke Formenbau GmbH,AKTIVA,1343852,1326770,
Wissler & Rademacher GmbH & Co. KG,AKTIVA,1855228,1583779,
AMOVA GmbH,AKTIVA,2570,3306,
TBi Industries GmbH,Aktivseite,629847,582518,
Schneider & Ozga GmbH & Co. KG,Aktiva,1637,2014,
Kubat Mechanik GmbH,Aktiva,35828,36895,
Johannes Huebner,Aktiva,982282,954150,
ER-WE-PA GmbH,AKTIVA,49712,,
KRS - SEIGERT GmbH,Aktiva,5462514,6340526,
Sama Maschinenbau GmbH,Aktiva,457179,814,
RESA Systems GmbH,"Die Bilanzverhältnisse und -veränderungen zur Vorjahresperiode sind den nachfolgenden
            Da",2,,
Krebs & Riedel Schleifscheibenfabrik,AKTIVA,3183091,2821082,
Michael Hoerauf Maschinenfabrik GmbH,Aktiva,2560904,3711087,
TPS-Technitube Roehrenwerke GmbH,AKTIVA,2171011,2961471,
Schroeder Maschinenbau GmbH & Co. KG,Aktiva,722576,79133,
SHB Stahl- und Hartgusswerk Boesdorf GmbH,AKTIVA,2840489,3238,
PSM Protech GmbH & Co. KG,AKTIVSEITE,952669,998,
Warmpresswerk Max B. Schachmann GmbH,AKTIVA:,2144867,2340,
esmo AG,AKTIVSEITE,267640,446083,
PRG Praezisions-Ruehrer GmbH,Aktiva,810211,945659,
SAMAG Machine Tools GmbH,Aktiva,54449,88965,
Christian Dunkel GmbH,Aktiva,543503,903650,
Reinhold Mendritzki Kaltwalzwerk GmbH,Aktiva,18132881,10393266,
H. Huettenbrauck Profil GmbH,Aktiva,1552478,1713023,
MHS Schneidetechnik GmbH,Aktiva,122559,152844,
Gebhardt - Stahl - GmbH,Aktiva,1558320,,
Modell- und Formenbau Blasius Gerg GmbH,Aktiva,11474452,12280898,
SCHEUERMANN + HEILIG GmbH,Aktiva,7660199,6446909,
Mueller Modell- und Formenbau,AKTIVSEITE,2812881,3745944,
WELLGO Geraetetechnik GmbH,Aktiva,1024779,1461530,
Gruse Maschinenbau GmbH & Co. KG,Aktiva,97187,127,
Alfred Konrad Veith GmbH andCo. KG,AKTIVA,880799,1034299,
Zasche handling GmbH,AKTIVSEITE,188022,164528,
RINGSPANN GmbH,Aktiva,6606511,6456903,
Frigoblock GmbH,Aktiva,152718,136400,
