company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Eilhauer Maschinenbau GmbH,,NA,NA,"633.998,00","751.642,00",01.01.2021,31.12.2021,asked_company/Eilhauer_Maschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Kretschmar GmbH,,"26.824,00",2.,"2.426.110,00","2.197.532,50",01.01.2021,31.12.2021,asked_company/Kretschmar_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
THOFEHRN Hebezeuge GmbH & Co. KG,,NA,NA,"1.654.654,90","1.715.969,40",01.01.2021,31.12.2021,asked_company/THOFEHRN_Hebezeuge_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
GAteK-mbH,,NA,NA,"80.211,00","68.026,00",01.01.2021,31.12.2021,asked_company/GAteK-mbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ENTIAC GmbH,,NA,NA,"17.137,81","19.386,00",01.04.2021,31.03.2022,asked_company/ENTIAC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Sorst Streckmetall GmbH,,"432.563,92","565.947,91","445.615,16","574.821,95",01.01.2021,31.12.2021,asked_company/Sorst_Streckmetall_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
M�ller Industrie-Elektronik GmbH,,NA,NA,NA,NA,-,-,
G�nter Sievers Maschinenbau GmbH,,NA,NA,NA,NA,-,-,
Jaeger Zentrale Dienste GmbH + Co KG,,NA,NA,"8.100,00","800,00",01.01.2021,31.12.2021,asked_company/Jaeger_Zentrale_Dienste_GmbH_+_Co_KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
K�hlig Antriebstechnik GmbH,,NA,NA,NA,NA,-,-,
KOLLER Maschinen- und Anlagenbau GmbH,,NA,NA,NA,NA,01.01.2021,31.12.2021,asked_company/KOLLER_Maschinen-_und_Anlagenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Metallbau Burckhardt GmbH,,"2.373,00","6.343,00","143.334,00","165.987,00",01.01.2021,31.12.2021,asked_company/Metallbau_Burckhardt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ACKISION GmbH,,NA,NA,NA,NA,-,-,
Privatbrauerei Herrenhausen GmbH,,"1.270.502,04","1.461.751,04","4.067.667,08","4.302.178,21",01.10.2021,30.09.2022,asked_company/Privatbrauerei_Herrenhausen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.09.2022
G +F Strate GmbH,,NA,NA,"1.903.128,24","2.079.867,74",31.12.2021,29.06.2022,asked_company/G_+F_Strate_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Digital Reset UG,,NA,NA,NA,NA,-,-,
Eilhauer Maschinenbau GmbH,,NA,NA,"633.998,00","751.642,00",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/Eilhauer_Maschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Kretschmar GmbH,,NA,NA,"936.792,00","1.072.604,50",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/Kretschmar_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021_6
THOFEHRN Hebezeuge GmbH & Co. KG,,NA,NA,"1.654.654,90","1.715.969,40",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/THOFEHRN_Hebezeuge_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
GAteK-mbH,,NA,NA,"80.211,00","68.026,00",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/GAteK-mbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ENTIAC GmbH,,NA,NA,"17.137,81","19.386,00",01.04.2021,31.03.2022,Folder exists | Used local data | asked_company/ENTIAC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Sorst Streckmetall GmbH,,"2.473.752,04","1.983.120,20","3.430.487,36","3.395.948,39",31.12.2008,31.12.2008,Folder exists | Used local data | asked_company/Sorst_Streckmetall_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.12.2009_bis_zum_31.12.2009
Müller Industrie-Elektronik GmbH,,NA,NA,"22.693,00",25,01.01.2021,31.12.2021,asked_company/Mueller_Industrie-Elektronik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Günter Sievers Maschinenbau GmbH,,NA,NA,"1.855.286,36","1.801.830,49",01.01.2021,31.12.2021,asked_company/Guenter_Sievers_Maschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Jaeger Zentrale Dienste GmbH + Co KG,,NA,NA,"8.100,00","800,00",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/Jaeger_Zentrale_Dienste_GmbH_+_Co_KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Kählig Antriebstechnik GmbH,,"1.644.007,03","1.330.724,23","2.710.060,49","2.845.353,01",01.01.2021,31.12.2021,asked_company/Kaehlig_Antriebstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
KOLLER Maschinen- und Anlagenbau GmbH,,"74.929,00","114.153,00","1.287.012,68","1.762.960,88",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/KOLLER_Maschinen-_und_Anlagenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021_2
Metallbau Burckhardt GmbH,,NA,NA,"128.945,00","117.099,00",01.01.2021,31.12.2021,Folder exists | Used local data | asked_company/Metallbau_Burckhardt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021_2
ACKISION GmbH,,NA,NA,NA,NA,-,-,
Privatbrauerei Herrenhausen GmbH,,"24.765,00",0,"2.377.216,23",50,30.09.2011,26.11.2010,Folder exists | Used local data | asked_company/Privatbrauerei_Herrenhausen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_26.11.2010_bis_zum_30.09.2011
G +F Strate GmbH,,NA,NA,"202.726,00","188.329,50",31.12.2021,31.12.2021,Folder exists | Used local data | asked_company/G_+F_Strate_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021_2
Digital Reset UG,,NA,NA,NA,NA,-,-,
