company name,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Herbert Arnold GmbH & Co. KG,"568.515,00","655.809,00","1.659.730,00","2.004.848,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Herbert_Arnold_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Michael Hörauf Maschinenfabrik GmbH,"2.560.904,00","3.711.087,00",31.12.2021,31.12.2020,01.01.2021,31.12.2021,bundesanzeiger_local_data/Michael_Hoerauf_Maschinenfabrik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
AMOVA GmbH,"2.570,97","3.306,97","3.134.090,10","3.511.654,50",01.01.2017,31.12.2017,bundesanzeiger_local_data/AMOVA_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2017_bis_zum_31.12.2017
UW Pensions GmbH,NA,NA,NA,NA,01.01.2019,31.12.2019,bundesanzeiger_local_data/UW_Pensions_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
Wetzel GmbH,NA,NA,"974.554,00","1.111.575,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Wetzel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
AMS Arneburger,NA,NA,"473.945,00","635.055,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/AMS_Arneburger/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ABP Induction Systems GmbH,"338.108,27","394.125,86","883.154,12","908.202,30",01.04.2021,31.03.2022,bundesanzeiger_local_data/ABP_Induction_Systems_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
ARKU Maschinenbau GmbH,"2.335.019,50","2.352.776,50","5.072.404,50","5.240.052,35",01.01.2021,31.12.2021,bundesanzeiger_local_data/ARKU_Maschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SCHROEDER + BAUER Werkzeugbau,NA,NA,NA,NA,01.01.2018,31.12.2018,bundesanzeiger_local_data/SCHROEDER_+_BAUER_Werkzeugbau/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
Werner Bayer GmbH Maschinenfabrik,"130.183,00","168.198,00","1.416.919,37","1.569.080,37",01.01.2021,31.12.2021,bundesanzeiger_local_data/Werner_Bayer_GmbH_Maschinenfabrik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Herzog GmbH,NA,NA,"127.917,89","168.306,89",01.01.2021,31.12.2021,bundesanzeiger_local_data/Herzog_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Arnstädter Werkzeug- und Maschinenbau AG,"3.117.172,87","3.371.946,87","5.857.004,98","6.247.574,56",01.01.2021,31.12.2021,bundesanzeiger_local_data/Arnstaedter_Werkzeug-_und_Maschinenbau_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Laetus GmbH,333.489,476.406,753.208,1.010.460,01.01.2021,31.12.2021,bundesanzeiger_local_data/Laetus_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Metallwarenfabrik Reichertshofen,"17.046.962,38","15.960.681,14","31.954.529,83","29.773.137,76",01.01.2021,31.12.2021,bundesanzeiger_local_data/Metallwarenfabrik_Reichertshofen/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Amixon GmbH,NA,NA,"989.663,00","1.160.541,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Amixon_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
LENSER Filtration GmbH,NA,NA,NA,NA,-,-,
Meeraner Dampfkesselbau GmbH,"886.527,96","982.274,92","3.124.596,23","3.325.634,82",01.04.2021,31.03.2022,bundesanzeiger_local_data/Meeraner_Dampfkesselbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
HAZEMAG & EPR GmbH,"241.369,00","294.419,00","3.465.273,47","3.519.899,99",01.01.2021,31.12.2021,bundesanzeiger_local_data/HAZEMAG_and_EPR_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BREITNER GmbH & Co. KG,"679.079,28","35.400,50","2.097.108,59","1.071.355,81",01.01.2011,31.12.2011,bundesanzeiger_local_data/BREITNER_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2011_bis_zum_31.12.2011
atg Luther & Maelzer GmbH,"92.143,15",107.455,"20.944.784,66",12.382,25.06.2021,31.12.2021,bundesanzeiger_local_data/atg_Luther_and_Maelzer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_25.06.2021_bis_zum_31.12.2021
Pacoma GmbH,"1.950.600,87","1.123.156,28","2.920.667,58","2.065.751,45",01.01.2021,31.12.2021,bundesanzeiger_local_data/Pacoma_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
