company name,location
Bansbach easylift GmbH,Lorch
Bischoff Federnwerk,Staßfurt
Schnöring GmbH,Schalksmühle
Pieron GmbH,Bocholt
Johann Vitz GmbH & Co. KG,Velbert
H&R Spezialfedern GmbH & Co KG,Lennestadt
Dr. Werner Röhrs GmbH & Co. KG,Sonthofen
thema-Form- & Federntechnologie,Finnentrop
HAHN-Gasfedern GmbH,Aichwald
WEFORMA Dämpfungstechnik GmbH,Stolberg (Rheinland)
Emil Hembeck,Lüdenscheid
Brand OS GmbH & Co. KG,Fellbach
HEINRICH EIBACH GMBH,Finnentrop
VDF VOGTLAND Federntechnik GmbH,Hagen
Federnwerke J.P. Grueber GmbH & Co. KG,Hagen
J.N. Eberle Federnfabrik GmbH,Schwabmünchen
Hans Ziller GmbH,Böhmenkirch
Zimmermann Technische Federn GmbH,Leutersdorf
BREMA-WERK GmbH & Co. KG,Schwabach
Federnfabrik Dietz GmbH,Neustadt bei Coburg
Stumpp & Schüle GmbH,Beuren
Hirsch KG Fabrik technischer Federn,Marktredwitz
Federnfabrik Subtil GmbH,Reiskirchen
S & P Federnwerk GmbH & Co. KG,Nisterau
Schomäcker Federnwerk GmbH,Melle
Gutekunst + Co. KG,Metzingen
SOGEFI PC SUSPENSIONS Germany GmbH,Völklingen
Baumann GmbH,Lichtenstein
Kurt Kauffmann technische Federn GmbH,Weinstadt
Ernst W. Velleuer GmbH & Co. KG,Velbert
Alfred Weigel Federnfabrik GmbH & Co. KG,Chemnitz
CEFEG GmbH Federn-,Chemnitz
Bohnert GmbH,Hardt
GEBR. SCHMIDT FEDERNSPEZIALFABRIK GmbH,Wuppertal
Kurt Meder GmbH,Villingen-Schwenningen
Carl Haas GmbH Spiralfedernfabrik,Schramberg
