company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Bansbach easylift GmbH,Lorch,"1.722.606,45","1.762.329,48","2.678.500,56","2.844.036,59",01.01.2021,31.12.2021,bundesanzeiger_local_federn/Bansbach_easylift_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bischoff Federnwerk,Staßfurt,"4.537.527,00","4.922.702,00","4.991.085,00","5.498.827,00",01.01.2021,31.12.2021,bundesanzeiger_local_federn/Bischoff_Federnwerk/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Schnöring GmbH,Schalksmühle,NA,NA,NA,NA,01.01.2018,30.06.2018,bundesanzeiger_local_federn/Schnoering_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_30.06.2018
Pieron GmbH,Bocholt,"4.210.039,00","5.273.770,00","7.369.233,40","8.006.006,95",01.01.2021,31.12.2021,bundesanzeiger_local_federn/Pieron_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Johann Vitz GmbH & Co. KG,Velbert,NA,NA,NA,NA,-,-,
H&R Spezialfedern GmbH & Co KG,Lennestadt,NA,NA,NA,NA,-,-,
Dr. Werner Röhrs GmbH & Co. KG,Sonthofen,NA,NA,"268.123,70","223.639,77",01.01.2021,31.12.2021,bundesanzeiger_local_federn/Dr._Werner_Roehrs_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
thema-Form- & Federntechnologie,Finnentrop,"2.183.447,00","2.070.936,00","3.400.103,30","3.797.133,30",01.01.2020,31.12.2020,bundesanzeiger_local_federn/thema-Form-_and_Federntechnologie/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
HAHN-Gasfedern GmbH,Aichwald,"1.815.088,17","1.931.010,59","115.500,23","148.500,35",01.10.2021,30.09.2022,bundesanzeiger_local_federn/HAHN-Gasfedern_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.09.2022
WEFORMA Dämpfungstechnik GmbH,Stolberg (Rheinland),"2.709.039,00","2.303.563,00","6.732.206,24","6.248.076,08",01.01.2021,31.12.2021,bundesanzeiger_local_federn/WEFORMA_Daempfungstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Emil Hembeck,Lüdenscheid,"1.202.523,85","1.350.156,63","1.906.427,51","1.923.111,85",14.01.2022,14.02.2022,bundesanzeiger_local_federn/Emil_Hembeck/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
