company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Stanz- und Biegetechnik,Nürnberg,NA,NA,"650.280,79","737.468,79",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Stanz-_und_Biegetechnik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ditec Dichtungstechnik GmbH,Kitzingen,NA,NA,01.01.2021,31.12.2021,01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/ditec_Dichtungstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Albrecht Präzision KG,Weidenstetten,NA,NA,NA,NA,-,-,
Apeltrath & Rundt GmbH,Mülheim an der Ruhr,"332,00","739,00","29.022,68","56.032,68",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Apeltrath_and_Rundt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
APPEL GmbH,Lauda-Königshofen,"1.810.424,10","2.036.172,21","2.840.477,29","3.179.038,30",01.01.2020,31.12.2020,bundesanzeiger_local_komponenten/APPEL_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
Dr. Walter Ostermann DOB,Wuppertal,NA,NA,"507.047,00","774.533,45",01.01.2020,31.12.2020,bundesanzeiger_local_komponenten/Dr._Walter_Ostermann_DOB/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
Richard Neumayer GmbH,Hausach,"16.661.693,00","15.639.420,00","19.688.501,00","19.386.860,40",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Richard_Neumayer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
AWS Fertigungstechnik GmbH,Niedernhall,"2.165.895,00","1.746.636,00","8.310.881,69","8.267.535,69",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/AWS_Fertigungstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MPT Präzisionsteile GmbH Mittweida,Mittweida,"3.530.372,20","2.300.469,96","27.290.421,64","25.386.838,46",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/MPT_Praezisionsteile_GmbH_Mittweida/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Mack & Schneider GmbH,Filderstadt,"1.446.151,53","1.462.162,53","2.184.182,53","2.331.158,05",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Mack_and_Schneider_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Johann Hoefer & Sohn GmbH. & Co. KG.,Fürth,NA,NA,"524.881,50","729.004,50",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Johann_Hoefer_and_Sohn_GmbH._and_Co._KG./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Schimmel Filtertechnik GmbH & Co. KG,Adelsheim,NA,NA,NA,NA,-,-,
THALETEC GmbH,Thale,"581.851,00","380.846,00","1.599.594,16","1.179.631,38",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/THALETEC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Wilhelm Weber GmbH & Co. KG,Esslingen am Neckar,"2.384.137,00","2.218.940,00","10.412.467,66","11.011.783,28",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Wilhelm_Weber_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Andreas Schmitzer GmbH,Kelheim,NA,NA,"55.336,00","59.950,00",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Andreas_Schmitzer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Sebald Iso-Systeme GmbH & Co. KG,Sinzing,NA,NA,"2.412.901,51","2.293.507,51",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Sebald_Iso-Systeme_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
KUM GmbH & Co. KG,Erlangen,NA,NA,"351.309,82","348.912,82",01.07.2021,30.06.2022,bundesanzeiger_local_komponenten/KUM_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
W. Gröning GmbH & Co. KG,Rheine,"8.509.765,00","9.503.127,00","31.875.317,27","28.667.596,62",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/W._Groening_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Masterflex SE,Gelsenkirchen,NA,NA,NA,NA,-,-,
STAROFIT Klose GmbH & Co. KG,Ganderkesee,NA,NA,"595.905,50","724.460,50",01.02.2021,31.01.2022,bundesanzeiger_local_komponenten/STAROFIT_Klose_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.02.2021_bis_zum_31.01.2022
EMW filtertechnik GmbH,Diez,"217.510,78","103.194,78","534.523,68","226.729,40",01.01.2006,31.12.2006,bundesanzeiger_local_komponenten/EMW_filtertechnik_GmbH/Jahresabschluss_zum_31._Dezember_2006
Kohlstädt GmbH,Vlotho,"1.425.848,00","1.517.559,00","5.567.687,91","5.763.071,91",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Kohlstaedt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Berghoff GmbH & Co. KG,Drolshagen,"280.039,50","196.744,50","368.459,81","367.611,66",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Berghoff_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Clear Edge - Germany GmbH,Geldern,NA,NA,NA,NA,-,-,bundesanzeiger_local_komponenten/Clear_Edge_-_Germany_GmbH/Feststellung_Jahresabschluss_2021
Precision Dispensing Solutions,Hattersheim am Main,3.403.989,3.569.818,5.927.263,6.962.883,01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Precision_Dispensing_Solutions/Jahresabschluss_Jahresfinanzbericht_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Biersack Aerospace GmbH & Co. KG,Beilngries,NA,NA,NA,NA,01.07.2021,30.06.2022,bundesanzeiger_local_komponenten/Biersack_Aerospace_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
BIKAR-METALLE GmbH,Bad Berleburg,4.800,5.116,9.198,7.609,01.01.2020,31.12.2020,bundesanzeiger_local_komponenten/BIKAR-METALLE_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
Würz Fertigungstechnik GmbH,Driedorf,NA,NA,"962.945,00","1.627.222,00",01.01.2021,31.12.2021,bundesanzeiger_local_komponenten/Wuerz_Fertigungstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
