company name,location
Profex Kunststoffe GmbH,Uetze
Mouldtec Kunststoff - GmbH,Kaufbeuren
Altendorfer Kunststofftechnik GmbH,Neureichenau
RF Plast GmbH,Gunzenhausen
Indorama Ventures Polymers Germany GmbH,Hattersheim am Main
ttp Papenburg GmbH,Papenburg
Hagedorn Plastirol Deutschland GmbH,Osnabrück
Murtfeldt Kunststoffe GmbH & Co. KG,Dortmund
SCAN MODUL ORGASYSTEM GMBH,Leipzig
baumhueter extrusion GmbH,Rheda-Wiedenbrück
MEKU Kunststoff Technologie GmbH,Villingen-Schwenningen
Wefapress Beck + Co. GmbH,Vreden
NIKU GmbH,Nienburg/Weser
Ros GmbH & Co. KG,Coburg
Mast Kunststoffe GmbH,Bad Waldsee
AGRODUR Grosalski GmbH & Co. KG,Bad Berleburg
Böhm Plast-Technology GmbH,Neuenrade
KABO-PLASTIC GmbH,Hartheim am Rhein
M + S Silicon GmbH & Co. KG,Dortmund
emano Kunststofftechnik GmbH,Teterow
WIBO Kunststofftechnik GmbH,Meitingen
Terbrack Kunststoff GmbH & Co. KG,Vreden
Kubra GmbH,Oranienbaum-Wörlitz
SCHLIESSMEYER GmbH,Zweibrücken
Cetto Kunststoffverarbeitung GmbH,Saal an der Donau
Kunststofftechnik Krug GmbH,Breidenbach
Reinhard Bretthauer GmbH,Dillenburg OT Frohnhausen
GEMA - Technik GmbH,Bruckmühl
Hübner-KTB Oberflächentechnik GmbH,Marktoberdorf
Technoform Kunststoffprofile GmbH,Lohfelden
Ermet-Buck Kunststofftechnologie GmbH,Bad Windsheim
BWH-Bücker Kunststoffe GmbH & Co. KG,Emsdetten
Burkhardt Kunststoffverarbeitung GmbH,Vaihingen an der Enz
WEIDPLAS Germany GmbH,Treuen
Polyblend GmbH,Bad Sobernheim
Metak GmbH & Co. KG,Burgwald
Steinhaus GmbH,Mülheim an der Ruhr
Isovolta Gatex GmbH,Wackersdorf
satek gmbh,Salach
Plastium GmbH,Lauterbach
KKT Kaller Kunststoff Technik GmbH,Kall
Woco Kronacher Kunststoffwerk GmbH,Kronach
Renger Kunststoffspritzteile GmbH,Inzigkofen
epsotech Germany GmbH,Jülich
M. Faust Kunststoffwerk GmbH & Co. KG,Glandorf
Felsch Spritzguß GmbH,Werther (Westfalen)
Hepla-Kunststofftechnik GmbH & Co. KG,Homberg (Efze)
Eckerle Holding GmbH,Ottersweier
Amper-Plastik R. Dittrich GmbH & Co. KG,Dachau
RAMPF Machine Systems GmbH & Co. KG,Wangen
Wilkes GmbH,Schwelm
Coko-Werk GmbH & Co. KG,Bad Salzuflen
