company name,location
ABERLE Stahlguss GmbH,Hornberg
Mannstaedt GmbH,Troisdorf
Erich Ulrich GmbH & Co. KG,Bad Dürrheim
Rolf Körner GmbH,Niederzier
Schubert & Salzer GmbH,Ingolstadt
Auerhammer Metallwerk GmbH,Aue-Bad Schlema
Mannesmann Grossrohr GmbH,Salzgitter
Klaus Kuhn Edelstahlgießerei GmbH,Radevormwald
Badische Drahtwerke GmbH,Kehl
BRUGG German Pipe GmbH,Nordhausen
BRUGG Rohrsysteme GmbH,Wunstorf
BKB-Profiltechnik GmbH,Sundern (Sauerland)
Marsberger Metallguss Gebr. Cordt GmbH,Marsberg
Betafence GmbH,Schwalmtal
ESW Röhrenwerke GmbH,Eschweiler
Vornbäumen Stahlseile GmbH & Co. KG,Bad Iburg
Chr. Höver & Sohn GmbH & Co. KG,Lindlar
Drölle GmbH,Schwäbisch Hall
Hammerwerke Haspe,Hagen
Hermann Klincke J. H. Sohn GmbH & Co. KG,Altena
Salzgitter Mannesmann Grobblech GmbH,Mülheim an der Ruhr
B & F Metallbautechnik GmbH,Wildeshausen
Franken-Apparatebau GmbH,Oberhausen
KÖBO GmbH & Co. KG,Wuppertal
Haller Industriebau GmbH,Villingen-Schwenningen
DIEPA Drahtseilwerk Dietz GmbH & Co. KG,Neustadt bei Coburg
Geisselmann GmbH,Freiberg am Neckar
fischer Hydroforming GmbH,Menden (Sauerland)
Lindemann GmbH & Co. KG,Bünde
Karl Georg GmbH,Ingelbach
Kimmel GmbH & Co. KG,Simbach
Glave Gruppe GmbH,Norden
Friedrich Graepel Aktiengesellschaft,Löningen
Deutsche Nickel GmbH,Schwerte
Dillenberg GmbH & Co. KG,Düsseldorf
Eisenwerk Bassum GmbH,Bassum
Quadrus Metalltechnik GmbH,Schmidgaden
Dossmann GmbH,Walldürn
VTN Witten GmbH,Witten
DWK Drahtwerk Köln GmbH,Köln
Röhrenwerk Kupferdreh Carl Hamm GmbH,Essen
Ahlers Edelstahltechnik GmbH,Versmold
Welser Profile Deutschland GmbH,Bönen
Ervin Germany GmbH,Sprockhövel
EZM Edelstahlzieherei Mark GmbH,Wetter (Ruhr)
H&G Produktion und Service GmbH,Burbach
Butting Könnern GmbH,Könnern
Power-Cast Zitzmann GmbH & Co. KG,Stockheim
Filigran Trägersysteme GmbH & Co. KG,Leese
Energietechnik Essen GmbH,Essen
Hüntelmann GmbH & Co. KG,Werpeloh
Flanschenwerk Bebitz GmbH,Könnern OT Bebitz
LTI-Metalltechnik GmbH,Schöntal
Gontermann-Peipers GmbH,Siegen
JAHN GmbH,Tambach-Dietharz
Z & J Technologies GmbH,Düren
FRANK Walz- und Schmiedetechnik GmbH,Hatzfeld (Eder)
G ü l d e GmbH & Co KG Kaltwalzwerk,Kamen
Isselburg Guß- und Bearbeitung GmbH,Isselburg
INMET Stahl GmbH & Co. KG,Bochum
THIELE GmbH + Co. KG,Iserlohn
Gebhardt - Stahl - GmbH,Werl
Otto Junker GmbH,Simmerath
R. Kind Beteiligungs GmbH,Lindlar
H. Hüttenbrauck Profil GmbH,Fröndenberg/Ruhr
Kilian Tiefbohren GmbH,Langenfeld (Rheinland)
Heidenreich & Harbeck GmbH,Mölln
Heinz Gothe GmbH & Co. KG,Mönchengladbach
Drahtwerk St. Ingbert GmbH,St. Ingbert
Kemper GmbH,Vreden
