company name,location
ZMB BRAUN GmbH,Friedrichshafen
Refratechnik Holding GmbH,München
Weerulin GmbH,Mülheim an der Ruhr
Refratechnik Ceramics GmbH,Melle
Aug. Gundlach KG,Großalmerode
IMERYS ZSCHORNEWITZ GmbH,Gräfenhainichen
QSIL Ingenieurkeramik GmbH,Frankenblick
KERAFOL Keramische Folien GmbH,Eschenbach i.d.OPf.
KOBER Steinwiesen GmbH & Co. KG,Steinwiesen
Minteq International GmbH,Duisburg
Chemikalien-Gesellschaft,Dortmund
Elektrokeramik Sonneberg GmbH,Sonneberg
QSIL Ceramics GmbH,Auma-Weidatal
Dörentrup Feuerfestprodukte,Dörentrup
Sembach GmbH & Co. KG,Lauf an der Pegnitz
Meissen Keramik GmbH,Meißen
MAMMUT - WETRO Schmelztiegelwerk GmbH,Puschwitz
CERA SYSTEM Verschleißschutz GmbH,Hermsdorf
Porzellanfabrik Hermsdorf GmbH,Hermsdorf
MOESCHTER Group GmbH,Dortmund
Morgan Advanced Materials,Waldkraiburg
Rösler CeramInno GmbH,Tettau
Sigmund Lindner GmbH,Warmensteinach
HiPer Ceramics GmbH,Oberkrämer
hofmann CERAMIC GmbH,Breitscheid
HAGENBURGER Feuerfeste Produkte GmbH,Grünstadt
Hessische Schmelztiegel und Schamott-,Großalmerode
VGT-DYKO GmbH,Großalmerode
Morgan Molten Metal Systems GmbH,Berkatal
VOGT GmbH,Henfenfeld
