company name,location
Walter Götz GmbH,Balingen
Jaeckel Modell- und Formenbau GmbH,Hohenhameln
a.i.m. all in metal GmbH,Pockau-Lengefeld
W.H. Augenstein GmbH,Keltern
Bacher GmbH Metallverarbeitung,Bad Feilnbach
Heimberger GmbH,Oberderdingen
RS-Technik CAD-CAM GmbH,Emmingen-Liptingen
Agathon GmbH & Co. KG,Bottrop
JELBA Werkzeug- und Maschinenbau,Hauzenberg
Hermann Benkert,Niederlauer
Alfred Konrad Veith GmbH &Co. KG,Öhringen
ASTOR Schneidwerkzeuge GmbH,Storkow (Mark)
Johs. Boss GmbH & Co. KG,Albstadt
Braunform GmbH,Bahlingen am Kaiserstuhl
HEBRA GmbH,Alfeld
CONCAD GmbH,Walldürn
ASB-Anlagentechnik GmbH,Saerbeck
Meissner AG Modell- und Werkzeugfabrik,Biedenkopf
Carl Hilzinger-Thum GmbH & Co. KG,Tuttlingen
ACTech GmbH,Freiberg
August Beck GmbH & Co. KG,Winterlingen
BKM Präzisionswerkzeuge,Schwabach
Fred Sieder & Co. GmbH,Schleusegrund OT Schönbrunn
AWEBA Werkzeugbau GmbH Aue,Aue-Bad Schlema
ITW Dynatec GmbH,Mettmann
WESKO GmbH,Stollberg/Erzgeb.
Erwes Reifenberg GmbH & Co. KG,Finnentrop
Christian Dunkel GmbH,Berlin
Fischer GmbH & Co. KG,Sinsheim
Fischer GmbH,Geringswalde
Ebmeyer Werkzeugbau GmbH,Gütersloh
Frank Produktgestaltung GmbH,Cadolzburg
HAVLAT Präzisionstechnik GmbH,Zittau
HFM Modell- und Formenbau GmbH,Ostrach
Pfletschinger & Gauch Betriebs-GmbH,Plochingen
Diamant - Gesellschaft Tesch GmbH,Ludwigsburg
Gindele GmbH,Neuhausen (Enzkreis)
PLS GmbH,Heilbronn
POLAR-FORM Werkzeugbau GmbH,Lahr/Schwarzwald
Dornbusch GmbH,Buchholz (Westerwald)
Grunewald GmbH & Co. KG,Bocholt
Color Metal GmbH,Heitersheim
Werkzeugbau Berger GmbH,Salzkotten
SIEBER Forming Solutions GmbH,Henstedt-Ulzburg
Alfred Härer GmbH,Lorch
Draxinger GmbH,Hauzenberg
HK Werkzeug- und Vorrichtungsbau GmbH,Rehlingen-Siersburg
Kennametal Deutschland GmbH,Rosbach v. d. Höhe
Henkel Modellbau GmbH,Biedenkopf
HEMA,Jena
Hesse Stanzwerkzeuge GmbH,Alfeld (Leine)
Betek GmbH & Co. KG,Aichhalden
TKW Molding GmbH,Blankenhain
Hippold GmbH,Kraftisried
Kummer GmbH & Co. KG,Ötisheim
Mieruch & Hofmann GmbH Werkzeugbau,Limbach-Oberfrohna
Finke Formenbau GmbH,Altenbeken
FKT Formenbau und Kunststofftechnik GmbH,Triptis
FERRATEC Werkzeug-,Hösbach
FMF-WWF Werkzeug- und Prototypenbau GmbH,Hardthausen am Kocher
ZETKA Stanz- und Biegetechnik,Füssen
SULO Metall Systeme GmbH,Stadtlohn
Knebel Metalltechnik GmbH,Frankfurt am Main
PASS Stanztechnik AG,Creußen
Keller GmbH,Alsdorf
Kiefer Werkzeugbau GmbH,Schwaigern
Ackermann & Hertel GmbH,St. Ingbert
Hoffner GmbH,Waghäusel
Ernst Klimmer,Burgau
