company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Walter Götz GmbH,Balingen,"12,00","12,00","13.418,51","12.882,01",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/Walter_Goetz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Jaeckel Modell- und Formenbau GmbH,Hohenhameln,NA,NA,"82.269,17","102.958,67",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/Jaeckel_Modell-_und_Formenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
a.i.m. all in metal GmbH,Pockau-Lengefeld,"10.213.516,50","11.811.006,50","59.734.522,71","55.470.356,13",31.12.2021,31.12.2020,bundesanzeiger_local_werkzeugbau/a.i.m._all_in_metal_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
W.H. Augenstein GmbH,Keltern,"917.628,00","857.794,00","1.300.212,53","1.137.926,53",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/W.H._Augenstein_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bacher GmbH Metallverarbeitung,Bad Feilnbach,"1.465.768,00","1.999.136,00","8.108.022,37","8.866.062,77",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/Bacher_GmbH_Metallverarbeitung/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Heimberger GmbH,Oberderdingen,"4.239.182,00","4.288.577,00","5.484.760,00","5.319.709,00",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/Heimberger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
RS-Technik CAD-CAM GmbH,Emmingen-Liptingen,NA,NA,NA,NA,-,-,
Agathon GmbH & Co. KG,Bottrop,"2.982.542,03","2.547.139,25","4.673.873,50","4.219.326,08",01.07.2021,30.06.2022,bundesanzeiger_local_werkzeugbau/Agathon_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
JELBA Werkzeug- und Maschinenbau,Hauzenberg,NA,NA,"207.127,00","223.699,00",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/JELBA_Werkzeug-_und_Maschinenbau/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hermann Benkert,Niederlauer,NA,NA,"352.094,06","391.866,06",01.01.2021,31.12.2021,bundesanzeiger_local_werkzeugbau/Hermann_Benkert/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
