company name,location
Wera Werkzeuge GmbH,Wuppertal
DIEWE GmbH,Kissing
ADGA - Adolf Gampper GmbH,Mainhardt
Albert Kerbl GmbH,Buchbach
Alfred Jäger GmbH,Ober-Mörlen
Franz Josef Bauer GmbH Meßwerkzeuge.,Laufen
Wilh. Becker GmbH & Co. KG,Remscheid
BEHRINGER EISELE GmbH,Weilheim an der Teck
Süddeutsche Bürsten- und Kunststoffabrik,Leonberg
August Berghaus GmbH & Co. KG,Remscheid
Wilhelm Bilstein GmbH & Co. KG,Overath
Stanley Black & Decker Deutschland GmbH,Idstein
August Blecher KG,Remscheid
Wilhelm Blessing GmbH & Co. KG,Ostfildern
HBS Bolzenschweiss-Systeme GmbH & Co. KG,Dachau
Bohle AG,Haan
PREBENA Wilfried Bornemann GmbH & Co. KG,Schotten
Idealspaten - Bredt GmbH & Co KG,Herdecke
Bayerische Maß-Industrie,Hersbruck
SOLIDA-Werk Werkzeugtechnik,Remscheid
Tiemann Schleif- & Werkzeugtechnik,Osnabrück
Joh. Clouth GmbH & Co. KG,Hückeswagen
Caisley International GmbH,Bocholt
Otto Dieterle Spezialwerkzeuge GmbH,Rottweil
STANNOL GmbH & Co. KG,Velbert
GEDORE Automotive GmbH,Donaueschingen
Paul Dümmel Werkzeugfabrik GmbH,Hülben
Cimco Werkzeugfabrik,Remscheid
AWI Eberlein GmbH,Langfurth
EMDE Bohrtechnik Nentershausen GmbH,Nentershausen
Kirchhoff Witte GmbH,Iserlohn
Struers GmbH,Willich
SFS intec GmbH,Oberursel (Taunus)
DALEX GmbH & Co. KG,Wissen
HaFu Werkzeugfabrik H. J. Fuhrmann GmbH,Breckerfeld
Heinrich Kreeb GmbH & Co. KG,Göppingen
DreBo Werkzeugfabrik GmbH,Altshausen
Positec Germany GmbH,Bisingen
Wiha Group GmbH,Schonach im Schwarzwald
Elektrowerkzeuge GmbH Eibenstock,Eibenstock
HOSCH Fördertechnik Recklinghausen GmbH,Recklinghausen
Wintersteiger Sägen GmbH,Arnstadt
falch gmbh,Blaubeuren
Stella Keramik GmbH,Schwarzenbach a.d.Saale
Dr. Kaiser Diamantwerkzeuge,Celle
Ott & Heugel GmbH,Ötisheim
FELO-Werkzeugfabrik GmbH,Neustadt (Hessen)
Max Hilscher GmbH,Dornstadt
Kronen-Hansa-Werk GmbH & Co. KG,Lohne (Oldenburg)
Johne & Co. Präzisionswerkzeuge GmbH,Dorsten
Frank Sieber GmbH tools and design,Hitzacker (Elbe)
Bühnen GmbH & Co. KG,Bremen
FLEX-Elektrowerkzeuge GmbH,Steinheim an der Murr
Jäkel GmbH & Co. KG,Diemelstadt
JÖST GmbH,Wald-Michelbach
Altendorf GmbH,Minden
Karnasch Professional Tools GmbH,Heddesheim
MK-Tools-Service GmbH,Hauzenberg
Günter Effgen GmbH,Herrstein
MPK Special Tools GmbH,Schwäbisch Gmünd
PLANETA-Hebetechnik GmbH,Herne
Kleinbongartz & Kaiser oHG,Hilden
Spezialwerkzeuge GmbH Zella-Mehlis,Zella-Mehlis
Festool GmbH,Wendlingen am Neckar
Hartmetall-Werkzeugfabrik Paul Horn GmbH,Tübingen
Techtronic Industries GmbH,Winnenden
Gleason Cutting Tools GmbH,Eisenbach (Hochschwarzwald)
Heller Tools GmbH,Dinklage
Altrad Lescha Atika GmbH,Burgau
Hürner Schweißtechnik GmbH,Mücke
Lessmann GmbH,Oettingen in Bayern
SOLO Kleinmotoren GmbH,Sindelfingen
Zico Zimmermann GmbH & Co. KG,Remscheid
Hartmetallwerkzeugfabrik,Schwendi
WEFA Singen GmbH,Singen (Hohentwiel)
