company name,location
Bikar-Aluminium GmbH,Korbußen
BE-Aluschmiede GmbH,Geisingen
Aluminium Oxid Stade GmbH,Stade
ALUCOM AG,Ludwigshafen
AluTec GmbH,Fürth
Rheinfelden Alloys GmbH & Co. KG,Rheinfelden (Baden)
BAGR Berliner Aluminiumwerk GmbH,Berlin
Aluminium-Werke Wutöschingen AG & Co. KG,Wutöschingen
FERTINGER TUBES GmbH,Remscheid
Aluminiumwerk Unna Aktiengesellschaft,Unna
COIL GmbH,Bernburg (Saale)
HMT Höfer Metall Technik GmbH & Co. KG,Hettstedt
MWS Friedrichshafen GmbH,Friedrichshafen
Almet GmbH,Remshalden
Alpha Metall GmbH,Andernach
Nussbaum Frankenberg GmbH,Frankenberg/Sachsen
Weseralu GmbH & Co. KG,Minden
Gerhardi AluTechnik GmbH,Lüdenscheid
Hydro Extrusion Offenburg GmbH,Offenburg
ALUTECTA Aluminiumprodukte GmbH & Co. KG,Kirchberg (Hunsrück)
Richter Aluminium GmbH,Schutterwald
Hille & Müller GmbH,Düsseldorf
Hydro Aluminium Gießerei Rackwitz GmbH,Rackwitz
