company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Bikar-Aluminium GmbH,Korbußen,2.661,2.408,8.471,8.973,01.09.2020,31.08.2021,bundesanzeiger_local_aluminiumwerke/Bikar-Aluminium_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.09.2020_bis_zum_31.08.2021
BE-Aluschmiede GmbH,Geisingen,6.307.037,7.665,6.789.854,8.177,01.01.2021,31.12.2021,bundesanzeiger_local_aluminiumwerke/BE-Aluschmiede_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Aluminium Oxid Stade GmbH,Stade,"59.870.412,00","61.511.716,00","86.978.383,16","89.634.071,56",01.01.2018,31.12.2018,bundesanzeiger_local_aluminiumwerke/Aluminium_Oxid_Stade_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
ALUCOM AG,Ludwigshafen,NA,NA,NA,NA,01.10.2019,31.12.2019,bundesanzeiger_local_aluminiumwerke/ALUCOM_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2019_bis_zum_31.12.2019
AluTec GmbH,Fürth,NA,NA,"1.479.440,00","1.620.567,00",01.01.2021,31.12.2021,bundesanzeiger_local_aluminiumwerke/AluTec_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Rheinfelden Alloys GmbH & Co. KG,Rheinfelden (Baden),"7.242.843,00","6.016.905,00","9.626.739,82","9.472.412,56",31.12.2009,31.12.2009,bundesanzeiger_local_aluminiumwerke/Rheinfelden_Alloys_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2009_bis_zum_31.12.2009
BAGR Berliner Aluminiumwerk GmbH,Berlin,"10.207.072,63","2.278.008,63","13.316.061,48","12.694.918,24",01.01.2021,31.12.2021,bundesanzeiger_local_aluminiumwerke/BAGR_Berliner_Aluminiumwerk_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Aluminium-Werke Wutöschingen AG & Co. KG,Wutöschingen,"10.734.692,24","11.592.514,59","26.939.974,85","26.720.258,75",01.01.2017,31.12.2017,bundesanzeiger_local_aluminiumwerke/Aluminium-Werke_Wutoeschingen_AG_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2017_bis_zum_31.12.2017
FERTINGER TUBES GmbH,Remscheid,"2.084.292,55","2.509.961,79","3.362.845,15","4.156.238,84",01.10.2020,30.09.2021,bundesanzeiger_local_aluminiumwerke/FERTINGER_TUBES_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2020_bis_zum_30.09.2021
Aluminiumwerk Unna Aktiengesellschaft,Unna,4.243,4.894,32.753,31.062,01.01.2021,31.12.2021,bundesanzeiger_local_aluminiumwerke/Aluminiumwerk_Unna_Aktiengesellschaft/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
