company name,location
Aicher Präzisionstechnik GmbH & Co. KG,Königsheim
ETG ELASTOMER-TECHNIK GEDERN GmbH,Gedern
Joyson Safety Systems Aschaffenburg GmbH,Aschaffenburg
e:fs TechHub GmbH,Gaimersheim
KYOCERA AVX Components (Werne) GmbH,Werne
Haweka Aktiengesellschaft,Burgwedel
SMARTRAC Specialty GmbH,Reichshof
Cohline GmbH Schlauchleitungssysteme,Dillenburg
Hanns Glass GmbH & Co. KG,Meuselwitz
Banner Batterien Deutschland GmbH,Allershausen
odelo GmbH,Stuttgart
Musashi Bad Sobernheim GmbH & Co. KG,Bad Sobernheim
SCHERDEL Wiesauplast Deutschland GmbH,Wiesau
Schuster Kunststofftechnik GmbH,Waltershausen
VOSS Automotive Valves and Actuators GmbH,Gründau
FORMTEIL- UND SCHRAUBENWERK,Finsterwalde
Magna Mirrors Schleiz GmbH,Schleiz
H+E Molding Solutions GmbH,Ittlingen
PTO PolymerTechnik Ortrand GmbH,Ortrand
HS-Schoch GmbH,Lauchheim
Beutlhauser GmbH & Co. KG,Salzweg
Behr-Hella/Faurecia,Lippstadt
Henniges Automotive GmbH & Co. KG,Rehburg-Loccum
ABT Sportsline GmbH,Kempten (Allgäu)
GEDIA Gebrüder Dingerkus GmbH,Attendorn
Melexis GmbH,Erfurt
Ricardo GmbH,Schwäbisch Gmünd
Dieter Braun GmbH,Bayreuth
Craemer GmbH,Herzebrock-Clarholz
Saxonia Umformtechnik GmbH,Göppingen
Alutrim Europe GmbH,Kyritz
ALUCA GmbH,Rosengarten
Bruker-Spaleck GmbH,Hardt
JOPP Holding GmbH,Bad Neustadt an der Saale
ACPS Automotive GmbH,Ingersheim
Magna Spiegelsysteme GmbH,Assamstadt
Innomotive Systems Hainichen GmbH,Hainichen
SCHWEIZER ELECTRONIC AG,Schramberg
Gestamp Griwe Westerburg GmbH,Westerburg
CP Tech GmbH,Büren
Antolin Straubing GmbH,Straubing
CMC Klebetechnik GmbH,Frankenthal
Molex Elektronik GmbH,Ettlingen
Hornschuch Stolzenau GmbH,Stolzenau
LWB Steinl GmbH & Co. KG,Altdorf
SODECIA Safety & Mobility,Attendorn
FEUER powertrain GmbH & Co. KG,Nordhausen
SKF ECONOMOS Deutschland GmbH,Bietigheim-Bissingen
CCL Design Stuttgart GmbH,Ehningen
Weber GmbH & Co. KG,Dillenburg
RaceChip Chiptuning GmbH & Co KG,Göppingen
BCS Automotive Interface Solutions GmbH,Radolfzell am Bodensee
Fujikura Automotive Europe GmbH,Wolfsburg
Bader GmbH & Co. KG,Göppingen
Bosch Mahle Turbo Systems,Stuttgart
Rhodius GmbH,Weißenburg in Bayern
MVO GmbH,Schwäbisch Gmünd
IHI Charging Systems International GmbH,Amt Wachsenburg OT Ichtershausen
Hilite Germany GmbH,Marktheidenfeld
cellcentric GmbH & Co. KG,Kirchheim unter Teck
Pulse Electronics GmbH,München
Sortimo International GmbH,Zusmarshausen
Hanon Systems Deutschland GmbH,Kerpen
Umicore Galvanotechnik GmbH,Schwäbisch Gmünd
Otto Vollmann GmbH & Co KG,Gevelsberg
SYNTEKS Umformtechnik GmbH,Zwönitz
AZ Ausrüstung und Zubehör,Hattingen
DBW Advanced Fiber Technologies GmbH,Bovenden
ViGEM GmbH,Karlsruhe
Finow Automotive GmbH,Eberswalde
SCHÖNEWEISS & CO GmbH,Hagen
Drexler Automotive GmbH,Salzweg
BIA Kunststoff- und Galvanotechnik,Solingen
Ruhrtaler Gesenkschmiede,Witten
EuropTec GmbH,Goslar
High Precision Components Witten GmbH,Witten
ELDISY GmbH,Gardelegen
ELEKTRA GmbH,Schalkau
iwis smart connect GmbH,Rieden am Forggensee
ClimAir PLAVA-Kunststoffe GmbH,Karben
ELWEMA Automotive GmbH,Ellwangen (Jagst)
Brembo SGL Carbon Ceramic Brakes GmbH,Meitingen
ACTIVLINE Autozubehör GmbH & Co. KG,Simmern
Dr. Freist Automotive Bielefeld GmbH,Bielefeld
Salzgitter Hydroforming GmbH & Co. KG,Crimmitschau
TECLAC Werner GmbH,Fulda
NIFCO Germany GmbH,Weißenburg in Bayern
voestalpine Automotive Components,Dettingen an der Erms
IMR Deutschland GmbH,Peine
Wagon Automotive Nagold GmbH,Nagold
Volta Kraftfahrzeug-Elektrozubehör-,Malsch
Hänsch GmbH,Herzlake
Rollax GmbH & Co. KG,Bad Salzuflen
Superior Industries Leichtmetallräder,Bad Dürkheim
WIHAG Fahrzeugbausysteme GmbH,Bielefeld
Witzenmann Hamburg GmbH,Stapelfeld
Sensata Technologies GmbH,Berlin
Antolin Massen GmbH,Massen-Niederlausitz
MÖVE Fahrzeugsitze GmbH,Mühlhausen/Thüringen
Federal-Mogul Bremsbelag GmbH,Glinde
WAFA Germany GmbH,Augsburg
Pefra Aktiengesellschaft,Eching
Knott GmbH,Eggstätt
KBE Elektrotechnik GmbH,Berlin
AURORA Konrad G. Schulz GmbH & Co. KG,Mudau
smk systeme metall kunststoff,Filderstadt
Metaldyne GmbH,Zell am Harmersbach
HKR Automotive GmbH,Kupferzell
FKT GmbH,Pförring
Thun Automotive GmbH,Gevelsberg
hofer Aktiengesellschaft,Nürtingen
Timken GmbH,Düsseldorf
