company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Aicher Präzisionstechnik GmbH & Co. KG,Königsheim,NA,NA,NA,NA,-,-,
ETG ELASTOMER-TECHNIK GEDERN GmbH,Gedern,"2.573.955,73","1.889.213,43","9.002.038,18","7.372.932,45",01.01.2020,31.12.2020,bundesanzeiger_local_data_autozulieferer/ETG_ELASTOMER-TECHNIK_GEDERN_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
Joyson Safety Systems Aschaffenburg GmbH,Aschaffenburg,NA,NA,"43.423,37","1.013,00",22.02.2018,31.05.2021,bundesanzeiger_local_data_autozulieferer/Joyson_Safety_Systems_Aschaffenburg_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
e:fs TechHub GmbH,Gaimersheim,NA,NA,"2.110.165,00","2.522.074,00",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/e:fs_TechHub_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
KYOCERA AVX Components (Werne) GmbH,Werne,NA,NA,NA,NA,01.04.2021,31.03.2022,bundesanzeiger_local_data_autozulieferer/KYOCERA_AVX_Components_(Werne)_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Haweka Aktiengesellschaft,Burgwedel,"2.871.693,49","335.503,84","2.074.277,44","2.104.737,90",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Haweka_Aktiengesellschaft/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SMARTRAC Specialty GmbH,Reichshof,"3.189.300,28","3.119.188,65","6.192.092,71","6.051.400,77",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/SMARTRAC_Specialty_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Cohline GmbH Schlauchleitungssysteme,Dillenburg,"2.003.129,00",3.327,"42.720.253,11",41.331,01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Cohline_GmbH_Schlauchleitungssysteme/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hanns Glass GmbH & Co. KG,Meuselwitz,"2.071.440,00","2.361.786,00","5.034.112,06","5.437.408,06",01.01.2018,31.12.2018,bundesanzeiger_local_data_autozulieferer/Hanns_Glass_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
Banner Batterien Deutschland GmbH,Allershausen,NA,NA,"984.065,95","1.035.745,30",01.04.2021,31.03.2022,bundesanzeiger_local_data_autozulieferer/Banner_Batterien_Deutschland_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
odelo GmbH,Stuttgart,12.242,1.114.186,725.746,3.396.201,01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/odelo_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Musashi Bad Sobernheim GmbH & Co. KG,Bad Sobernheim,"4.659.804,00","5.562.276,00","9.956.630,48","11.904.516,33",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Musashi_Bad_Sobernheim_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SCHERDEL Wiesauplast Deutschland GmbH,Wiesau,NA,NA,NA,NA,-,-,
Schuster Kunststofftechnik GmbH,Waltershausen,"1.632.995,02","1.972.981,42","4.229.590,12","3.822.422,15",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Schuster_Kunststofftechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
VOSS Automotive Valves and Actuators GmbH,Gründau,NA,NA,NA,NA,-,-,
FORMTEIL- UND SCHRAUBENWERK,Finsterwalde,"8.511.884,00","8.058.041,37","12.058.368,80","10.889.659,67",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/FORMTEIL-_UND_SCHRAUBENWERK/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Magna Mirrors Schleiz GmbH,Schleiz,"771.828,00",854,"3.387.056,00",3.590,01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Magna_Mirrors_Schleiz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
H+E Molding Solutions GmbH,Ittlingen,"455.158,00","557.802,00","1.467.782,20","1.764.515,50",01.01.2020,31.12.2020,bundesanzeiger_local_data_autozulieferer/H+E_Molding_Solutions_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
PTO PolymerTechnik Ortrand GmbH,Ortrand,NA,NA,"20.237.280,90","20.292.710,48",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/PTO_PolymerTechnik_Ortrand_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
HS-Schoch GmbH,Lauchheim,"2.475.984,00","2.846.946,00","4.959.841,40","5.741.947,40",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/HS-Schoch_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Beutlhauser GmbH & Co. KG,Salzweg,"3.116.434,74","3.026.911,76","3.769.632,31","3.648.464,45",01.04.2021,31.03.2022,bundesanzeiger_local_data_autozulieferer/Beutlhauser_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Behr-Hella/Faurecia,Lippstadt,NA,NA,NA,NA,-,-,
Henniges Automotive GmbH & Co. KG,Rehburg-Loccum,"15.342.984,99","7.951.457,21","20.169.257,21","19.772.864,53",01.01.2019,31.12.2019,bundesanzeiger_local_data_autozulieferer/Henniges_Automotive_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
ABT Sportsline GmbH,Kempten (Allgäu),"221.715,04","206.974,04","23.096.053,19","22.082.730,07",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/ABT_Sportsline_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
GEDIA Gebrüder Dingerkus GmbH,Attendorn,"24.202.410,00","25.090.867,00","33.919.160,08","34.494.948,48",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/GEDIA_Gebrueder_Dingerkus_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Melexis GmbH,Erfurt,"7.529.247,96","9.065.586,26","13.288.792,41","15.067.811,90",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Melexis_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Ricardo GmbH,Schwäbisch Gmünd,"0,00",59,"0,00",87,01.07.2021,30.06.2022,bundesanzeiger_local_data_autozulieferer/Ricardo_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
Dieter Braun GmbH,Bayreuth,"472.995,00","494.335,00","5.833.662,51","5.987.101,04",01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Dieter_Braun_GmbH/Jahresabschluss_Jahresfinanzbericht_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Craemer GmbH,Herzebrock-Clarholz,"31.802.336,00",40.167,"64.552.946,52",64.799,01.01.2021,31.12.2021,bundesanzeiger_local_data_autozulieferer/Craemer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Saxonia Umformtechnik GmbH,Göppingen,NA,NA,NA,NA,-,-,
