company name,location
ante-holz GmbH,Bromskirchen
Hüster GmbH,Warstein
Holzwerk Baur GmbH,Wain
Robeta-Holz OHG,Milmersdorf
TimberTec AG,Eutin
Ladenburger GmbH,Bopfingen
Holzwerke Bullinger,Märkisch Linden OT Werder
Caspari GmbH & Co. KG,Waldbröl
Krages Holzindustrie GmbH & Co. KG,Hamburg
Holz-Henkel GmbH & Co. KG,Göttingen
Danielmeyer,Löhne
Mayr-Melnhof Holz Olsberg GmbH,Olsberg
Leistenfabrik Arnold Deppe GmbH & Co. KG,Verl
Dölker Holzwerk GmbH & Co. KG,Horb am Neckar
Biomassehof Allgäu eG,Kempten (Allgäu)
Binderholz Kösching GmbH,Kösching
Delignit AG,Blomberg
Gebr. Eigelshoven GmbH & Co. KG,Würselen
Finkbeiner KG,Triberg im Schwarzwald
Ziegler Holzindustrie GmbH & Co. KG,Plößberg
Holzhof Hüfingen GmbH & Co. KG,Hüfingen
Behrens-Wöhlk GmbH & Co. KG,Rotenburg (Wümme)
Palettenfabrik Bassum GmbH,Bassum
Sägewerk Hagenah oHG,Bülkau
Holzwerke Gmach GmbH,Pösing
Holzwerke Ladenburger GmbH & Co. KG,Geithain
Holz-Hauff GmbH,Leingarten
Holzwerke van Roje GmbH & Co. KG,Oberhonnefeld-Gierend
Theodor Herbert GmbH & Co. KG,Motten
Holzwerke Pfarrkirchen GmbH,Pfarrkirchen
Hirsch & Sohn Holzhandel GmbH,Rheinstetten
Hirschbach GmbH Holzbearbeitung,Sulzbach-Laufen
Bruno Reimann GmbH & Co. KG,Bad Harzburg
Dold Holzwerke GmbH,Buchenbach
OPITZ HOLZBAU GmbH & Co. KG,Neuruppin
HBV Holz- und Baustoff-Vertrieb,Wilhelmshaven
VP Verpackungs- und Paletten GmbH,Kempen
JUNGINGER Naturholzwerk GmbH,Murrhardt
Müller Holzgroßhandel GmbH,Mettlach
Friedrich Klatt GmbH,Lübeck
KRUG Holzsystembinder GmbH,Stadtlauringen
JAF IMHOLZ GmbH,Leipzig
Robert Neudeck GmbH u. Co. KG,Germersheim
Gustav Konrad GmbH & Co. KG,Eichenbühl
Aloysius Krenzer GmbH & Co. KG,Poppenhausen
Hansa-Holz Wilhelm Krüger GmbH,Bremen
HIT Holzindustrie Torgau GmbH & Co. KG,Torgau
elka-Holzwerke GmbH,Morbach
Gebhardt Holz-Zentrum GmbH,Cham
Holzbau Lins GmbH,Sinntal
Holzindustrie Templin GmbH,Templin
Christian Kröger GmbH & Co. KG,Löhne
hobb Holzveredlung GmbH & Co. KG,Bad Bentheim
KGM Furnierprofile GmbH,Ilmenau OT Gehren
KGM Massivholz GmbH,Oettingen in Bayern
Pfeifer Holz GmbH,Kühbach
Pfeifer Holz Lauterbach GmbH,Lauterbach
Pfeifer Holz GmbH,Uelzen
Pieper Holz GmbH,Olsberg
Karl Ahmerkamp Vechta GmbH & Co. KG,Vechta
Holz Ruser GmbH & Co KG,Bornhöved
Kiefern Bohm GmbH & Co. KG,Boitzenburger Land
Pfeifer Holz Schlitz GmbH & Co KG,Schlitz
Holz Schiller GmbH,Regen
Schlautmann GmbH & Co. KG,Beelen
Deutsche Holzveredelung Schmeing,Kirchhundem
Josef Schmelter GmbH Sägewerk,Lennestadt
BIEN - HOLZ GmbH,Lauterbach (Hessen)
Holzwerk Gebrüder Schneider GmbH,Eberhardzell
SWL-Tischlerplatten Betriebs-GmbH,Langenberg
Holzwerke Gleitsmann GmbH,Kolitzheim OT Unterspiesheim
Karl Decker GmbH,Hochscheid
MeisterWerke Schulte GmbH,Rüthen
Schwaiger Holzindustrie GmbH & Co. KG,Hengersberg
Holzmanufaktur Rottweil GmbH,Rottweil
Sörnsen Holzleisten GmbH,Süderbrarup
Binderholz Burgbernheim GmbH,Burgbernheim
PALETTEN-SERVICE Hamburg AG,Hamburg
Hördener Holzwerk GmbH,Gaggenau
Johannes Brandenburg GmbH & Co. KG,Goldenstedt
K. Löffert GmbH,Sinntal
Thede & Witte Holzimport GmbH & Co. KG,Rosengarten
Hess Timber GmbH,Kleinheubach
Alfred Treiber Holzwarenfabrik GmbH,Heidelberg
Heinrich Harling GmbH,Bergen
Brüchert + Kärner GmbH,Hamburg
Holzkontor Preussen GmbH,Berlin
Holzwerke Weinzierl GmbH,Vilshofen an der Donau
TARA Paletten-Handel- und,Wuppertal
Wilms GmbH,Bad Essen
Josef Winkelheide GmbH,Senden
KIPA Kisten + Paletten GmbH,Mansfeld OT Grossörner
Werzalit Vertriebs GmbH,Oberstenfeld
Pollmeier Massivholz GmbH & Co. KG,Creuzburg
Metsä Wood Deutschland GmbH,Bremen
Nordlam GmbH,Magdeburg
Holzwerke Pröbstl GmbH,Fuchstal
Holz-Schmidt GmbH,Cölbe
Hermann Keller,Achern
HMS-HOLZ GmbH,Kleinwallstadt
GELO Holzwerke GmbH,Weißenstadt
proNARO GmbH,Stockstadt am Main
Bernd Jorkisch GmbH & Co. KG,Daldorf
BHK- Holz- und Kunststoff-,Büren
Georg Thalhofer OHG,Deisenhausen
Wismar Pellets GmbH,Wismar
Ilim Nordic Timber GmbH & Co. KG,Wismar
Ch. Borchard GmbH & Co. KG,Hildesheim
Dauerholz AG,Dabel
GUTEX Holzfaserplattenwerk,Waldshut-Tiengen
HolzLand Becker GmbH,Obertshausen
MOCOPINUS GmbH & Co. KG,Ulm
Adolf Münchinger,Ötisheim
Holzwerk Rötenbach GmbH,Bergen
Ernst Fisch GmbH & Co. KG,Rüthen
Vente-Holz-GmbH,Finnentrop
Schaffitzel Holzindustrie GmbH + Co. KG,Schwäbisch Hall
Holzmanufaktur Liebich GmbH,Zwiesel
Scheiffele - Schmiederer KG,Gundremmingen
häussermann GmbH & Co. KG,Sulzbach an der Murr
Bockelmann-Holz GmbH,Lüneburg
W. u. J. Derix GmbH & Co.,Niederkrüchten
Geldmeier GmbH,Bielefeld
HWW GmbH & Co. Holzwerke KG,Waal
Anreu GmbH,Lüdinghausen
Palettenrecycling Dunder GmbH & Co. KG,Memmingen
H. Heitz Furnierkantenwerk GmbH & Co. KG,Melle
VD Werkstätten GmbH & Co. KG,Bad Salzuflen
Furnierwerk Laubach GmbH & Co. KG,Laubach
HOLZ BALK GmbH & Co. KG,Vilsbiburg
ISIDOR GmbH & Co. KG,Brandenburg an der Havel
müllerblaustein HolzBauWerke GmbH,Blaustein
MERKLE HOLZ-GmbH,Nersingen
Schaeferwerk Gödeke GmbH & Co. KG,Dassel
Karl Richtberg GmbH & Co. KG,Neuenburg am Rhein
Johann Sinnerbrink GmbH & Co. KG,Verl
Gebrüder Hosenfeld Sägewerk GmbH,Hosenfeld
