company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
ante-holz GmbH,Bromskirchen,"12.126.394,00","3.825.347,00","37.621.805,20","37.666.250,29",01.01.2015,31.12.2015,bundesanzeiger_local_holzindustrie/ante-holz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2015_bis_zum_31.12.2015
Hüster GmbH,Warstein,"2.020.185,00","2.423.705,00","3.583.163,64","3.814.118,64",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Huester_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Holzwerk Baur GmbH,Wain,"17.823.414,44","213.966,50","9.397.227,76","3.395.526,75",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Holzwerk_Baur_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Robeta-Holz OHG,Milmersdorf,NA,NA,NA,NA,-,-,
TimberTec AG,Eutin,NA,NA,"384.574,00","458.330,00",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/TimberTec_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Ladenburger GmbH,Bopfingen,NA,NA,"1.585,00","2.852,00",01.01.2019,31.12.2019,bundesanzeiger_local_holzindustrie/Ladenburger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
Holzwerke Bullinger,Märkisch Linden OT Werder,NA,NA,NA,NA,-,-,
Caspari GmbH & Co. KG,Waldbröl,"4.334.897,00","3.684.649,00","13.022.711,11","12.102.153,35",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Caspari_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Krages Holzindustrie GmbH & Co. KG,Hamburg,NA,NA,NA,NA,-,-,
Holz-Henkel GmbH & Co. KG,Göttingen,NA,NA,NA,NA,-,-,
Danielmeyer,Löhne,NA,NA,"4.900,00","2.211,00",01.01.2013,31.12.2013,bundesanzeiger_local_holzindustrie/Danielmeyer/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2013_bis_zum_31.12.2013
Mayr-Melnhof Holz Olsberg GmbH,Olsberg,"2.692.874,72","1.188.026,00","4.627.307,28","3.565.791,50",31.12.2021,31.12.2020,bundesanzeiger_local_holzindustrie/Mayr-Melnhof_Holz_Olsberg_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Leistenfabrik Arnold Deppe GmbH & Co. KG,Verl,"988.083,00","593.145,00","1.143.641,00","791.835,00",01.02.2021,31.01.2022,bundesanzeiger_local_holzindustrie/Leistenfabrik_Arnold_Deppe_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.02.2021_bis_zum_31.01.2022
Dölker Holzwerk GmbH & Co. KG,Horb am Neckar,"50.390,00","61.529,00","2.135.376,00","2.205.645,70",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Doelker_Holzwerk_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Biomassehof Allgäu eG,Kempten (Allgäu),NA,NA,"2.107.838,49","1.486.757,69",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Biomassehof_Allgaeu_eG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Binderholz Kösching GmbH,Kösching,"10.129.735,00","14.925.663,00","23.482.040,63","26.196.432,83",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Binderholz_Koesching_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Delignit AG,Blomberg,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Delignit_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Gebr. Eigelshoven GmbH & Co. KG,Würselen,"3.508.800,00","1.489.934,50","5.111.641,64","5.126.520,79",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Gebr._Eigelshoven_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Finkbeiner KG,Triberg im Schwarzwald,NA,NA,NA,NA,-,-,
Ziegler Holzindustrie GmbH & Co. KG,Plößberg,"13.651.884,92","13.343.401,92","42.558.230,40","39.727.192,42",01.01.2021,31.12.2021,bundesanzeiger_local_holzindustrie/Ziegler_Holzindustrie_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Holzhof Hüfingen GmbH & Co. KG,Hüfingen,NA,NA,"0,00","48.173,00",01.01.2020,31.12.2020,bundesanzeiger_local_holzindustrie/Holzhof_Huefingen_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
