company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
IP Gansow GmbH,Unna,"9.529.883,03",8.479,"10.010.176,16",9.172,01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/IP_Gansow_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
RITAG RITTERHUDER ARMATUREN,Osterholz-Scharmbeck,"3.265.602,12","126.351,79",1.4.2021,31.3.2022,01.04.2021,31.03.2022,bundesanzeiger_local_maschinenbau/RITAG_RITTERHUDER_ARMATUREN/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Form + Test Seidner & Co.,Riedlingen,"168.180,00","157.220,00","616.125,51","637.167,01",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Form_+_Test_Seidner_and_Co./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Lohmann Systemtechnik GmbH,Ennigerloh,"1.502.485,02","1.886.141,21","4.066.504,10","4.126.418,10",01.07.2021,30.06.2022,bundesanzeiger_local_maschinenbau/Lohmann_Systemtechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
KNUTH WERKZEUGMASCHINEN GMBH,Wasbek,"2.509.012,33","460.397,00","1.060.980,63","1.380.225,08",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/KNUTH_WERKZEUGMASCHINEN_GMBH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Höchsmann GmbH,Klipphausen,NA,NA,"5.971.783,10","4.074.530,94",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Hoechsmann_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
deconta GmbH,Isselburg,NA,NA,"94.823,00","124.747,00",01.01.2020,31.12.2020,bundesanzeiger_local_maschinenbau/deconta_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
Merkle Schweißanlagen-Technik GmbH,Kötz,NA,NA,"432.530,00","513.675,00",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Merkle_Schweissanlagen-Technik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Tilgert Walzwerksmaschinenbau GmbH,Iserlohn,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Tilgert_Walzwerksmaschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
REBS Zentralschmiertechnik GmbH,Ratingen,"580.073,00","652.264,00","899.859,50","832.462,50",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/REBS_Zentralschmiertechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
