company name,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Water & Wastewater Technic WWT GmbH,NA,NA,"2.215.598,70","2.314.523,70",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Water_and_Wastewater_Technic_WWT_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Nikon Precision Europe GmbH,"48.761,74","0,00","2.637.848,17","1.041.978,69",01.04.2021,31.03.2022,bundesanzeiger_local_maschinenbau/Nikon_Precision_Europe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
TLT-Turbo GmbH,"1.076.374,44","1.062.509,80","5.377.357,75","5.615.964,23",01.10.2013,31.05.2014,bundesanzeiger_local_maschinenbau/TLT-Turbo_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2013_bis_zum_31.05.2014
Manfred Merklinger,NA,NA,"989.854,19","1.253.669,19",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Manfred_Merklinger/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Vollenda-Werk GmbH,"263.112,00","189.769,00","2.169.373,00","2.167.516,00",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Vollenda-Werk_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
K. Schulten GmbH & Co. KG,NA,NA,"114.187,78","140.974,78",01.10.2021,30.09.2022,bundesanzeiger_local_maschinenbau/K._Schulten_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.09.2022
Hugo MIEBACH GmbH,"84.172,91","123.281,64","2.049.560,39","2.005.203,04",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Hugo_MIEBACH_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
H.I.T. Maschinenbau GmbH + Co. KG,"412.591,00","456.100,00","857.856,45","919.246,45",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/H.I.T._Maschinenbau_GmbH_+_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Maschinenbau Karp GmbH,"1.258.175,00","1.376.994,00","1.322.979,00","1.446.440,50",01.01.2016,31.12.2016,bundesanzeiger_local_maschinenbau/Maschinenbau_Karp_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2016_bis_zum_31.12.2016
Profilator GmbH & Co. KG,NA,NA,NA,NA,-,-,
Eugen Arnold GmbH.,"889.966,00","1.024.707,00","1.751.902,22","1.894.682,22",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Eugen_Arnold_GmbH./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Mahr Unipre GmbH,"7.587,00",15.768,"87.349,01",75.965,01.01.2018,31.12.2018,bundesanzeiger_local_maschinenbau/Mahr_Unipre_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
AMOVA GmbH,"2.570,97","3.306,97","3.134.090,10","3.511.654,50",01.01.2017,31.12.2017,bundesanzeiger_local_maschinenbau/AMOVA_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2017_bis_zum_31.12.2017
UW Pensions GmbH,NA,NA,NA,NA,01.01.2019,31.12.2019,bundesanzeiger_local_maschinenbau/UW_Pensions_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
DMT Drehmaschinen GmbH & Co. KG,NA,NA,"484.284,15","511.144,15",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/DMT_Drehmaschinen_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Wetzel GmbH,NA,NA,"271.517,20","248.075,00",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Wetzel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
CEROBEAR GmbH,"5.454.191,00","4.746.470,00","11.812.946,16","10.364.161,00",01.04.2021,31.03.2022,bundesanzeiger_local_maschinenbau/CEROBEAR_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
HAAS Schleifmaschinen GmbH,"1.371.741,00","1.490.373,00","7.909.129,98","7.926.056,27",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/HAAS_Schleifmaschinen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Röltgen GmbH & Co. KG,NA,NA,"170.994,74","182.320,74",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Roeltgen_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ROTA Verpackungstechnik GmbH & Co. KG,"184.693,23","178.252,25","4.349.039,93","4.376.432,78",01.04.2021,31.03.2022,bundesanzeiger_local_maschinenbau/ROTA_Verpackungstechnik_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
AMS Arneburger,NA,NA,"473.945,00","635.055,00",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/AMS_Arneburger/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Heckmann Maschinenbau,NA,NA,"1.240.844,50","1.245.628,50",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Heckmann_Maschinenbau/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
WALTERWERK KIEL GmbH & Co. KG,"53.896,00","200.029,00","1.048.209,80","956.092,94",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/WALTERWERK_KIEL_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Nürmont Installations GmbH & Co. KG,NA,NA,NA,NA,-,-,
Centa-Antriebe Kirschey GmbH,"1.794.863,33","2.098.367,65","19.109.364,27","20.532.539,77",01.01.2021,31.12.2021,bundesanzeiger_local_maschinenbau/Centa-Antriebe_Kirschey_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SCHROEDER + BAUER Werkzeugbau,NA,NA,NA,NA,01.01.2018,31.12.2018,bundesanzeiger_local_maschinenbau/SCHROEDER_+_BAUER_Werkzeugbau/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
