company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Stryker GmbH & Co. KG,Duisburg,"274.807,95",81,"1.604.148,93",1.637,01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/Stryker_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Promedia A. Ahnfeldt GmbH,Siegen,"1,00","1,00","1.242.437,00","1.919.747,58",31.12.2021,31.12.2020,bundesanzeiger_local_medizintechnik/Promedia_A._Ahnfeldt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
LISA Laser Products GmbH,Katlenburg-Lindau,"43.404,94","44.747,94","18.810.196,78","19.457.977,09",01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/LISA_Laser_Products_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Armbruster GmbH,Steinach,"7.314,00","10.325,00","379.731,00","412.021,00",01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/Armbruster_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ConvaTec (Germany) GmbH,München,NA,NA,"3,420,340.94","5,515",01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/ConvaTec_(Germany)_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Sapio Life GmbH & Co. KG,Homburg,"4.716.792,39",3.978,"5.227.228,87",4.542,01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/Sapio_Life_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Curetis N.V.,Holzgerlingen,NA,NA,NA,NA,31.12.2019,17.12.2019,bundesanzeiger_local_medizintechnik/Curetis_N.V./Befreiender_Jahresabschluss_gemaess_§_325a_HGB_und_Konzernabschluss_zum_Geschaeftsjahr_31.12.2019
Modul Technik GmbH,Montabaur,NA,NA,"646.308,89","698.518,39",01.04.2021,31.03.2022,bundesanzeiger_local_medizintechnik/Modul_Technik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Barkey GmbH & Co. KG,Leopoldshöhe,NA,NA,"282.039,00","197.763,99",01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/Barkey_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
WKM Medizintechnik GmbH,Emmering,NA,NA,"125.196,00","144.368,00",01.01.2020,31.12.2020,bundesanzeiger_local_medizintechnik/WKM_Medizintechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
JOTEC GmbH,Hechingen,"3.572.194,45",3.327,"13.278.229,96",7.077,01.01.2021,31.12.2021,bundesanzeiger_local_medizintechnik/JOTEC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
