company name,location
Landis + Gyr GmbH,Nürnberg
ABEL GmbH,Büchen
Ahlborn Meß- und Regelungstechnik GmbH,Holzkirchen
PTW-Freiburg Physikalisch- Technische,Freiburg im Breisgau
National Instruments Germany GmbH,München
iba AG,Fürth
PN Detector GmbH,München
indurad GmbH,Aachen
SPS electronic GmbH,Schwäbisch Hall
W. Bälz & Sohn GmbH & Co.,Heilbronn
microSYST Systemelectronic GmbH,Windischeschenbach
Bühler Alzenau GmbH,Alzenau
Precitec GmbH & Co. KG,Gaggenau
Wenglor sensoric,Tettnang
Carl Zeiss GOM Metrology GmbH,Braunschweig
VACOM,Großlöbichau
SWARCO Traffic Systems GmbH,Unterensingen
Bitzer Wiegetechnik GmbH,Hildesheim
Blum-Novotest GmbH,Grünkraut
ECOM Instruments GmbH,Assamstadt
Netzsch - Gerätebau GmbH,Selb
Emerson Process Management GmbH,Weßling
Discovergy GmbH,Aachen
B+B Thermo-Technik GmbH,Donaueschingen
Deublin GmbH,Mainz
Sontec Sensorbau GmbH,Lennestadt
DRUMAG GmbH Fluidtechnik,Bad Säckingen
adaptronic Prüftechnik GmbH,Wertheim
Gerstel GmbH & Co. KG,Mülheim an der Ruhr
RMS Regelungs- und Messtechnik,Reinbek
Hitachi High-Tech,Uedem
Axel Semrau GmbH & Co. KG,Sprockhövel
IBEDA Sicherheitsgeräte,Neustadt (Wied)
IPETRONIK GmbH & Co. KG,Baden-Baden
HORIBA Europe GmbH,Oberursel (Taunus)
Smith Meter GmbH,Ellerbek
Regeltechnik Kornwestheim GmbH,Kornwestheim
Spirax Sarco GmbH Regelapparate,Konstanz
Karl Küfner GmbH & Co. KG,Albstadt
Druck und Temperatur Leitenberger GmbH,Kirchentellinsfurt
Negele Messtechnik GmbH,Egg an der Günz
StandexMeder Electronics GmbH,Engen OT Welschingen
tado GmbH,München
iNOEX GmbH Innovationen und,Melle
Uni-Geräte E. Mangelmann,Weeze
RMG Messtechnik GmbH,Butzbach
FOGTEC Brandschutz GmbH,Köln
Dr. Schenk GmbH Industriemesstechnik,Gräfeling
TCS TürControlSysteme AG,Genthin
NanoTemper Technologies GmbH,München
BIT Analytical Instruments GmbH,Schwalbach am Taunus
ITW Test & Measurement GmbH,Dinslaken
Metallux AG,Leutenbach
Bircher Reglomat GmbH,Waldshut-Tiengen
MAGNA Telemotive GmbH,Mühlhausen im Täle
Esders GmbH,Haselünne
Wöhler Technik GmbH,Bad Wünnenberg
Engelmann Sensor GmbH,Wiesloch
ipf electronic gmbh,Altena
LEWA GmbH,Leonberg
esz AG calibration & metrology,Eichenau
Lippok + Wolf GmbH,Welzheim
