company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Landis + Gyr GmbH,Nürnberg,"1.367.428,00","1.675.785,48","3.678.495,36","3.197.016,37",01.04.2021,31.03.2022,bundesanzeiger_local_mess-regeltechnik/Landis_+_Gyr_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
ABEL GmbH,Büchen,NA,NA,NA,NA,-,-,
Ahlborn Meß- und Regelungstechnik GmbH,Holzkirchen,NA,NA,"3.627.973,26","3.385.001,96",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Ahlborn_Mess-_und_Regelungstechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
PTW-Freiburg Physikalisch- Technische,Freiburg im Breisgau,"1.485.775,00",1.678,"22.284.707,48",23.246,01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/PTW-Freiburg_Physikalisch-_Technische/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
National Instruments Germany GmbH,München,NA,NA,"981.807,54","1.223.487,11",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/National_Instruments_Germany_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
iba AG,Fürth,"859.301,35","398.716,77","1.653.277,57","1.444.452,71",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/iba_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
PN Detector GmbH,München,"1.211.458,00","518.444,00","2.351.468,81","2.386.988,15",01.04.2021,31.03.2022,bundesanzeiger_local_mess-regeltechnik/PN_Detector_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
indurad GmbH,Aachen,"99.550,50","91.157,50","285.551,00","335.511,00",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/indurad_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SPS electronic GmbH,Schwäbisch Hall,NA,NA,"539.770,50","556.935,50",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/SPS_electronic_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
W. Bälz & Sohn GmbH & Co.,Heilbronn,"78.399,00","76.346,00","999.009,19","1.132.598,00",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/W._Baelz_and_Sohn_GmbH_and_Co./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
microSYST Systemelectronic GmbH,Windischeschenbach,NA,NA,"237.973,00","98.432,00",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/microSYST_Systemelectronic_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bühler Alzenau GmbH,Alzenau,"1.510.305,29",1.153,"7.735.828,81",7.969,01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Buehler_Alzenau_GmbH/Jahresabschluss_Jahresfinanzbericht_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Precitec GmbH & Co. KG,Gaggenau,"670.138,00","460.352,12","2.780.926,12","2.274.184,60",01.01.2014,31.12.2014,bundesanzeiger_local_mess-regeltechnik/Precitec_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2014_bis_zum_31.12.2014
Wenglor sensoric,Tettnang,"1.616.413,00","1.934.906,00","5.678.919,61","6.026.788,17",01.01.2015,31.12.2015,bundesanzeiger_local_mess-regeltechnik/Wenglor_sensoric/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2015_bis_zum_31.12.2015
Carl Zeiss GOM Metrology GmbH,Braunschweig,NA,NA,NA,NA,-,-,
VACOM,Großlöbichau,NA,NA,NA,NA,-,-,
SWARCO Traffic Systems GmbH,Unterensingen,599,548,10.965,10.959,01.01.2015,31.12.2015,bundesanzeiger_local_mess-regeltechnik/SWARCO_Traffic_Systems_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2015_bis_zum_31.12.2015
Bitzer Wiegetechnik GmbH,Hildesheim,NA,NA,"334.754,24","352.776,51",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Bitzer_Wiegetechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Blum-Novotest GmbH,Grünkraut,"966.675,19","968.646,72","19.395.795,41","20.247.513,56",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Blum-Novotest_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ECOM Instruments GmbH,Assamstadt,NA,NA,"716.021,63","826.198,27",01.01.2017,31.12.2017,bundesanzeiger_local_mess-regeltechnik/ECOM_Instruments_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2017_bis_zum_31.12.2017
Netzsch - Gerätebau GmbH,Selb,NA,NA,NA,NA,-,-,
Emerson Process Management GmbH,Weßling,NA,NA,"511.937.706,50","520.395.914,33",01.10.2021,30.09.2022,bundesanzeiger_local_mess-regeltechnik/Emerson_Process_Management_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.09.2022
Discovergy GmbH,Aachen,"327.382,00","70.000,00","727.299,00","166.381,00",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Discovergy_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
B+B Thermo-Technik GmbH,Donaueschingen,NA,NA,"1.300.986,00","1.137.948,00",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/B+B_Thermo-Technik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Deublin GmbH,Mainz,"3.267.543,38","2.895.282,48","28.659.268,20","28.649.349,71",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Deublin_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Sontec Sensorbau GmbH,Lennestadt,NA,NA,"263.887,00","264.543,67",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Sontec_Sensorbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
DRUMAG GmbH Fluidtechnik,Bad Säckingen,"34.624,00","42.687,00","509.904,32","567.576,82",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/DRUMAG_GmbH_Fluidtechnik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
adaptronic Prüftechnik GmbH,Wertheim,"290.321,79","277.438,75","5.898.873,51","5.992.855,67",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/adaptronic_Prueftechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Gerstel GmbH & Co. KG,Mülheim an der Ruhr,"140.538,00","108.459,50","399.125,00","332.594,00",01.01.2019,31.12.2019,bundesanzeiger_local_mess-regeltechnik/Gerstel_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
RMS Regelungs- und Messtechnik,Reinbek,NA,NA,"1151089,74","1283640,74",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/RMS_Regelungs-_und_Messtechnik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hitachi High-Tech,Uedem,NA,NA,NA,NA,01.04.2020,31.03.2021,bundesanzeiger_local_mess-regeltechnik/Hitachi_High-Tech/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2020_bis_zum_31.03.2021
Axel Semrau GmbH & Co. KG,Sprockhövel,NA,NA,"385.708,00","449.222,00",01.10.2021,30.06.2022,bundesanzeiger_local_mess-regeltechnik/Axel_Semrau_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.06.2022
IBEDA Sicherheitsgeräte,Neustadt (Wied),NA,NA,"583.552,00","521.925,00",22.09.2022,31.12.2021,bundesanzeiger_local_mess-regeltechnik/IBEDA_Sicherheitsgeraete/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
IPETRONIK GmbH & Co. KG,Baden-Baden,NA,NA,NA,NA,-,-,
HORIBA Europe GmbH,Oberursel (Taunus),NA,NA,"20.378.636,86","19.111.019,40",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/HORIBA_Europe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Smith Meter GmbH,Ellerbek,"226.484,22","294.278,66","4.811.210,11","4.860.982,46",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Smith_Meter_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Regeltechnik Kornwestheim GmbH,Kornwestheim,"1.143.548,07",1.467,"3.374.990,60",3.913,01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Regeltechnik_Kornwestheim_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Spirax Sarco GmbH Regelapparate,Konstanz,"216.676,48",157,"2.250.012,13",2.071,01.01.2014,31.12.2014,bundesanzeiger_local_mess-regeltechnik/Spirax_Sarco_GmbH_Regelapparate/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2014_bis_zum_31.12.2014
Karl Küfner GmbH & Co. KG,Albstadt,"2.845.614,00","3.689.471,21","9.810.303,77","11.215.211,12",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Karl_Kuefner_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Druck und Temperatur Leitenberger GmbH,Kirchentellinsfurt,NA,NA,"21.765,86","24.681,31",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Druck_und_Temperatur_Leitenberger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Negele Messtechnik GmbH,Egg an der Günz,NA,NA,NA,NA,-,-,
StandexMeder Electronics GmbH,Engen OT Welschingen,"3.202.583,66","3.418.039,66","10.208.924,02","7.345.318,47",01.07.2021,30.06.2022,bundesanzeiger_local_mess-regeltechnik/StandexMeder_Electronics_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
tado GmbH,München,128.705,102.671,44.176.829,27.343.611,01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/tado_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
iNOEX GmbH Innovationen und,Melle,"265.852,00","15.832,00",2021,2020,01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/iNOEX_GmbH_Innovationen_und/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Uni-Geräte E. Mangelmann,Weeze,NA,NA,"1.639.902,78","1.698.058,78",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/Uni-Geraete_E._Mangelmann/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
RMG Messtechnik GmbH,Butzbach,"276.969,00","386.407,00","3.337.592,64","2.817.731,78",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/RMG_Messtechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
FOGTEC Brandschutz GmbH,Köln,NA,NA,"3.759.239,04","3.771.869,60",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/FOGTEC_Brandschutz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Dr. Schenk GmbH Industriemesstechnik,Gräfeling,NA,NA,NA,NA,-,-,
TCS TürControlSysteme AG,Genthin,"741.700,50","774.205,50","1.708.517,95","1.455.749,50",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/TCS_TuerControlSysteme_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
NanoTemper Technologies GmbH,München,NA,NA,"1.601.775,05","1.206.144,30",01.01.2021,31.12.2021,bundesanzeiger_local_mess-regeltechnik/NanoTemper_Technologies_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BIT Analytical Instruments GmbH,Schwalbach am Taunus,"97.653,13","87.532,00","1.061.961,98","1.305.831,00",01.01.2016,31.12.2016,bundesanzeiger_local_mess-regeltechnik/BIT_Analytical_Instruments_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2016_bis_zum_31.12.2016
ITW Test & Measurement GmbH,Dinslaken,NA,NA,NA,NA,-,-,
