company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Trelleborg Wheel Systems Germany GmbH,Erbach,"10.381,24","13.332,15","168.780,27","199.422,66",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/Trelleborg_Wheel_Systems_Germany_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Radsystem GmbH,Zwickau,"10.356.221,64","10.152.128,15","15.729.191,26","15.948.017,87",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/Radsystem_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
GEWE Reifengroßhandel GmbH,Kaiserslautern,"244.271,00","285.156,00","8.267.646,41","8.492.852,04",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/GEWE_Reifengrosshandel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
RR TEAM GmbH,Laubach,"116.153,00","106.404,00","34.846.283,48","44.576.972,67",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/RR_TEAM_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Best4Tires GmbH,Höhr-Grenzhausen,NA,NA,85.999,84.589,01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/Best4Tires_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MARANGONI,Henstedt-Ulzburg,"3.642.311,12","4.377.652,35","8.122.769,40","9.004.378,35",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/MARANGONI/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
RIGDON GmbH,Günzburg,"2.799.172,00","2.083.927,00","5.503.632,76","4.863.041,00",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/RIGDON_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Semex Reifen Großhandels GmbH,Furth im Wald,NA,NA,"33.965,00","31.765,00",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/Semex_Reifen_Grosshandels_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
IHLE tires GmbH,Muggensturm,"771.325,00","906.156,00","1.871.268,00","2.096.607,00",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/IHLE_tires_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
hämmerling The Tyre Company GmbH,Paderborn,"243.560,00","425.170,00","723.652,00","827.714,09",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/haemmerling_The_Tyre_Company_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SITEK-Spikes GmbH & Co. KG,Aichhalden,NA,NA,NA,NA,-,-,
B & W exclusives Autozubehör,Stuttgart,NA,NA,"207,00","407,00",01.01.2014,31.12.2014,bundesanzeiger_local_reifenhersteller/B_and_W_exclusives_Autozubehoer/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2014_bis_zum_31.12.2014
Reifen Straub GmbH,Kirchberg an der Iller,"119.651,00","53.996,00","298.331,00","254.032,00",30.06.2022,30.06.2022,bundesanzeiger_local_reifenhersteller/Reifen_Straub_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
Grasdorf GmbH,Holle,"126.316,00","119.908,00","1.721.525,69","1.882.975,69",01.01.2021,31.12.2021,bundesanzeiger_local_reifenhersteller/Grasdorf_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
