Kategorie,company name,URL,location
Giessereien,Robert Bosch Lollar Guss GmbH,https://www.bosch-kundenguss.de/,Lollar
Glashersteller,Glaswerke Wolff + Meier GmbH & Co. KG,http://www.wolff-meier.de/,Langgöns
Verbindungstechnik,Walraven GmbH,https://www.walraven.com/de/,Bayreuth
Flugzeugbauer,FAUDI Aviation GmbH,https://www.faudi-aviation.com/,Stadtallendorf
Baumaschinen,Ammann Elba Beton GmbH,https://www.ammann.com/,Ettlingen
Baumaschinen,Ammann Asphalt GmbH,https://www.ammann.com/,Alfeld (Leine)
Windkraft,ABO Wind AG,https://www.abo-wind.com/,Wiesbaden
Ruestungsindustrie,DREHTAINER GmbH,http://www.drehtainer.de/,Lüttow-Valluhn
Haushaltswaren,ACUS Textiles GmbH,https://acus-textiles.de/,Ahrensburg
Nutzfahrzeuge,Ambulanz Mobile GmbH & Co. KG,https://www.ambulanzmobile.de/,Schönebeck (Elbe)
Optoelektronik,Photon AG,https://photonag.com/,Berlin
Ruestungsindustrie,DST Defence Service Tracks GmbH,https://www.defence-st.de/,Remscheid
Eisenbahntechnik,Akiem Technik GmbH,https://www.akiem.com/,Kassel
Sanitaertechnik,Hüppe GmbH,http://www.hueppe.com/,Bad Zwischenahn
Oberflaechentechnik,LAYERTEC GmbH,https://www.layertec.de/,Mellingen
Sportartikel,TOGU GmbH,https://www.togu.de,Prien am Chiemsee
Giessereien,Aluminium GmbH Nachrodt,https://alu-met.com/,Nachrodt-Wiblingwerde
Verbindungstechnik,SFC KOENIG GmbH,https://www.sfckoenig.com/?lang=de,Illerrieden
Eisenbahntechnik,Becorit GmbH,https://www.wabteccorp.com/business-units/becorit,Recklinghausen
Optoelektronik,Evident Technology Center Europe GmbH,https://www.olympus-sis.com/,Münster
Oberflaechentechnik,Heinz Arens GmbH,http://www.arens-oberflaechenfullservice.com/index.php?id=2,Attendorn
Baumaschinen,HAPPICH Herrstein GmbH,https://www.happich.de/,Herrstein
Sanitaertechnik,Armstark Handels-GmbH,https://www.armstark.de/,Tettenweis
Glashersteller,Badischer Glashandel Karl Arnoldt GmbH &,https://www.badischer-glashandel.de/de/index.htm,Eschelbronn
Nutzfahrzeuge,Klotz + Wedekind Karosserie-,https://www.klotz-wedekind.de/,Hamburg
Aufzugshersteller,Schneider Steuerungstechnik GmbH,https://lisa-lift.de/de/home/,Maitenbeth
Nutzfahrzeuge,ASSMANN GmbH,https://www.assmann-sonderfahrzeuge.de/,Lauffen am Neckar
Haushaltswaren,VERMOP Salmon GmbH,https://www.vermop.de/,Gilching
Oberflaechentechnik,Erwin Auerhammer GmbH,https://www.auerhammer.de/,Jettingen-Scheppach
Schmuckhersteller,Bauer-Walser AG,https://www.bauer-walser.net/,Keltern
Haushaltswaren,ASB Grünland Helmut Aurenz GmbH,https://asbgreenworld.com/de/,Stuttgart
Nutzfahrzeuge,Motoren Baader,https://motoren-baader.de/,Neustadt an der Weinstraße
Oberflaechentechnik,H-O-T Härte-und Oberflächentechnik,http://www.hot-online.de/,Nürnberg
Giessereien,Karl Wagenaar GmbH & Co. KG,https://www.wagenaar.com/,Velbert
Spielzeughersteller,Gebr. Märklin & Cie. GmbH,https://www.maerklin.de/,Göppingen
Flugzeugbauer,DG Flugzeugbau GmbH,https://www.dg-aviation.de/,Bruchsal
Ruestungsindustrie,MWB Fahrzeugtechnik GmbH,https://eaft.de/,Emden
Spielzeughersteller,Wendt & Kühn KG,https://www.wuk-shop.de/,Grünhainichen
Sportartikel,Maier Sports GmbH,https://www.maier-sports.com/de/,Köngen
Kabelhersteller,HAAS Kabeltechnik AG,https://w8ji5uj7f.homepage.t-online.de,Dunningen
Ruestungsindustrie,Kärcher Futuretech GmbH,https://www.karcher-futuretech.com/de/,Schwaikheim
Baumaschinen,GOES GmbH,https://goes-well.com/,Wesendorf
Baumaschinen,Esser-Werke GmbH & Co. KG,http://www.esser-werke.de/,Warstein
Sanitaertechnik,Koralle Sanitärprodukte GmbH,https://www.koralle.de/index.php,Vlotho
Glashersteller,GLASVERARBEITUNGS-GESELLSCHAFT,https://www.isolierglascenter.de/,Deggendorf
Haushaltswaren,Curt Bauer GmbH,https://curt-bauer.de/,Aue-Bad Schlema
Schuhindustrie,Lugina Schuhfabrik GmbH,https://xn--waldlufer-z2a.de/,Schwanheim
Oberflaechentechnik,Wilhelm Bauer GmbH & Co. KG,https://www.wilhelm-bauer.de/,Hannover
