company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Robert Bosch Lollar Guss GmbH,Lollar,4.664.646,4.664.646,6.029.922,6.029.922,23.06.2015,31.03.2016,bundesanzeiger_local_rest/Robert_Bosch_Lollar_Guss_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_23.06.2015_bis_zum_31.03.2016
Glaswerke Wolff + Meier GmbH & Co. KG,Langgöns,"316.009,02","385.653,02","3.003.660,80","2.253.631,14",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Glaswerke_Wolff_+_Meier_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Walraven GmbH,Bayreuth,"105.822,83","82.838,39","1.934.324,08","2.115.524,81",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Walraven_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
FAUDI Aviation GmbH,Stadtallendorf,"508.234,51","309.515,40","1.321.467,01","868.165,31",01.01.2021,31.12.2021,bundesanzeiger_local_rest/FAUDI_Aviation_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Ammann Elba Beton GmbH,Ettlingen,NA,NA,"26.088,07",41,01.01.2021,31.12.2021,bundesanzeiger_local_rest/Ammann_Elba_Beton_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Ammann Asphalt GmbH,Alfeld (Leine),"635.727,04",812,"2.912.313,07",3.471,01.01.2021,31.12.2021,bundesanzeiger_local_rest/Ammann_Asphalt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ABO Wind AG,Wiesbaden,NA,NA,"2.849.802,43","2.929.136,88",01.01.2021,31.12.2021,bundesanzeiger_local_rest/ABO_Wind_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
DREHTAINER GmbH,Lüttow-Valluhn,NA,NA,NA,NA,01.01.2009,31.12.2009,bundesanzeiger_local_rest/DREHTAINER_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2009_bis_zum_31.12.2009
ACUS Textiles GmbH,Ahrensburg,NA,NA,NA,NA,01.06.2021,31.05.2022,bundesanzeiger_local_rest/ACUS_Textiles_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.06.2021_bis_zum_31.05.2022
Ambulanz Mobile GmbH & Co. KG,Schönebeck (Elbe),"1.282.535,30","1.375.236,38","6.171.527,02","6.042.780,12",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Ambulanz_Mobile_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Photon AG,Berlin,NA,NA,NA,NA,01.01.2013,31.12.2013,bundesanzeiger_local_rest/Photon_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2013_bis_zum_31.12.2013
DST Defence Service Tracks GmbH,Remscheid,"4.544.163,83",4.065,"9.200.424,80",7.585,01.01.2021,31.12.2021,bundesanzeiger_local_rest/DST_Defence_Service_Tracks_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Akiem Technik GmbH,Kassel,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_rest/Akiem_Technik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hüppe GmbH,Bad Zwischenahn,"418.296,04","485.658,64","7.293.301,22","7.074.154,58",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Hueppe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
LAYERTEC GmbH,Mellingen,"106.963,00","186.415,00","3.854.124,10","4.326.245,50",01.01.2021,31.12.2021,bundesanzeiger_local_rest/LAYERTEC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
TOGU GmbH,Prien am Chiemsee,NA,NA,"66.722,00","115.618,50",01.01.2021,31.12.2021,bundesanzeiger_local_rest/TOGU_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Aluminium GmbH Nachrodt,Nachrodt-Wiblingwerde,NA,NA,NA,NA,-,-,
SFC KOENIG GmbH,Illerrieden,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_rest/SFC_KOENIG_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Becorit GmbH,Recklinghausen,"5.620.392,25",6.186,"14.640.271,00",15.359,01.01.2021,31.12.2021,bundesanzeiger_local_rest/Becorit_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Evident Technology Center Europe GmbH,Münster,NA,NA,"603.037,92","849.133,13",01.04.2021,31.03.2022,bundesanzeiger_local_rest/Evident_Technology_Center_Europe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Heinz Arens GmbH,Attendorn,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_rest/Heinz_Arens_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
HAPPICH Herrstein GmbH,Herrstein,NA,NA,"1.115.772,53","1.190.791,79",01.01.2021,31.12.2021,bundesanzeiger_local_rest/HAPPICH_Herrstein_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Armstark Handels-GmbH,Tettenweis,"230.207,50","92.845,50","1.322.154,80","1.161.330,80",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Armstark_Handels-GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Badischer Glashandel Karl Arnoldt GmbH &,Eschelbronn,NA,NA,NA,NA,-,-,
Klotz + Wedekind Karosserie-,Hamburg,NA,NA,"213.676,00","241.947,00",01.01.2021,31.12.2021,bundesanzeiger_local_rest/Klotz_+_Wedekind_Karosserie-/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
