company name,location
Spinnerei Lampertsmühle GmbH,Kaiserslautern
Solida Safety Line GmbH,Helmstedt
UTT Technische Textilien GmbH & Co KG,Krumbach (Schwaben)
Schleswiger Tauwerkfabrik,Schleswig
Gerhard van Clewe GmbH & Co KG,Hamminkeln
Jacob Emendoerfer,Dinkelsbühl
KBC Fashion GmbH & Co. KG,Maulburg
SAHCO GmbH,Nürnberg
Bornemann-Etiketten GmbH,Wuppertal
Hohmann GmbH & Co. KG,Helmbrechts
C. Cramer & Co. GmbH,Heek
Intercord Thüringen GmbH,Mühlhausen/Thüringen
SETEX-Textil-GmbH,Hamminkeln
SETEX-Textilveredlung-GmbH,Bocholt
Getzner Textil Weberei GmbH,Gera
CARUSO GmbH,Ebersdorf b.Coburg
Mondi Ascania GmbH,Aschersleben
C.F. WEBER GmbH,Leutersdorf
Vowalon Beschichtung GmbH,Treuen
Velener Textil GmbH,Velen
Jörg Lederer GmbH,Amstetten
BNP Brinkmann GmbH & Co. KG,Hörstel
GOLDINA Loy GmbH & Co. KG,Landsberg am Lech
F.J. Rammer GmbH,Ohorn
Textilveredlung Drechsel GmbH,Selb
Heiligenstädter,Heilbad Heiligenstadt
Filzfabrik Wurzen GmbH,Wurzen
Schneiderfilz Schneider Gmbh & Co. KG,Ettlingen
Junkers & Müllers GmbH,Mönchengladbach
Schwarzwälder Textil-Werke,Schenkenzell
GKD - Gebr. Kufferath AG.,Düren
Polyvlies Franz Beyer GmbH,Hörstel
CORDENKA GmbH & Co. KG,Obernburg
Thorey Gera Textilveredelung GmbH,Gera
ETTLIN Aktiengesellschaft,Ettlingen
Ploucquet GmbH,Zittau
Gebrüder Mehler GmbH,Tirschenreuth
Amann & Söhne GmbH & Co. KG,Bönnigheim
Wilhelm Kneitz AG Textilwerke,Wirsberg
Gebr. Otto Baumwollfeinzwirnerei GmbH,Dietenheim
Filzfabrik Fulda GmbH & Co KG,Fulda
M & K Filze GmbH,Spalt
SKL Schwergewebekonfektion,Oberlungwitz
TWE Vliesstoffwerke GmbH & Co. KG,Emsdetten
Madeira Garne Ulrich +,Freiburg im Breisgau
MADEIRA GARNFABRIK RUDOLF SCHMIDT KG.,Freiburg im Breisgau
BWZ Baumwollweberei Zittau GmbH,Zittau
Huesker Synthetic GmbH,Gescher
Mehler Texnologies GmbH,Hückelhoven
Gruschwitz Textilwerke AG,Leutkirch im Allgäu
Penn Textile Solutions GmbH,Paderborn
HOFTEX GROUP AG,Hof
Güth & Wolf GmbH,Gütersloh
Sturm Handelsgesellschaft mbH,Rottenburg am Neckar
C & V - Cord und Velveton GmbH,Leutersdorf
Spandauer Velours GmbH & Co. KG,Lichtenstein/Sa.
Lindenfarb Textilveredlung,Aalen
Wagenfelder Spinnereien GmbH,Wagenfeld
TEG Textile Expert Germany GmbH,Heinsdorfergrund
pile fabrics GmbH,Nettetal
Scheffer & Wiggers GmbH,Nordhorn
YKK DEUTSCHLAND GmbH,Mainhausen
YKK Stocko Fasteners GmbH,Wuppertal
J.G. KNOPF'S SOHN GmbH & Co. KG,Helmbrechts
Heinrich Glaeser Nachf. GmbH,Ulm
Zwickauer Kammgarn GmbH,Wilkau-Haßlau
Vereinigte Filzfabriken AG,Giengen an der Brenz
ENKA International GmbH & Co. KG,Wuppertal
ADVANSA Marketing GmbH,Hamm
The FilamentFactory GmbH,Bad Hersfeld
Fein-Elast Umspinnwerk GmbH,Zeulenroda-Triebes
E. Schoepf GmbH,Stammbach
Vitrulan Holding GmbH,Marktschorgast
WKS Textilveredlungs-GmbH,Wilsum
Filzfabrik Gustav Neumann GmbH,Braunschweig
NOON GmbH,Limbach-Oberfrohna
Textilveredlung Erzgebirge GmbH & Co. KG,Sehmatal
Stickerei Müller GmbH & Co. KG,Diespeck
Märkische Faser GmbH,Premnitz
XENTRYS Leuna GmbH,Leuna
Alfred Apelt GmbH,Oberkirch
zwissTEX GmbH,Gerstetten
M. Zellner GmbH,Michelau
W. Zimmermann GmbH & Co. KG,Weiler-Simmerberg
Teijin Aramid GmbH,Wuppertal
Eduard Kupfer Nähseiden Vertriebs,Ansbach
Schoppel Spinnerei und Zwirnerei GmbH,Wallhausen
Richter Färberei- und Ausrüstungs GmbH,Stadtallendorf
PONGS GROUP GmbH & Co. KG,Düsseldorf
Delcotex Delius Techtex GmbH & Co. KG,Bielefeld
Gebrüder Colsman GmbH & Co. KG,Essen
SR Webatex GmbH,Bayreuth
OTEX Textilveredlung GmbH,Flöha
Nikol Weber KG,Selbitz
Fibertex Personal Care AG,Ilsenburg (Harz)
OGUS Netze und Wirkwaren GmbH & Co. KG,Oberndorf am Neckar
Gebr. Röders AG,Soltau
Tenowo GmbH,Hof
H. Seybold GmbH & Co. KG,Düren
Tuchfabrik Willy Schmitz GmbH & Co. K.G.,Mönchengladbach
KSO-Textil GmbH,Olbersdorf
PyroTex Industries GmbH,Hamburg
Filament-Technik Gesellschaft,Baesweiler
Silent Gliss Fabrics & Components GmbH,Weil am Rhein
TWE Bocholt GmbH & Co. KG,Bocholt
ZUE - Zwirnerei Untereggingen GmbH,Eggingen
Georg Chr. Wirth GmbH & Co KG.,Helmbrechts
Hemmers/Itex Textil Import Export GmbH,Nordhorn
TEXTUM GmbH,Bünde
EUROTEX GmbH,Bielefeld
MR création Maute + Renz Textil GmbH,Albstadt
