company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Spinnerei Lampertsmühle GmbH,Kaiserslautern,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Spinnerei_Lampertsmuehle_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Solida Safety Line GmbH,Helmstedt,NA,NA,"173.363,41","199.431,07",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Solida_Safety_Line_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
UTT Technische Textilien GmbH & Co KG,Krumbach (Schwaben),NA,NA,NA,NA,-,-,
Schleswiger Tauwerkfabrik,Schleswig,"862.611,50","1.240.611,00","1.439.679,75","1.723.529,46",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Schleswiger_Tauwerkfabrik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Gerhard van Clewe GmbH & Co KG,Hamminkeln,"3.207.806,00","3.904.837,00","8.366.285,06","9.325.790,06",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Gerhard_van_Clewe_GmbH_and_Co_KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Jacob Emendoerfer,Dinkelsbühl,NA,NA,"211.216,00","270.041,59",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Jacob_Emendoerfer/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
KBC Fashion GmbH & Co. KG,Maulburg,NA,NA,NA,NA,-,-,
SAHCO GmbH,Nürnberg,NA,NA,"57.904,79","81.503,27",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/SAHCO_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bornemann-Etiketten GmbH,Wuppertal,NA,NA,"301.380,52","95.766,00",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Bornemann-Etiketten_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hohmann GmbH & Co. KG,Helmbrechts,NA,NA,NA,NA,-,-,
C. Cramer & Co. GmbH,Heek,NA,NA,NA,NA,-,-,
Intercord Thüringen GmbH,Mühlhausen/Thüringen,"1.284.538,00","926.855,00","4.441.250,79","3.982.735,64",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Intercord_Thueringen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SETEX-Textil-GmbH,Hamminkeln,"4.227.387,00","5.100.831,00","9.960.086,46","11.180.230,36",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/SETEX-Textil-GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SETEX-Textilveredlung-GmbH,Bocholt,NA,NA,"1.541.670,96","2.713.857,96",01.01.2017,31.12.2017,bundesanzeiger_local_stoffhersteller/SETEX-Textilveredlung-GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2017_bis_zum_31.12.2017
Getzner Textil Weberei GmbH,Gera,"16.471.237,00","20.020.596,00","38.364.120,86","43.042.530,86",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Getzner_Textil_Weberei_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
CARUSO GmbH,Ebersdorf b.Coburg,NA,NA,"0,00","2,50",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/CARUSO_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Mondi Ascania GmbH,Aschersleben,NA,NA,NA,NA,-,-,
C.F. WEBER GmbH,Leutersdorf,NA,NA,NA,NA,-,-,
Vowalon Beschichtung GmbH,Treuen,"3.154.962,37","2.809.043,87","292.632,64","23.306,64",01.01.2007,31.12.2007,bundesanzeiger_local_stoffhersteller/Vowalon_Beschichtung_GmbH/Jahresabschluss_zum_31._Dezember_2007
Velener Textil GmbH,Velen,"2.225.569,39","1.310.340,43","2.510.253,39","1.631.760,43",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Velener_Textil_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Jörg Lederer GmbH,Amstetten,"2.366.487,00","2.187.126,00","2.419.809,25","2.718.700,33",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Joerg_Lederer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BNP Brinkmann GmbH & Co. KG,Hörstel,"3.275.473,08","3.446.512,08","6.390.013,77","6.738.381,63",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/BNP_Brinkmann_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
GOLDINA Loy GmbH & Co. KG,Landsberg am Lech,NA,NA,NA,NA,-,-,
F.J. Rammer GmbH,Ohorn,NA,NA,"572.854,99","479.245,99",01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/F.J._Rammer_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Textilveredlung Drechsel GmbH,Selb,"697.992,00","1.015.977,00","1.490.036,00",1.866,01.01.2021,31.12.2021,bundesanzeiger_local_stoffhersteller/Textilveredlung_Drechsel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
