company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
ZMB BRAUN GmbH,Friedrichshafen,NA,NA,NA,NA,-,-,
Refratechnik Holding GmbH,München,NA,NA,"2.658.759,29","2.644.319,72",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Refratechnik_Holding_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Weerulin GmbH,Mülheim an der Ruhr,"1.715.412,20","1.573.532,80","4.977.419,87","4.619.683,39",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Weerulin_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Refratechnik Ceramics GmbH,Melle,"1.436.434,00","1.668.858,00","6.127.835,00","5.411.075,20",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Refratechnik_Ceramics_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Aug. Gundlach KG,Großalmerode,NA,NA,NA,NA,-,-,
IMERYS ZSCHORNEWITZ GmbH,Gräfenhainichen,"3.163.835,75",1.124,"9.464.795,39",9.379,01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/IMERYS_ZSCHORNEWITZ_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
QSIL Ingenieurkeramik GmbH,Frankenblick,NA,NA,NA,NA,-,-,
KERAFOL Keramische Folien GmbH,Eschenbach i.d.OPf.,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/KERAFOL_Keramische_Folien_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
KOBER Steinwiesen GmbH & Co. KG,Steinwiesen,NA,NA,"557.982,00","648.273,10",01.07.2021,30.06.2022,bundesanzeiger_local_technische-keramik/KOBER_Steinwiesen_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
Minteq International GmbH,Duisburg,"1.268.324,84","1.132.197,66","9.147.876,87","17.900.872,76",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Minteq_International_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Chemikalien-Gesellschaft,Dortmund,NA,NA,"1.866.277,41","1.756.680,98",31.12.2006,31.12.2005,bundesanzeiger_local_technische-keramik/Chemikalien-Gesellschaft/Jahresabschluss_zum_31.12.2006
Elektrokeramik Sonneberg GmbH,Sonneberg,"1.666.735,83",3.645,"66.444,12",214,01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Elektrokeramik_Sonneberg_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
QSIL Ceramics GmbH,Auma-Weidatal,NA,NA,NA,NA,-,-,
Dörentrup Feuerfestprodukte,Dörentrup,"1.586.506,00","1.515.086,00","2.672.723,00","2.667.740,40",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Doerentrup_Feuerfestprodukte/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Sembach GmbH & Co. KG,Lauf an der Pegnitz,"3.983.677,99","4.671.792,99","5.189.066,51","5.618.846,00",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Sembach_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Meissen Keramik GmbH,Meißen,NA,NA,"1.307.205,46","1.581.213,46",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Meissen_Keramik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MAMMUT - WETRO Schmelztiegelwerk GmbH,Puschwitz,NA,NA,NA,NA,-,-,
CERA SYSTEM Verschleißschutz GmbH,Hermsdorf,"1.555.475,78","1.888.534,88","8.809.941,43",4.354,01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/CERA_SYSTEM_Verschleissschutz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Porzellanfabrik Hermsdorf GmbH,Hermsdorf,"2.702.538,10","3.303.484,27","3.598.128,10","4.266.860,66",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Porzellanfabrik_Hermsdorf_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MOESCHTER Group GmbH,Dortmund,NA,NA,"5.916.150,12",5.543,01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/MOESCHTER_Group_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Morgan Advanced Materials,Waldkraiburg,"5.211.855,14","3.697.541,57","11.549.137,00","11.259.934,22",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Morgan_Advanced_Materials/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Rösler CeramInno GmbH,Tettau,NA,NA,"1.836.204,70","1.446.671,81",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Roesler_CeramInno_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Sigmund Lindner GmbH,Warmensteinach,"2.389.347,30","2.342.274,17","5.113.327,73","3.887.477,02",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/Sigmund_Lindner_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
HiPer Ceramics GmbH,Oberkrämer,NA,NA,NA,NA,31.12.2006,31.12.2006,bundesanzeiger_local_technische-keramik/HiPer_Ceramics_GmbH/Jahresabschluss_zum_31.12.2006
hofmann CERAMIC GmbH,Breitscheid,NA,NA,"1.869.205,59","2.142.772,13",01.04.2021,31.03.2022,bundesanzeiger_local_technische-keramik/hofmann_CERAMIC_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
HAGENBURGER Feuerfeste Produkte GmbH,Grünstadt,"278.859,09","350.153,59","4.635.956,69","4.609.174,42",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/HAGENBURGER_Feuerfeste_Produkte_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hessische Schmelztiegel und Schamott-,Großalmerode,NA,NA,NA,NA,-,-,
VGT-DYKO GmbH,Großalmerode,"1.913.526,00","2.063.133,00","3.766.166,70","3.996.339,70",01.01.2021,31.12.2021,bundesanzeiger_local_technische-keramik/VGT-DYKO_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
