company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Sanetta,Meßstetten,"460.320,00","317.238,00","1.900.600,31","1.834.210,13",01.07.2021,30.06.2022,bundesanzeiger_local_textilindustrie/Sanetta/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
Country Line Trachtenmoden GmbH,Mühldorf a. Inn,"92.989,00","134.452,00","4.311.148,18","4.568.427,18",01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/Country_Line_Trachtenmoden_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Gebrüder Aurich GmbH,Radevormwald,NA,NA,"20.199,00","186.794,00",01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/Gebrueder_Aurich_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bauer Fashion GmbH,Leidersbach,NA,NA,NA,NA,-,-,
BOFA-Doublet GmbH,Hennef (Sieg),"9.453,36",3.,"9.453,36",3.,01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/BOFA-Doublet_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
erima GmbH,Pfullingen,"8.851.045,00","9.569.277,00","10.392.347,48","11.297.117,20",01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/erima_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Klaus Herding GmbH,Rhede,"306.654,50","305.360,50",3.771,3.852,01.07.2021,30.06.2022,bundesanzeiger_local_textilindustrie/Klaus_Herding_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
DIGEL Aktiengesellschaft,Nagold,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/DIGEL_Aktiengesellschaft/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
August Bickert GmbH & Co. KG,Großostheim,NA,NA,"269.634,01","327.576,01",01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/August_Bickert_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
WEITBLICK GmbH & Co. KG,Kleinostheim,"696.422,00","100.517,50","4.784.063,31","5.380.136,31",01.01.2021,31.12.2021,bundesanzeiger_local_textilindustrie/WEITBLICK_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
