Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Gluth Systemtechnik GmbH,https://www.gluth.de/,True,Automationslösungen,Formen,Kunststoffteile,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Drehen,Fräsen,Fügeprozesse
Erbatech GmbH,https://www.erbatech.com/,False,Dachbahnen,Schaltschränke,Textilveredelungen,Färbemaschinen,Imprägnierungsmaschinen,Textilmaschinen,Bleichen,Färben,Imprägnierung
PPM-Aberle GmbH & Co KG,https://www.ppm-aberle.de/,True,Automobilkomponenten,Baugruppen,Präzisionskomponenten,Automatisierte Kontrollautomaten,CNC-Langdrehautomaten,CNC-Mehrspindler,Drehen,Fräsen,Zerspanen
Mikromat WZM GmbH,https://www.mikromat-wzm.de,True,Automatisierungslösungen,CNC-Bearbeitungszentren,MIKROMAT Rapid Technology,Bohrmaschinen,Drehmaschinen,Fräsmaschinen,CNC-Bearbeitung,Metallbearbeitung,Präzisionsfertigung
Felss Systems GmbH,https://www.felss.com,True,Automatisierungstechnik,Fertigungslösungen,Kaltumformung,Bearbeitungsmaschinen,Drehmaschinen,Erodiermaschinen,CNC-Bearbeitung,Drehen,Kaltumformung
Braun Sondermaschinen GmbH,www.braun-sondermaschinen.de,True,Automatisierungslösungen,Beschichtungsanlagen,Fertigungslinien,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Kleben,Metallbearbeitung,Montage
Krebs & Riedel Schleifscheibenfabrik GmbH & Co. KG,www.krebs-riedel.de,True,CBN- und Diamantwerkzeuge,Kunststoff-Produkte,Metall-Produkte,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Feinschleifen,Kunststoffverarbeitung,Metallbearbeitung
Julius Schüle Druckguss GmbH,https://www.schuele.de/,False,Aluminiumteile,Druckgussteile,Komponenten,Fräsmaschinen,Gießmaschinen,Montageanlagen,Druckguss,Rührreibschweißen,Zerspanung
HÄNDLE GmbH Maschinen und Anlagenbau,www.haendle.com,True,Bearbeitungszentren,Extrusionsanlagen,Labor,Drehmaschinen,Erodiermaschinen,Extrusionsmaschinen,Drehen,Erodieren,Extrudieren
Sprimag Spritzmaschinenbau GmbH & Co. KG,https://www.sprimag.com,False,Applikationstechnik,Automatisierungslösungen,Beschichtungsanlagen,Automatisierungstechnik,Lackieranlagen,Prüfmaschinen,Automatisierung,Nasslackierung,PVD-Beschichtung
Fibro Läpple Technology GmbH,https://www.fibro-laepple.de,True,Automationslösungen,Automatisierungslösungen,Bearbeitungszellen,Erodiermaschinen,Fräsmaschinen,Greifer,Handhabung,Kunststoffverarbeitung,Metallbearbeitung
Albert Kerbl GmbH,https://www.kerbl.com/,False,Agricultural Supplies,Animal Husbandry Accessories,Veterinary Equipment,,,,,,
NORDSON Deutschland GmbH,https://www.nordson.com,False,Dichtstoffe,Dispensierungssysteme,Inspektionssysteme,Dispensiermaschinen,Dosieranlagen,Inspektionsmaschinen,Flüssigkeitsdosierung,Kunststoffverarbeitung,Metallbearbeitung
Makita Engineering Germany GmbH,https://www.makita-engineering.de/,False,Akkuwerkzeuge,Elektrowerkzeuge,Handwerkzeuge,Drehmaschinen,Fräsmaschinen,Stanzmaschinen,Kunststoffverarbeitung,Metallbearbeitung,
EWM AG,https://www.ewm-group.com,False,Schweißbrenner,Schweißgeräte,Schweißmaschinen,Automatisierte Schweißanlagen,Plasmaschneider,Schweißgeräte,E-Hand-Schweißen,MIG/MAG-Schweißen,Plasmaschneiden
KULLEN-KOTI GmbH,https://www.kullen.de/de/,False,Bürstentechnik,Individuelle Sonderlösungen,Technische Bürsten,Bürstmaschinen,Fräsmaschinen,,Bürstenherstellung,Entgraten,Oberflächenveredlung
J. A. Becker & Söhne Maschinenfabrik,http://www.jab-becker.de/,False,Compressed air preparation systems,Compressors,Lifting platforms,Compressors,Hydraulic lifts,,Hydraulische Fertigung,Metallbearbeitung,
Gülde GmbH & Co KG Kaltwalzwerk,https://www.guelde.de,True,Baugruppen,Fertigungsteile,Flachdrähte,Drehmaschinen,Fräsmaschinen,Kaltwalzmaschinen,CNC-Bearbeitung,Kaltwalzen,Montage
Bullmer GmbH,https://www.bullmer.de,False,Automatisierte Produktionslösungen,Einzellagencutter,Hochlagencutter,CNC Cutter,Laseranlagen,Legemaschinen,Automatisierung,Legetechnologie,Materialhandling
