Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Gluth Systemtechnik GmbH,https://www.gluth.de/,True,Automationslösungen,Formen,Kunststoffteile,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Drehen,Fräsen,Fügeprozessen
Erbatech GmbH,https://www.erbatech.com/,False,Dachbahnen,Schaltschränke,Textilveredelungen,Färbemaschinen,Imprägnierungsmaschinen,Textilmaschinen,Bleichen,Färben,Imprägnierungen
PPM-Aberle GmbH & Co KG,https://www.ppm-aberle.de/,True,Automobilkomponenten,Baugruppen,Präzisionskomponenten,Automatisierte Kontrollautomaten,CNC-Langdrehautomaten,CNC-Mehrspindler,Drehen,Fräsen,Zerspanen
Mikromat WZM GmbH,https://www.mikromat-wzm.de,True,Automatisierungslösungen,CNC-Bearbeitungszentren,MIKROMAT Rapid Technology,Bohrmaschinen,Drehmaschinen,Fräsmaschinen,CNC-Bearbeitungen,Metallbearbeitungen,Präzisionsfertigungen
Felss Systems GmbH,https://www.felss.com,True,Automatisierungstechnik,Fertigungslösungen,Kaltumformung,Bearbeitungsmaschinen,Drehmaschinen,Erodiermaschinen,CNC-Bearbeitungen,Drehen,Kaltumformungen
Braun Sondermaschinen GmbH,www.braun-sondermaschinen.de,True,Automatisierungslösungen,Beschichtungsanlagen,Fertigungslinien,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Kleben,Metallbearbeitungen,Montagen
Krebs & Riedel Schleifscheibenfabrik GmbH & Co. KG,www.krebs-riedel.de,True,CBN- und Diamantwerkzeuge,Kunststoff-Produkte,Metall-Produkte,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Feinschleifen,Kunststoffverarbeitungen,Metallbearbeitungen
Julius Schüle Druckguss GmbH,https://www.schuele.de/,False,Aluminiumteile,Druckgussteile,Komponenten,Fräsmaschinen,Gießmaschinen,Montageanlagen,Druckgüsse,Rührreibschweißen,Zerspanungen
HÄNDLE GmbH Maschinen und Anlagenbau,www.haendle.com,True,Bearbeitungszentren,Extrusionsanlagen,Labor,Drehmaschinen,Erodiermaschinen,Extrusionsmaschinen,Drehen,Erodieren,Extrudieren
Sprimag Spritzmaschinenbau GmbH & Co. KG,https://www.sprimag.com,False,Applikationstechnik,Automatisierungslösungen,Beschichtungsanlagen,Automatisierungstechnik,Lackieranlagen,Prüfmaschinen,Automatisierungen,Nasslackierungen,PVD-Beschichtungen
Fibro Läpple Technology GmbH,https://www.fibro-laepple.de,True,Automationslösungen,Automatisierungslösungen,Bearbeitungszellen,Erodiermaschinen,Fräsmaschinen,Greifer,Handhabungen,Kunststoffverarbeitungen,Metallbearbeitungen
Albert Kerbl GmbH,https://www.kerbl.com/,False,Agricultural Supplies,Animal Husbandry Accessories,Veterinary Equipment,,,,,,
NORDSON Deutschland GmbH,https://www.nordson.com,False,Dichtstoffe,Dispensierungssysteme,Inspektionssysteme,Dispensiermaschinen,Dosieranlagen,Inspektionsmaschinen,Flüssigkeitsdosierungen,Kunststoffverarbeitungen,Metallbearbeitungen
Makita Engineering Germany GmbH,https://www.makita-engineering.de/,False,Akkuwerkzeuge,Elektrowerkzeuge,Handwerkzeuge,Drehmaschinen,Fräsmaschinen,Stanzmaschinen,Kunststoffverarbeitungen,Metallbearbeitungen,
EWM AG,https://www.ewm-group.com,False,Schweißbrenner,Schweißgeräte,Schweißmaschinen,Automatisierte Schweißanlagen,Plasmaschneider,Schweißgeräte,E-Hand-Schweißen,MIG/MAG-Schweißen,Plasmaschneiden
KULLEN-KOTI GmbH,https://www.kullen.de/de/,False,Bürstentechnik,Individuelle Sonderlösungen,Technische Bürsten,Bürstmaschinen,Fräsmaschinen,,Bürstenherstellungen,Entgraten,Oberflächenveredlungen
J. A. Becker & Söhne Maschinenfabrik,http://www.jab-becker.de/,False,Compressed air preparation systems,Compressors,Lifting platforms,Compressors,Hydraulic lifts,,Hydraulische Fertigungen,Metallbearbeitungen,
Gülde GmbH & Co KG Kaltwalzwerk,https://www.guelde.de,True,Baugruppen,Fertigungsteile,Flachdrähte,Drehmaschinen,Fräsmaschinen,Kaltwalzmaschinen,CNC-Bearbeitungen,Kaltwalzen,Montagen
Bullmer GmbH,https://www.bullmer.de,False,Automatisierte Produktionslösungen,Einzellagencutter,Hochlagencutter,CNC Cutter,Laseranlagen,Legemaschinen,Automatisierungen,Legetechnologien,Materialhandling
MHT Mold & Hotrunner Technology AG,https://www.mht-ag.de,True,Anlagen,Heißkanal-Systeme,Maschinen,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Blechbearbeitungen,Kunststoffverarbeitungen,Metallbearbeitungen
DREISTERN GmbH & Co. KG,http://www.dreistern.com,True,After-Sales-Services,Profiliermaschinen,Rollforming-Systeme,Drehmaschinen,Fräsmaschinen,Profiliermaschinen,Kunststoffverarbeitungen,Metallbearbeitungen,Montageprozessen
Gesellschaft für Oeltechnik mbH,http://www.oeltechnik.com,True,Filteranlagen,Kondensationsanlagen,Kühlsysteme,Blechbearbeitungsmaschinen,Drehmaschinen,Fräsmaschinen,Metallbearbeitungen,Montagen,Oberflächenbehandlungen
Stahl- und Drahtwerk Röslau GmbH,https://www.roeslau-draht.com,False,Drahtgeflechte,Drahtprodukte,Federstahldrähte,Biege- und Formmaschinen,Drahtziehmaschinen,Kaltziehmaschinen,Biegen,Drahtziehen,Kaltziehen
Motortech GmbH,https://www.motortech.de,True,Gasmotorsteuerungssysteme,Gemischregelungssysteme,Sensoren,CNC-Bearbeitungszentren,Drehmaschinen,Fräsmaschinen,Elektronikfertigungen,Kunststoffverarbeitungen,Metallbearbeitungen
Hedelius Maschinenfabrik GmbH,https://www.hedelius.de,True,Bearbeitungszentren,Erodiermaschinen,Fräsmaschinen,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,CNC-Bearbeitungen,Metallbearbeitungen,Oberflächenbehandlungen
F. Zimmermann GmbH,https://www.f-zimmermann.com,False,Bearbeitungszentren,CNC Portalfräsmaschinen,Erodiermaschinen,Erodiermaschinen,Fräsmaschinen,Horizontalbearbeitungszentren,Erodieren,Fräsen,Kunststoffverarbeitungen
Weitmann & Konrad GmbH & Co KG,https://weko.net/de/,False,Flüssigkeitsauftrag,Puderauftrag,Zubehör,Auftragsmaschinen,Sprühmaschinen,,Beschichtungsprozessen,Druckverarbeitungen,
Dietze & Schell Maschinenfabrik GmbH & Co. KG,,True,Schneidanlagen,Spulmaschinen,Texturiermaschinen,Parallelwickler,Präzisionswickler,Verpackungsbandwickler,Schneiden,Texturierungen,Wickeln
Betafence GmbH,https://www.betafence.de,False,Gabionen,Sicherheitslösungen,Tore,Biegemaschinen,Pulverbeschichtungsanlagen,Schneidemaschinen,Metallbearbeitungen,Oberflächenbehandlungen,Pulverbeschichten
REKERS GmbH Maschinen- und Anlagenbau,,False,Betonmisch- und Transportanlagen,Handling Steinformanlagen,Steinformmaschinen,Betonmischanlagen,Handling Systeme,Steinformmaschinen,Form- und Stempelprozessen,Misch- und Dosierprozessen,Veredelungsprozessen
Heinzler Maschinenbau GmbH,https://heinzler-maschinenbau.de/,True,Bleigießerei,Lohnfertigung,,Drehmaschinen,Fräsmaschinen,Schweißanlagen,Drehen,Fräsen,Schweißen
BMI - Bundesverband der Maschinenringe e.V.,https://www.bmi.de/de/,False,Beratung und Unterstützung für Landwirte,Dienstleistungen im Agrarbereich,Laser-Messzeuge,Biegemaschinen,Bodenbearbeitungsmaschinen,Fräsmaschinen,Agrarproduktionen,Holzbearbeitungen,Kunststoffverarbeitungen
Mogatec GmbH,https://www.mogatec.de/de/,True,Gartengeräte,Heckenscheren,OEM Fertigung,Drehmaschinen,Fräsmaschinen,Laserschneidmaschinen,Kunststoffverarbeitungen,Metallbearbeitungen,Montagen
HAMMEL Recyclingtechnik GmbH,https://www.hammel.de/index.php/de/,False,Siebtechnik,Sortiertechnik,Zerkleinerer,Siebmaschinen,Sortieranlagen,Zerkleinerungsmaschinen,,,
Howden,https://www.howden.com,False,Kompressoren,Lösungen für die Luft- und Gasbehandlung,Ventilatoren,Biegemaschinen,Fräsmaschinen,Schweißmaschinen,Bearbeitungen,Montagen,Schweißen
ProKASRO Mechatronik GmbH,https://www.prokasro.de,True,Blechbearbeitung,Lohnfertigung,TV-Inspektionssysteme,Drehmaschinen,Fräsmaschinen,Hydrauliksysteme,Blechbearbeitungen,Kunststoffverarbeitungen,Metallbearbeitungen
Leonhard Breitenbach GmbH,https://www.breitenbach.de,True,Kalanderwalzen,Kunststoffverpackungen,Mischwalzen,Blasformmaschinen,CNC-Maschinen,Gießmaschinen,Blasformen,CNC-Bearbeitungen,Schleudergussverfahren
ASTOR Schneidwerkzeuge GmbH,http://www.astorblades.de,False,Abschneidemesser,Aufschnittmesser,Fräswerkzeuge,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Kunststoffverarbeitungen,Metallbearbeitungen,Wärmebehandlungen
Elektrowerkzeuge GmbH Eibenstock,https://www.eibenstock.com/de/,False,Antriebe & Motoren,Elektrowerkzeuge,Zubehör,,,,,,
Ring Maschinenbau GmbH,,True,Perforiermaschinen,Präge- und Sondermaschinen,Stanzmaschinen,CNC-Maschinen,Erodiermaschinen,Fräsmaschinen,Perforationen,Prägen,Stanzen
ZECHA Hartmetall-Werkzeugfabrikation GmbH,,False,Blank- und Formwerkzeuge,Kundenspezifische Werkzeuge,Präzisions-Mikrowerkzeuge,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Metallbearbeitungen,Oberflächenbehandlungen,Präzisionsbearbeitungen
Auerhammer Metallwerk GmbH,http://www.auerhammer.com,True,Kabel,Leitungen,Metallbänder,Extrusionsmaschinen,Montageanlagen,Plattiermaschinen,Glühen,Kaltwalzen,Kunststoffverarbeitungen
Emil Prinzing & Söhne GmbH & Co. KG,https://www.map-prinzing.de/,True,Maschinenbetten,Maschinenverkleidungen,Montierte Baugruppen,Blechbearbeitungsmaschinen,CNC-Großbearbeitungszentren,Fräsmaschinen,Lackierungen,Mechanische Fertigungen,Schweißkonstruktionen
Pacoma GmbH,https://www.pacoma.com/,False,Doppeltwirkende Zylinder,Hydraulikzylinder,Tandemzylinder,,,,Metallbearbeitungen,Oberflächenbehandlungen,Schweißen
