Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Sehon innovative Lackieranlagen GmbH,https://www.sehon-lackieranlagen.de,False,Arbeitsplätze,Lackierkabinen,Werkstattausrüstungen,,,,,,
W & Z Rohrsystem-Technik GmbH,https://www.rohrsystemtechnik.de/de/,False,Industriearmaturen,Schalldämpfer,Wärmetauscher,3D-Konstruktionsmaschinen,Pulverbeschichtungsmaschinen,Schweißmaschinen,3D-Konstruktionen,Pulverbeschichtungen,Schweißungen
DOMINION Deutschland GmbH,https://www.dominion-global.com/en/,False,Dienstleistungen,Projekte,Wartungen,,,,,,
Heinrich Steuber GmbH + Co.,https://steuber.net/de/,False,Digitaldrucksysteme,Druckmaschinen,Druckplattenbelichter,,,,,,
KMU LOFT Cleanwater GmbH,https://www.kmu-loft.de,False,Prozesswasserlösungen,Vakuumverdampfer,Vorbehandlungen,,,,,,
Gerd Bär GmbH,https://www.baer-cargolift.com,False,Hebebühnen,Heckklappen,Steuerungssysteme,,,,,,
Andreas Lupold Hydrotechnik GmbH,https://www.lupold.de,False,Pumpen,Ventile,hydraulische Hubgeräte,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Erodieren,Fräsen,Laserschneiden
TAKRAF GmbH,https://www.takraf.com,False,Bergbausysteme,Mineralverarbeitung,Schüttgut-Handling,,,,,,
Julius Montz GmbH,https://www.montz.de,False,Blechpackungen,Gewebepackungen,Strukturpackungen,,,,,,
LIKUSTA Umwelttechnik GmbH,https://www.likusta.com/de/,False,Abluftbehandlungsanlagen,Dosiertechniken,Wasseraufbereitungsanlagen,,,,,,
2G Energy AG,https://2-g.com/de/,False,Blockheizkraftwerke,Container-Lösungen,Großwärmepumpen,,,,,,
Sokratherm GmbH,https://www.sokratherm.de,False,BHKW-Services,Blockheizkraftwerke,Kundenbetreuungen,,,,,,
Dehoust GmbH,http://www.dehoust.de,False,Heizöltanks,Lagertanks,Pufferspeicher,,,,,,
Loibl Förderanlagen GmbH,https://loibl-group.com/de/,False,Fördertechniken,Sondermaschinen,Verfahrenstechniken,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Erodieren,Fräsen,Laserschneiden
IMSTec GmbH,https://www.imstec.de,True,Anlagenbau,Automatisierungslösungen,Prozessentwicklungen,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen
AP & S International GmbH,https://ap-s.de,False,Nassprozessanlagen,Nassprozesse,Produktfilter,,,,Photoresist Strippings,Reinigungen,Ätzungen
A+F Automation + Fördertechnik GmbH,https://af-gmbh.de/de/,False,Maschinen,Packer,Palettierer,,,,,,
FUNKE Wärmeaustauscher Apparatebau GmbH,https://www.funke.de/de/,False,Luftgekühlte Wärmetauscher,Plattenwärmetauscher,Rohrbündelwärmetauscher,,,,,,
NESS Wärmetechnik GmbH,https://www.ness.de,False,Brenner,Elektrische Heizgeräte,Thermische Ölsysteme,,,,,,
Mauell GmbH,https://www.mauell.com,False,Konsolen,Kontrollräume,Simulatoren,,,,,,
SEMPA SYSTEMS GmbH,https://sempa.de/de/,False,CHEM'BOTS,GAS'BOTS,VAPOR'BOTS,,,,,,
Sesotec GmbH,https://www.sesotec.com,False,Metallsuchsysteme,Röntgeninspektionssysteme,Sortiersysteme,,,,,,
