Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Gentherm GmbH,https://www.gentherm.com,False,Thermomanagementsysteme,Pneumatische Komforttechnologien,Patienten-Temperaturmanagementsysteme,Elektronik,Kabel,Spritzgießmaschinen,Elektronikfertigungen,Kabelherstellungen,Spritzgussverfahren
BING Power Systems GmbH,https://www.bingpower.de,False,Drosselklappen,Schaltassistenten,Ölspritzdüsen,,,,,,
Danfoss Silicon Power GmbH,https://www.danfoss.com,False,Hydraulikzylinder,Elektrische Umrichter,Hydraulikaggregate,,,,,,
MicroFuzzy Industrie-Elektronic GmbH,https://www.microfuzzy.com/en/,False,Softwareentwicklungen,Hardwareentwicklungen,Funktionsentwicklungen,,,,,,
L&P Automotive Europe GmbH,https://leggett-automotive.com,False,Lumbarsysteme,mechanische Kabel,Motoren und Aktuatoren,,,,,,
Sinterwerke Herne GmbH,http://www.sinterwerke.com/de/,False,Sinterformteile,Bauteile,Sinterprodukte,Pressen,Sinteröfen,Bearbeitungsmaschinen,Pressen,Sintern,Mechanische Bearbeitungen
H+E Molding Solutions GmbH,https://www.hero-ittlingen.com,False,Komponenten,Dekorelemente,Bewegungssysteme,Spritzgussmaschinen,,,Spritzgießens,,
Konvekta Aktiengesellschaft,https://www.konvekta.de,False,Klimasysteme,Kühlanlagen,Thermomanagementsysteme,,,,,,
Nobo Automotive Systems Germany GmbH,http://www.motusintegrated.com,False,Headliner,Türarmlehnen,Konsolenarmlehnen,Pressungen,Schneidungen,Schweißungen,Fertigung,Ingenieuren,Montagen
Musashi Luechow GmbH,https://www.lue.de.musashi-group.com,False,Zwischenwellen,Zwischenräder,Parksperrenräder,Ringwalzmaschinen,Schmiedemaschinen,Wärmebehandlungsanlagen,Umformungen,Mechanische Bearbeitungen,Wärmebehandlungen
Halung AG,http://www.halung.de,False,IT-Systeme,Automotive-Systeme,,,,,,,
SCHRAMM Coatings GmbH,https://www.akzonobel.com/en/,False,Farben,Beschichtungen,Marken,,,,Malereien,Beschichtungen,Herstelllungen
