Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Hoedtke GmbH & Co. KG,https://hoedtke.de,True,3D-Drucke,Blechbearbeitungen,Lasertechniken,CNC-Maschinen,Lasermaschinen,Wasserstrahlmaschinen,CNC-Bearbeitungen,Laserschneiden,Wasserstrahlschneiden
R. Mannhardt GmbH,https://www.mannhardtgmbh.com,True,Baugruppen,Blechteile,Werkzeuge,Reinigungsanlagen,Stanzmaschinen,Umformmaschinen,Reinigen,Stanzen,Umformen
Sturm Blechverarbeitung GmbH,https://www.sturm-blech.de,True,Entgraten,Gleitschleifen,Laserschneiden,Abkantpressen,Laserschneidanlagen,Schleifmaschinen,Biegen,Laserschneiden,Schleifen
KUIPERS technologies GmbH,https://kuipers-technologies.de,True,Biegemaschinen,Laserschneidanlagen,Stanzmaschinen,Biegemaschinen,Drehmaschinen,Fräsmaschinen,Biegen,Drehen,Fräsen
Wilhelm Becker GmbH & Co. KG,https://wilhelm-becker.de,True,Federn,Montageteile,Stanzteile,CNC-Drahtbiegeautomaten,Federwindeautomaten,Pressen,Biegeprozesse,Montageprozesse,Stanzprozesse
Purkart Systemkomponenten GmbH,https://purkart.de,True,Baugruppen,Einzelteile,Systeme,Abkantmaschinen,Beschichtungsanlagen,CNC-Bearbeitungszentren,Blechbearbeitungen,Konstruktionen,Mechanische Bearbeitungen
Hennig GmbH,https://hennigworldwide.com/de/,False,Kühlmittelfiltrationssysteme,Maschinenschutzsysteme,Späneförderer,,,,,,
Vosseler GmbH,https://vosseler-gruppe.de,True,Gelenke,Muttern,Schraubverbindungen,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Bohrungen,Drehungen,Fräsungen
Eirenschmalz Maschinenbaumechanik und Metallbau GmbH,https://www.eirenschmalz.de,True,Baugruppen,Blechteile,Präzisionsteile,Abkantpressen,Laserschneidanlagen,Schweißanlagen,Abkanten,Laserschneiden,Schweißen
Stork GmbH & Co. KG,https://stork-online.de,True,Baugruppen,Sondermaschinen,Werkzeuge,Exzenterpressen,Hydraulikpressen,Stanzautomaten,Biegen,Laserschneiden,Schweißen
ERICH GRAU GMBH,https://www.grau-stanzwerk.de,True,Laserteile,Pakete,Stanzbiegeteile,Laserschneidmaschinen,Paketiermaschinen,Stanzmaschinen,Laserschneiden,Paketfertigungen,Stanztechniken
EPflex Feinwerktechnik GmbH,https://www.epflex.com,False,Fangschlingen,Führungsdrähte,Steinfanginstrumente,,,,,,
Karl Enghofer GmbH & Co. KG,https://www.enghofer.de,False,Präzisionsrohrteile,Präzisionsstanzteile,lötfreie Kabelverbindungen,Galvanisierungen,Maschinenbau,Werkzeugbau,Galvanisieren,Maschinenbau,Werkzeugbau
Ziegler GmbH,https://ziegler-gruppe.eu,True,Maschinenkomponenten,Präzisionsdrehteile,Spezialbauteile,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen
Rime GmbH,https://rime.de/de/,True,Kantteile,Laserteile,Schweißbaugruppen,Fräsmaschinen,Kantpressen,Laserschneidanlagen,Abkanten,Fräsen,Laserschneiden
Ludwig Michl GmbH,http://www.l-m-w.de,False,Kolonneneinbauten,Maschinenbauten,,,,,Pulverbeschichtungen,Tiefziehens,
Feinwerktechnik hago GmbH,https://www.hago-ft.de/de/,True,Muster,Sondermaschinen,Werkzeuge,Fluidcell-Pressen,Lasertechnik-Anlagen,Schnellpressen,Laserschneiden,Stanzen,Umformtechniken
WWS Metallformen GmbH,https://www.wws-metallformen.de,True,Baugruppen,Hochtemperaturdämmungen,Tiefziehteile,Fräsmaschinen,Laserschneidmaschinen,Pressen,Laserschneiden,Stanzen,Tiefziehen
Teckentrup GmbH + Co. KG,https://www.teckentrup.de,True,Stanzteile,Tiefziehteile,Umformteile,Stanzmaschinen,Tiefziehmaschinen,Umformmaschinen,Stanzen,Tiefziehen,Umformen
MVK Blech- und Metallverarbeitung,https://mvk-metall.de,True,Konstruktionen,Präzisionsteile,Qualitätsgesicherte Produkte,CNC-Fräsmaschinen,Laseranlagen,Schweißmaschinen,Fräsen,Laserschneiden,Schweißen
Wieland Eucaro GmbH,https://www.wieland-eucaro.de/de/,False,Bleche,Fittings,Rohre,CNC-Bearbeitungszentren,CNC-Drehautomaten,Wärmebehandlungsanlagen,Kaltumformungen,Schweißverbindungen,Zerspanungen
Hombach Wärmetechnik GmbH,https://www.hombach.de,False,Berechnungstools,Klimatechnikprodukte,Wärmeübertrager,,,,,,
Scheideler GmbH & Co KG,https://www.scheideler-gmbh.de,False,,,,,,,,,
Ziegler GmbH,https://www.ziegler-harvesting.com/de/,False,Maispflücker,Rapserntetechniken,Sonnenblumenschneidwerke,,,,,,
Hadrian GmbH & Co. Metall- und Kunststofftechnik KG,https://www.hadrian-wolgast.de,True,Blechteile,geschweißte Baugruppen,,CNC-Maschinen,Oberflächenbehandlungsmaschinen,Schweißmaschinen,Drehungen,Fräsungen,Schweißungen
BVS-Blechtechnik GmbH,https://www.bvs-blechtechnik.de,True,Baugruppen,Blechteile,Endgeräte,Abkantpressen,Laseranlagen,Nietmaschinen,Abkanten,Lasern,Nieten
KWL Blechverarbeitungs GmbH,https://www.kwl-blech.de,True,Blechverarbeitungen,Montagen,Oberflächenbehandlungen,CNC-Bearbeitungszentren,Laserschneidmaschinen,Rohrlaser,CNC Laserschneiden,Mechanische Bearbeitungen,Umformtechniken
RMIG GmbH,http://rmig.de,False,Kalkulatoren,Lochbleche,Standardprodukte,,,,,,
de Crignis Blechverarbeitung GmbH,https://www.de-crignis-gmbh.de,True,Blechverarbeitungen,Gehäuse,Pulverbeschichtungen,Biegemaschinen,Laserschneidemaschinen,Schleifmaschinen,Biegen,Laserschneiden,Schleifen
Geyer Umformtechnik GmbH,http://www.geyer-ut.de,True,Baugruppenträger,Blechbaugruppen,Gehäuse,CNC-gesteuerte Biegemaschinen,Laserschneidmaschinen,Stanzmaschinen,Biegetechniken,Laserschneiden,Stanzen
KODA Stanz- und Biegetechnik GmbH,http://www.koda-gmbh.de,True,Fertigungstechnologien,Innovationen,Produkte,Biegemaschinen,Schweißmaschinen,Stanzmaschinen,Biegen,Schweißen,Stanzen
Ernst Umformtechnik GmbH,https://www.ernst.de,True,Automobilsicherheitsteile,Getriebeteile,Thermomanagementteile,Laserschweißmaschinen,Pressen,Stanzen,Biegen,Laserschweißen,Stanzen
