Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Albrecht Bäumer,https://www.baeumer.com/en/,False,Anlagenbauten,Schaumschneidemaschinen,Software,,,,,,
Maschinenbau Scholz GmbH & Co. KG,https://www.scholz-autoclaves.com,False,Anlagen,Autoklaven,Schnellverschlüsse,,,,,,
BMA Braunschweigische Maschinenbauanstalt GmbH,https://www.bma-worldwide.com,False,EPC-Lösungen,Extraktionsanlagen,Kristallisationsanlagen,Trockner,Verdampfer,Zentrifugen,Extraktionen,Kristallisationen,Verdampfungen
MWN in Niefern Maschinenfabrik GmbH,http://www.mwn-niefern.de,False,Breitstreckwalzen,Presswalzen,Saugwalzen,,,,,,
elumatec AG,https://www.elumatec.com/de/,False,Maschinen und Anlagen für den Fenster- & Fassadenbau,,,,,,,,
Eckart Maschinenbau GmbH,https://www.eckart-de.com,False,Beschickungstechniken,Güllefässer,Multi Misch-Schaufeln,,,,,,
FORTUNA Spezialmaschinen GmbH,https://www.fortuna-gmbh.de,False,Pressmaschinen,Schärfmaschinen,Spaltmaschinen,,,,,,
CEROBEAR GmbH,https://www.cerobear.com/de/,False,Keramikrollen und -ringe,Ultraharte Stahlringe,Wälzlagerkäfige,,,,,,
Franz Ruberg & Co GmbH,https://franz-ruberg.de,False,Annahme- und Lagertechniken,Fördertechniken,Verfahrenstechniken,,,,,,
Breyer GmbH Maschinenfabrik,https://www.breyer-extr.com,False,Extrusionsanlagen,Gebrauchtmaschinen,Komponenten,Breitschlitzdüsen,Extruder,Glättmaschinen,Coextrusionen,Extrusionen,Glättungen
T R E I F - Maschinenbau GmbH,https://www.treif.de/de/,False,Brotschneidemaschinen,Portioniermaschinen,Schneidemaschinen,,,,Brotschneiden,Portionieren,Schneiden
RKT Rodinger Kunststoff-Technik GmbH,https://www.rkt.de/de/,True,Design Engineerings,Kunststoffspritzgüsse,Werkzeugbauten,CNC-Bearbeitungsmaschinen,Lasermaschinen,Spritzgießmaschinen,Design Engineerings,Kunststoffspritzgüsse,Werkzeugbauten
WIDOS Wilhelm Dommer Söhne GmbH,https://www.widos.de,False,Baustellenmaschinen,Heizwendel-Schweißmaschinen,Muffenschweißmaschinen,,,,,,
TML Technik GmbH,https://www.tml.de,False,Spezialmaschinen,Teleskop-Ausleger,Teleskopbagger,Hydraulikpressen,Richtmaschinen,Schweißmaschinen,Hydraulikprozesse,Richtprozesse,Schweißprozesse
MSK Verpackungs-Systeme GmbH,https://www.msk.de,False,Fördersysteme,Palettiersysteme,Verpackungssysteme,,,,,,
Pematech AG,https://pematech.de,True,Montagelinien,Prüflinien,Softwarelösungen,,,,Integrationsprozesse,Montageprozesse,Prüfprozesse
Mehrer Compression GmbH,https://www.mehrer.de,False,Kolbenkompressoren,Membrankompressoren,Systemlösungen,,,,,,
Gebr. Schmid GmbH,https://schmid-group.com,False,Lösungen für die Elektronikindustrien,Lösungen für die Photovoltaik- und Glasindustrien,Maschinen und Automatisierungssysteme,,,,,,
Schwarz Elektromotoren GmbH,https://www.schwarz-elektromotoren.de,False,Elektrofahrzeuge,Löschsysteme,Windenergien,,,,,,
LAMBDA Gesellschaft für Gastechnik mbH,https://www.lambda.de,False,Blockheizkraftwerke,Fackeln,Schwachgasbehandlungsanlagen,,,,,,
