Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
VAUTID GmbH,https://vautidgroup.com,False,Gussprodukte,Hardfacing-Schweißzusatzwerkstoffe,Verschleißschutzplatten,,,,,,
Eisenbau Krämer GmbH,https://www.eisenbau-kraemer.de,False,Kraftwerksrohre,Leitungsrohre,Premium Stahlrohre,,,,,,
Friedr. Lohmann GmbH,https://www.lohmann-stahl.de,True,Blechprodukte,Stabstahlprodukte,hitzebeständige Güsse,,,,,,
IBF Industrielle Blechfertigung GmbH,http://www.ibf-biberach.de,True,Fertigungsdienstleistungen,Maßgeschneiderte Lösungen,Präzisionswerkzeuge,Biegemaschinen,CNC-Fräsmaschinen,Laserschneidmaschinen,Biegen,CNC-Fräsen,Laserschneiden
Betafence GmbH,https://www.betafence.de,False,Gabionen,Tore,Zaunsysteme,,,,,,
Stahlhammer Bommern GmbH,https://stahlhammer.de,False,Hebezeuge,Schmiedestücke,,,,,Schmiedeverfahren,,
HMS Maass GmbH & Co. KG,https://www.hms-maass.de,True,Hitzeschutzböden,Stahlböden,Traversen,Faserlaser- und CO2-Laserverfahren,Montageanlagen,Pulverbeschichtungsanlagen,CO2-Laserschneiden,Faserlaserschneiden,Metall-Aktivgas-Schweißens
König & Co. GmbH,https://www.koenig-co.de,False,Behälterböden,Lagerböden,Sonderpressteile,,,,,,
Kimmel GmbH & Co. KG,https://www.kimmel-metall.de,True,Blechverarbeitungen,Produktbeispiele,Pulverbeschichtungen,Biegemaschinen,Clinchen-Pressen,Lasermaschinen,Biegen,Clinchen,Dichtschäumen
Rudi Göbel GmbH & Co. KG,https://www.rgoebel.de,False,Automotives,Industrietechniken,Leistungselektroniken,,,,,,
Ernst Strassacker GmbH & Co. KG,https://www.strassacker.com/de/,True,Auftragsarbeiten,Großprojekte,Sonderanfertigungen,,,,Gusstechniken,Handwerke,Moderne Fertigungstechniken
PROGRESSIO Feinblechtechnik GmbH,https://www.progressio-feinblech.de,False,Blechbaugruppen,Blechteile,Werkstückträger,,,,,,
Reinhold Mendritzki Kaltwalzwerk GmbH,https://www.mendritzki.de,False,Broschüren,Präzisionsteile,Schneidwerkzeuge,,,,,,
Schüer GmbH,https://a1-leitplanke.de,False,Industrielle Sicherheitslösungen,Serviceleistungen,Straßensicherungen,,,,,,
Hammerwerk Erft,http://www.hammerwerk-erft.de/de/,True,Formwellen,Geschmiedete Ringe,Nahtlos gewalzte Ringe,,,,,,
PPM-Aberle GmbH & Co KG,https://www.ppm-aberle.de,True,Automobilkomponenten,Baugruppen,Präzisionsteile,Drehmaschinen,Fräsmaschinen,Zerspanungsmaschinen,Drehens,Fräsens,Zerspanens
