Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
AKO - Kunststoffe Alfred Kolb GmbH,https://www.ako-kolb.de/de/,True,Präzisionsbaugruppen,Spritzgusswerkzeuge,Thermoplastspritzgüsse,Entnahmeroboter,Spritzgießmaschinen,Zerspanungsmaschinen,Drehen,Erodieren,Fräsen
Neuhäuser Präzisionswerkzeuge GmbH,https://www.neuhaeuser-controx.de,True,Composite Werkzeuge,Metallkreissägeblätter,Scheibenfräser,,,,,,
ACTech GmbH,https://www.actech.de/de/,True,Gussteile,Kleinserien,Prototypen,Biegen und Abkantmaschinen,Drehmaschinen,Erodiermaschinen,Biegungen und Abkantungen,Bohrungen,Drehungen
Schneider Form GmbH,https://www.schneider-form.de,True,CFK / Thermoformen,Druckgussformen,Spritzgießformen,CAD-Maschinen,Heiz- und Kühlgeräte,Materialtrockner,Ausproben,CAD-Konstruktionen,Druckgießverfahren
Stolz & Seng GmbH,https://stolz-seng.de,True,Formen,Präzisionsteile,Werkzeuge,Spritzgussmaschinen,,,Spritzgießens,Weiterverarbeitungen,
Carl Hilzinger-Thum GmbH & Co. KG,https://www.hilzinger-thum.de,False,Gummiwalzen,Technische Bürsten,Werkzeugbürsten,,,,,,
Frielinghaus GmbH,https://www.frielinghaus.de,False,Mähmesserklingen,Rotorspitzen,Strohmesser,,,,Hartbeschichtungen,Pressungen,Prägungen und Schmiedearbeiten
August Beck GmbH & Co. KG,https://beck.mapal.com,False,Bohrwerkzeuge,Entgratungswerzeuge,Reibahlen,,,,Biegen und Falten,Bohren,Drehen
MWS Schneidwerkzeuge GmbH & Co KG,https://www.mendritzki.de,True,Bandstähle,Präzisionsteile,Schneidwerkzeuge,Biegemaschinen,Erodiermaschinen,Fräsmaschinen,Biegungen und Abkantungen,Bohrungen,Drehungen
Christian Karl Siebenwurst GmbH & Co. KG,https://siebenwurst.de,True,Formenbauten,Modellbauten,Tool Doctors,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Biegungen und Abkantungen,Bohrungen,Drehungen
Zeltwanger Maschinenbau GmbH,https://www.zeltwanger.de,True,Dichtheitsprüfungsgeräte,Fertigungsdienstleistungen,Thermomanagement-Lösungen,Dichtheitsprüfmaschinen,Fräsmaschinen,Thermomanagement-Maschinen,Fräsen,Prüfprozesse,Wärmebehandlungen
SCHEUERMANN + HEILIG GmbH,https://www.sh-gmbh.de,True,Baugruppen,Federn,Stanz-Biegeteile,Exzenterpressen,Multi-Bearbeitungszentren,NC-Fertigungssysteme,Biegen und Abkanten,Montagen und Endbearbeitungen,Schweißen
MHT Mold & Hotrunner Technology AG,https://www.mht-ag.de,False,Heisskanal-Systeme,Maschinenpartner,PET-Preform-Werkzeuge,,,,Blasformverfahren,Spritzgießverfahren,
hapema GmbH,https://www.hapema-gmbh.de,True,Ersatz- / Verschleißteile,Prototypen-Fertigungen,Präzisions-Stanztechniken,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Montagen
