Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Federnfabrik Dietz GmbH,https://www.dietz.eu,False,Hybride Baugruppen,Präzisionsfedern,Stanz-Umformteile,Biegemaschinen,CNC-gesteuerte Fertigungsmaschinen,Lasermaschinen,Biegeprozesse,Montagen,Qualitätskontrollen
Hans Ziller GmbH,https://www.ziller-federn.de,False,Druckfedern,Schenkelfedern,Zugfedern,Durchlauföfen,Federwindeautomaten,Kammeröfen,Kaltverformungen,Kugelstrahlen,Schleifen
thema Form- & Federntechnologie GmbH & Co. KG,https://www.thema-federn.de/de/,False,Druckfedern,Federzinken,Zugfedern,,,,,,
Baumann GmbH,https://www.baumann-springs.com,False,Biegungen,Federn,Stanzteile,,,,,,
Bischoff Federnwerk,https://www.federnwerk-bischoff.de,True,Bahnfedern,Blattfedern,Parabelfedern,,,,Montagen,Oberflächenbehandlungen,Schweißens
Ernst W. Velleuer GmbH & Co. KG,https://velleuer.de,True,Drehfedern,Stanzbiegeteile,Stanzteile,Biegemaschinen,Drahtformmaschinen,Stanzmaschinen,Biegen,Drahtbiegen,Stanzen
SOGEFI PC SUSPENSIONS Germany GmbH,https://www.sogefigroup.com/de/,False,Fahrwerkskomponenten,Kühlungen,Luftansaugungen,,,,,,
Kurt Kauffmann Technische Federn GmbH,https://www.kauffmann-federn.de/de/,False,Druckfedern,Zugfedern,Zusammenbauten,,,,,,
Schomäcker Federnwerk GmbH,https://www.schomaecker.de,False,Federn,Technische Federn,Zubehörartikel,,,,Kugelstrahlen,Warmumformungen,Wärmetbehandlungen
HAHN-Gasfedern GmbH,https://www.hahn-gasfedern.de,False,Dämpfer,Gasdruckfedern,Gaszugfedern,,,,,,
BREMA-WERK GmbH & Co. KG,https://www.bremawerk.de,True,Stanzbiegeteile,Stanzteile,Technische Federn,Exzenterpressen,Stanzbiegeautomaten,,Oberflächenbehandlungen,Schleifen,Wärmebehandlungen
WEFORMA Dämpfungstechnik GmbH,https://www.weforma.com,False,Industriestoßdämpfer,Luftfedern,Schwerlastdämpfer,,,,,,
Pieron GmbH,https://pieron.international,False,Drahtbiegeteile,Drehfedern,Druckfedern,Automaten,Bihler-Technologien,Windemaschinen,Biegeprozesse,Drahtbiegeprozesse,Stanzprozesse
Federnwerke J.P. Grueber GmbH & Co. KG,https://grueber.de,False,Biegeteile,Druckfedern,Zugfedern,CNC-Biegemaschinen,Kaltformmaschinen,Warmformmaschinen,Biegungen,Kaltformungen,Warmformungen
Stumpp & Schüle GmbH,https://www.stumpp-schuele.de,True,Baugruppen,Federn,Stanzteile,Mehrschieberbiegeautomaten,Stanzautomaten,Werkzeugbaumaschinen,Biegefertigungen,Prüftechnologien,Stanzfertigungen
CEFEG GmbH,https://www.cefeg.de,True,Baugruppen,Federn,Stanzbiegeteile,Biegemaschinen,CNC-Maschinen,Stanzmaschinen,Biegen,CNC-Bearbeitungen,Stanzen
Bansbach easylift GmbH,https://www.bansbach.com,False,Dämpfer,Elektro-Aktuatoren,Gasfedern,,,,,,
S & P Federnwerk GmbH & Co. KG,https://www.lesjoforsab.com,True,Federbeine,Gasfedern,Stanzteile,Biegemaschinen,Schneidemaschinen,Stanzmaschinen,Biegungen,Schnitte,Stanzungen
