Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Ottmar Buchberger GmbH,https://www.buchberger-gmbh.de,True,Bohrungen,Drehteile,Frästeile,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Bohrungen,Drehungen,Fräsungen
DELO Industrie Klebstoffe GmbH & Co.,https://www.delo.de,False,Aushärtesysteme,Dosiersysteme,Klebstoffe,,,,,,
Stemmann-Technik GmbH,https://www.stemmann.com/de/,False,Leitungstrommeln,Leitungswagensysteme,Schleifringübertrager,,,,,,
MPT Präzisionsteile GmbH Mittweida,https://www.mpt-group.com,True,CNC-Bearbeitungen,Gusskompetenzen,Umformtechnologien,CNC-Drehmaschinen,CNC-Fräsmaschinen,Pressen,Bohrungen,Drehungen,Fräsungen
Harald Böhl GmbH,https://www.haboe.de,True,Baugruppen,Drehteile,Frästeile,Bearbeitungszentren,Dreh-Fräszentren,Drehmaschinen,Drehungen,Fräsungen,Montagen
Hutzel Seidewitztal GmbH,https://www.hutzeltechnics.de,True,Komponenten,Medizinprodukte,Präzisionsteile,CNC-Maschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen
Otto SPANNER GmbH,https://www.spanner.de,True,Baugruppen,Blechteile,Platinen,Biegemaschinen,Laserschneidemaschinen,Pressen,Biegen,Laserschneiden,Pressen
Benninger AG,https://www.benningergroup.com/de/,False,Anlagen,Lösungen,Textilmaschinen,Bleichmaschinen,Färbemaschinen,Waschmaschinen,Bleichungen,Färbungen,Waschungen
Langenbach & Köster GmbH & Co. KG,https://langenbachkoester.com,False,Baugruppenteile,Schmiedeteile,Stanzteile,Schmiedemaschinen,Stanzmaschinen,Umformmaschinen,Präzisionsfertigungen,Warmumformungen,spanabhebende Nachbearbeitungen
KEHREN GmbH,https://www.kehren.com,True,Rundtisch-Flachschleifmaschinen,Schleifspindeln,Vertikalschleifzentren,Schleifmaschinen,Schleifspindeln,Schleifzentren,Schleifen,,
FRANK GmbH,https://www.frank-gmbh.de/de/,False,Armaturen,Behälter,Rohrsysteme,,,,,,
NTN Kugellagerfabrik (Deutschland) GmbH,https://www.ntn-snr.com,False,Lager,Linearmodule,Roller,,,,,,
CONSTAB Polyolefin Additives GmbH,https://constab.com,True,Additive,Masterbatches,Verbindungen,,,,,,
JVK Filtration Systems GmbH,https://www.jvk.de,False,Kammerplatten,Membranplatten,spezielle Filterelemente,,,,,,
Reinert-Ritz GmbH,https://www.reinert-ritz.de,False,Flanschverbindungen,Hydrantenfittings,Revisionsöffnungen,Extrusionsmaschinen,Schweißmaschinen,Spritzgießmaschinen,Extrudierungen,Schweißungen,Spritzgießungen
