Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Murrplastik Systemtechnik GmbH,https://www.murrplastik.de,False,Kabeldurchführungen,Kennzeichnungen,Schläuche,,,,,,
Innovatec Microfibre Technology,https://melt-blown.com,False,Filterprodukte,Spinnvliese,Vliesstoffe,Laboreinrichtungen,Meltblown-Anlagen,Spinnvliesanlagen,Extrudierungen,Montierungen,Verarbeitungen
Funke Kunststoffe GmbH,https://www.funkegruppe.de,False,Hausanschlüsse,Rohrsysteme,Rohrverbindungen,,,,,,
Deutsche Technoplast GmbH,https://www.deutsche-technoplast.com,True,Automatisierungssysteme,Kunststoffteile,Werkzeuge,Automatisierungsmaschinen,Spritzgussmaschinen,Werkzeugmaschinen,Automatisierungen,Spritzgießverfahren,Werkzeugbauten
ACLA-WERKE GMBH,https://www.acla.de,False,Dichtungen,Formartikel,Halbzeuge,Extruder,Pressen,Spritzgussmaschinen,Extrudierens,Pressens,Spritzgießens
Findeis GmbH,https://www.findeis.de,False,,,,,,,,,
Camso Deutschland GmbH,https://camso.co/de/,False,Gummibänder,Kettensysteme,Umrüstsysteme,,,,,,
ttp Papenburg GmbH,https://www.ttp-kunststoffprofile.de,False,Kunststoffprofile,Ladenbauprofile,Resystas,Extrusionsanlagen,Laborextruder,Werkzeugmaschinen,Extrusionen,Labormischungen,Spritzgießungen
Trelleborg Sealing Profiles Germany GmbH,http://www.trelleborg.com/de/,False,Dichtungen,Lösungen,Profile,,,,,,
Amper-Plastik R. Dittrich GmbH & Co. KG,https://www.amperplastik.de,True,Kunststoffprodukte,Spritzgießformen,Systemlösungen,Hochleistungswerkstoffmaschinen,Präzisionsmessgeräte,Spritzgießmaschinen,Baugruppenmontagen,Formenbauten,Spritzgießens
Kremer-Kautschuk-Kunststoff,https://www.kremer.de,True,Elastomeren,Flüssigsilikonen,Thermoplasten,,,,,,
Rüde Gruppe,https://www.ruede.de,True,Betonprodukte,Kunststoffprofile,Stahlprodukte,Formenbaumaschinen,Spritzgießmaschinen,Werkzeugmaschinen,Formenbauten,Spritzgießens,Werkzeugbauten
Hörl Kunststofftechnik GmbH & Co. KG,https://www.hoerl.de,True,Hochkavitätige-Spritzgüsse,Kontaktkomponenten,Präzisions-Spritzgüsse,Montagemaschinen,Spritzgussmaschinen,Werkzeugmaschinen,Montagen,Spritzgießens,Werkzeugbauten
Menke-Kunststoffe GmbH & Co. KG,http://www.mk-profile.de,True,Dächer & Fassaden,Fensterzubehöre,Gartensysteme,Extrusionsmaschinen,Folierbeschichtungsmaschinen,Spritzgießmaschinen,Extrusionen,Folierbeschichtungen,Spritzgießungen
Mecalit GmbH Kunststoffverarbeitung,https://www.mecalit.com/de/,False,,,,,,,,,
Burkhardt Kunststoffverarbeitung GmbH,https://www.burkhardt-kunststoff.de,False,,,,,,,,,
Lehmann & Frommelt Thermoformung GmbH,https://lefro-thermoformung.de/de/,False,Thermoformteile,Trays,Verpackungen,Formenbaumaschinen,Konfektioniermaschinen,Thermoformmaschinen,Konfektionieren,Nachbearbeitungen,Tiefziehen
Eckerle Holding GmbH,https://www.eckerle-gruppe.com,False,Bürstenkarten,Hybriden,bürstenlose Komponenten,CNCs,Spritzguss,Stanzungen,Kunststoffspritzgussformen,Montagen,Stanzteile
JACO Dr. Jaeniche GmbH & Co. KG,https://jaco.de,True,Röhren,Verpackungslösungen,Werkzeuge,Druckmaschinen,IML-Anlagen,Spritzgussmaschinen,Drucken,IMLs,Spritzgießens
Mouldtec Kunststoff - GmbH,https://www.mouldtec.de,False,Einkaufskörbe,Lebensmittelindustrien,Technische Teile,,,,,,
GEMA - Technik GmbH,https://www.gema-technik.de,True,Betriebsmittel,Spritzgussteile,Spulen,Automatisierungsanlagen,Spritzgussmaschinen,Werkzeugmaschinen,Automatisierungen,Spritzgießens,Werkzeugbauten
NOVAPAX Kunststofftechnik Steiner,https://www.novapax.de,True,Formen,Komponenten,Kunststoffteile,Oberflächenbehandlungsmaschinen,Qualitätssicherungsmaschinen,Spritzgießmaschinen,Oberflächenbehandlungen,Qualitätssicherungen,Spritzgießens
Polyblend GmbH,https://www.polyblend.de,True,Lohnverarbeitungsprodukte,Masterbatches,Verbindungen,,,,,,
Wilkes GmbH,https://www.wilkes.de,False,Kunststoffhalbzeuge,Profile,Verbundplatten,,,,,,
Hartmann Kunststofftechnik GmbH & Co. KG,https://www.hartmann-kunststofftechnik.de/de/,False,Befestigungselemente,Endpunktlager,Kunststofffederleisten,,,,,,
microart GmbH & Co. KG,https://microart-roding.de,True,Intelligente Lösungen,Präzisionsbauteile,Präzisionssysteme,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen
Gerodur MPM,https://www.gerodur.de,False,Geothermiesysteme,Heizungs- und Sanitärsysteme,Rohrleitungssysteme,Extruder,Schneidemaschinen,Spritzgießmaschinen,Extrudierungen,Spritzgießungen,Tiefziehungen
Mast Kunststoffe GmbH,https://www.mast-kunststoffe.de,False,Antriebselemente,Baugruppen,Gehäuse,,,,,,
Kunststofftechnik Krug GmbH,https://www.krug-breidenbach.de,True,Druckgussformen,Formen,Spritzgussformen,Druckgießmaschinen,Fräsmaschinen,Spritzgießmaschinen,Druckgießens,Fräsens,Spritzgießens
FRÖTEK-Kunststofftechnik GmbH,https://www.froetek.shop/de/,False,,,,,,,,,
Cetto Kunststoffverarbeitung GmbH,https://www.cetto-group.de,True,Kunststoffteile,Montagedienstleistungen,Veredelungsdienstleistungen,Montagemaschinen,Spritzgussmaschinen,Werkzeugmaschinen,Montagen,Spritzgießens,Werkzeugbauten
Indorama Ventures Polymers Germany GmbH,https://www.indoramaventures.com/en/,False,Harze,Recycling,Verpackungen,,,,Fertigungen,Recycling,Verarbeitungen
Reinhard Bretthauer GmbH,http://www.bretthauer.de,True,Baugruppen,Komponenten,Kunststoffteile,Prüfmaschinen,Spritzgießmaschinen,Werkzeugmaschinen,Montagen,Spritzgießens,Werkstoffverarbeitungen
Gramß GmbH Kunststoffverarbeitung,https://www.gramss-gmbh.de,False,Komponenten,Kunststoffverschlüsse,Verpackungen,Laserschneidmaschinen,Spritzgießmaschinen,Wasserstrahlschneidmaschinen,Laserschneidverfahren,Spritzgießverfahren,Wasserstrahlschneidverfahren
Wefapress Beck + Co. GmbH,https://www.wefapress.com,True,Halbzeuge,Kunststoffteile,Profile,Drehmaschinen,Fräsmaschinen,Laserschneidmaschinen,Drehen,Fräsen,Laserschneiden
Woco Kronacher Kunststoffwerk GmbH,https://www.wocogroup.com,False,Komponenten,Lösungen,Teile,Extrudiermaschinen,Montagemaschinen,Spritzgießmaschinen,Extrudierens,Montagen,Spritzgießens
Terbrack Kunststoff GmbH & Co. KG,https://www.terbrack.de,False,Fertigteile,Halbzeuge,Kunststoffe,Formpressen,Ram-Extrusionen,Vario-Pressen,Extrusionen,Fräsbearbeitungen,Pressen
hünersdorff GmbH,https://www.huenersdorff.de,False,Boxen,Kanister,Kisten,,,,,,
REKU Thermoforming Reckermann GmbH,https://www.reku.net,True,Baugruppen,Teile,Verpackungen,CNC-Fräsmaschinen,Thermoformmaschinen,Werkzeugmaschinen,Fräsen,Thermoformen,Werkzeugbauten
Formex Plastik GmbH,http://www.formex.de,False,Faltboxen,Kunststoff-Produkte,Ladungsträger,Roboter,Spritzguss-Maschinen,Spritzguss-Werkzeuge,Bedruckens,Montagen,Spritzgießens
SCHAUENBURG Ruhrkunststoff GmbH,https://www.schauenburg-rk.com,False,Profilschläuche,Schläuche,Spiralschläuche,,,,,,
Zittauer Kunststoff GmbH,http://www.zik-kt.de,False,Automotive,Hygiene/Elektronik,Spielwaren,Spritzgießmaschinen,,,Montagen,Spritzgießens,
S & W GmbH Präzisionskunststoffspritzguß,http://www.suw-plastics.de,True,2K-Spritzgüsse,Kunststoffspritzgüsse,Präzisionsspritzgüsse,CNC-Maschinen,Roboter,Spritzgussmaschinen,Montagen,Qualitätssicherungen,Spritzgießens
Joma-Polytec GmbH,https://www.joma-polytec.de,True,Komponenten,Pumpen,Systeme,Extrusionsmaschinen,Hydraulikpressen,Spritzgießmaschinen,Extrudierens,Hydrauliken,Spritzgießens
Häfner & Krullmann GmbH,https://www.hafner-spools.com,False,Anfragen,Medibins,Spulen,Spritzgussmaschinen,,,Spritzgießverfahren,,
Bernd Meffle Kunststoffverarbeitung GmbH,https://www.meffle.de,False,Baugruppen,Design-Teile,Mehrkomponenten,,,,,,
Lätzsch GmbH Kunststoffverarbeitung,https://www.laetzsch.de,False,Büromöbelzubehör,Fahrzeugkomponenten,Reisebuskomponenten,,,,,,
Jordan Spritzgusstechnik GmbH,http://www.jordan-spritzguss.de,True,Komplexe Strukturkomponenten,Oberflächenbehandlungen,Spritzgussbauteile,Montagemaschinen,Oberflächenbehandlungsmaschinen,Spritzgießmaschinen,Montagen,Oberflächenbehandlungen,Spritzgießverfahren
epsotech Germany GmbH,https://epsotech.com/de/,False,Kunststofffolien,Kunststoffkomponenten,Kunststoffplatten,Extrusionsmaschinen,Spritzgießmaschinen,Thermoformmaschinen,Extrusionen,Spritzgießverfahren,Thermoformen
Trygonal Group GmbH,https://www.trygonal.com,False,Dichtungsmaterialien,O-Ringe,Robben,CNC-Maschinen,Gummipressen,Spritzgießmaschinen,Extrudierens,Pressens,Spritzgießens
SEALABLE Solutions GmbH,https://seal-able.com,False,Dichtungen,Profile,,,,,,,
KKT Kaller Kunststoff Technik GmbH,https://www.kkt-kall.de/de/,False,Flaschen,Tiegel,Verpackungen,Extrusionsmaschinen,Spritzgießmaschinen,Streckblasmaschinen,Extrudierens,Spritzgießens,Streckblasens
Dietrich Lüttgens GmbH & Co. KG,https://www.luettgens.de,True,Baugruppen,Bauteile,Spritzgießteile,Qualitätskontrollsysteme,Spritzgießmaschinen,Werkzeugmaschinen,Qualitätsmanagements,Spritzgießens,Werkzeugbauten
OMEGA TECHNOLOGY GmbH & Co. KG,https://www.omega-technology.de,True,Automotives,Kunststoffteile,Nutzfahrzeuge,Montagemaschinen,Prüfmaschinen,Spritzgussmaschinen,Montagen,Qualitätskontrollen,Spritzgießens
VACU-FORM Wischemann GmbH & Co KG,https://www.vacu-form.de,True,Fahrzeugteile,Luftkammerplatten,Photovoltaikwannen,CNC-Maschinen,Extrusionsmaschinen,Tiefziehmaschinen,CNC-Bearbeitungen,Extrudieren,Tiefziehens
CT Formpolster GmbH,https://www.ct-formpolster.de,True,Konfektionen,Matratzen,Schaumtypen,Extrudiermaschinen,Spritzgießmaschinen,Trockner,Extrudierens,Spritzgießens,Trocknens
satek gmbh,https://www.satek.de,False,Sanitär-Nasszellen,Tankanlagen,Türsysteme,,,,,,
Werner Schmid GmbH,https://www.werner-schmid.de/de/,True,Formteile,Metallbearbeitungen,Werkzeugbau,Erodiermaschinen,Fräsmaschinen,Spritzgießmaschinen,Erodieren,Fräsen,Spritzgießen
