company name,location
IP Gansow GmbH,Unna
RITAG RITTERHUDER ARMATUREN,Osterholz-Scharmbeck
Form + Test Seidner & Co.,Riedlingen
Lohmann Systemtechnik GmbH,Ennigerloh
KNUTH WERKZEUGMASCHINEN GMBH,Wasbek
Höchsmann GmbH,Klipphausen
deconta GmbH,Isselburg
Merkle Schweißanlagen-Technik GmbH,Kötz
Tilgert Walzwerksmaschinenbau GmbH,Iserlohn
REBS Zentralschmiertechnik GmbH,Ratingen
Weckerle GmbH,Weilheim i.OB
ZIERER Karussell-,Deggendorf
ALWID GmbH,Dinklage
Gebr. Ruberg GmbH und Co. KG,Nieheim
LKS Maschinenbau GmbH,Schwanewede
Bock Maschinenbau GmbH.,Lorch
FAWEMA GmbH,Engelskirchen
BAM GmbH,Weiden in der Oberpfalz
Maschinenbau Kaltenbach GmbH,Neuenburg am Rhein
Ringfeder Power-Transmission GmbH,Groß-Umstadt
vision-tec gmbH,Kassel
Sielaff GmbH & Co. KG,Herrieden
Water & Wastewater Technic WWT GmbH,Pleidelsheim
Hans & Jos. Kronenberg GmbH,Bergisch Gladbach
Ampack GmbH,Königsbrunn
RAPID Maschinenbau GmbH,Grosselfingen
SOMAtic GmbH,Harth-Pöllnitz
WKB Systems GmbH,Hörstel
FATH GmbH,Spalt
GERB,Berlin
Wolfgang Preinfalk GmbH,St. Ingbert
Gössling Verwaltungs - GmbH,Schermbeck
schwartz GmbH,Simmerath
Kienle + Spiess GmbH,Sachsenheim
Wilhelm Fischer,Durach
BIESSE DEUTSCHLAND GmbH,Nersingen
ATEC Pharmatechnik GmbH,Sörup
Buss-SMS-Canzler GmbH,Butzbach
Pockauer Werkzeugbau Oertel GmbH,Pockau-Lengefeld
Manroland Sheetfed GmbH,Offenbach am Main
Albert Koch,Baunatal
Walter Blombach GmbH,Remscheid
Weimar-Werk GmbH,Weimar
Werner Maschinenbau GmbH,Wolfhagen
Stahl- und Apparatebau,Saarbrücken
Comau Deutschland GmbH,Böblingen
Schneeberger GmbH,Höfen an der Enz
Ohrmann GmbH,Möhnesee
UFT Umwelt- und Fluid-Technik,Bad Mergentheim
ERKA Maschinenbau GmbH,Ahaus
MB Bäuerle GmbH,St. Georgen im Schwarzwald
VEIT GmbH,Landsberg am Lech
Hiller GmbH,Vilsbiburg
Boma Maschinenbau GmbH,Borken
Völker GmbH,Vechta
LECHLER GmbH,Metzingen
Schott & Meissner,Blaufelden
Müller Apparatebau GmbH,Kranzberg
Schneider Werk St. Wendel,St. Wendel
MAJA-Maschinenfabrik,Kehl
HOLZER GmbH,Herbrechtingen
Isimat GmbH Siebdruckmaschinen,Ellwangen (Jagst)
Gottlob Stahl,Sindelfingen
MPM Micro Präzision Marx GmbH,Erlangen
PETERS Maschinenbau GmbH & Co. KG,Twist
ERMAFA,Chemnitz
Yamazaki Mazak Deutschland GmbH,Göppingen
AMIS Maschinen-Vertriebs- GmbH,Zuzenhausen
Manfred Merklinger,Buchen (Odenwald)
Wilhelm Möller,Lage
Lock Antriebstechnik GmbH,Ertingen
Mohr Hebetechnik GmbH,Horst (Holstein)
Herrmann Ultraschalltechnik,Karlsbad
LET Meschede GmbH,Meschede
Liebig GmbH,Bamberg
seepex GmbH,Bottrop
Röltgen GmbH & Co. KG,Solingen
German Bionic Systems GmbH,Augsburg
Helmers Maschinenbau GmbH,Osnabrück
Grün GmbH Spezialmaschinenfabrik,Wilnsdorf
H. F. Meyer Maschinenbau GmbH & Co. KG,Neustadt in Holstein
Clemens GmbH & Co. KG,Wittlich
Sumitomo (SHI),Markt Indersdorf
Merz Verpackungsmaschinen GmbH,Lich
SHW Werkzeugmaschinen GmbH,Aalen
Wohlenberg Buchbindesysteme GmbH,Verden (Aller)
Dr. Schulze GmbH,Wilnsdorf
FilaTech Filament,Remagen
Pohle + Rehling GmbH,Oer-Erkenschwick
OLBRICH GmbH,Bocholt
Pematech AG,Radolfzell am Bodensee
MFT Maschinenfabrik Thale GmbH,Thale
Rieckermann GmbH,Hamburg
KABATEC GmbH & Co. KG,Burghaun
Held Technologie GmbH,Trossingen
SKET Verseilmaschinenbau GmbH,Magdeburg
Renner Etikettiertechnik GmbH,Günzburg
Stahl- und Maschinenbau,Buchholz in der Nordheide
TESOMA GmbH,Lichtenau
Vulkan Technic GmbH,Wiesbaum
Sieber Maschinenbau GmbH,Hoya
A & W Maschinenbau GmbH,Thyrnau
Berg & Co. GmbH,Bielefeld
KELLER HCW GmbH,Ibbenbüren
PPS Dietle GmbH,Haiterbach
Joachim Richter Systeme und Maschinen,Konken
Dr. Fritsch Sondermaschinen GmbH,Fellbach
ACCRETECH (Europe) GmbH,München
Carrier Transicold Deutschland GmbH,Georgsmarienhütte
Maschinenfabrik H. Schlüter GmbH,Neustadt am Rübenberge
ISRA VISION GmbH,Darmstadt
Hennecke GmbH,Sankt Augustin
INKA System GmbH,Heiligenstadt in Oberfranken
BBG GmbH & Co. KG,Mindelheim
J. Engelsmann AG,Ludwigshafen am Rhein
D + E GmbH,Neuwied
HAMUEL Maschinenbau GmbH & Co. KG,Meeder
MAKA Systems GmbH,Nersingen
Huning Maschinenbau GmbH,Melle
Gebr. Schmid GmbH,Freudenstadt
Fooke GmbH,Borken
Rögelberg Getriebe GmbH & Co. KG,Meppen
Pedax GmbH,Bitburg
Schechtl Maschinenbau GmbH,Edling
Salzhausener Maschinenbautechnik,Gödenstorf
Nagel,Nürtingen
Buhmann Systeme GmbH,Weiler-Simmerberg
Werner Rathmann Maschinenbau GmbH,Ritterhude
Robert Koch GmbH,Meßstetten
Heckmann Maschinenbau,Dörverden
TS Henschel GmbH,Kassel
Maschinenbau Scholz GmbH & Co. KG,Coesfeld
Korsch Aktiengesellschaft,Berlin
Bühler GmbH,Beilngries
Bühler GmbH,Braunschweig
Schnaithmann Maschinenbau GmbH,Remshalden
Maschinenbau Wüst GmbH,Ötzingen
DMA Maschinen- und Anlagenbau,Höxter
Adolf Müller GmbH u. Co. KG,Scheeßel
Hedrich GmbH,Ehringshausen
Alfa Laval Mid Europe GmbH,Glinde
Reich GmbH,Mellrichstadt
Bernhard Upmann,Rheine
FGB: Präzisionsmaschinenbau,Zella-Mehlis
FONG'S EUROPE GMBH,Michelbach an der Bilz
Brother Sewing Machines Europe GmbH,Bad Vilbel
DMT Demminer Maschinenbau Technik GmbH,Demmin
SEMA Mechanik GmbH & Co. KG,Kirchlengern
Edwards GmbH,Feldkirchen
Rotodecor GmbH,Lage
Pharmaplan GmbH,Bad Homburg v. d. Höhe
Krallmann GmbH,Hiddenhausen
DEBAG Deutsche Backofenbau GmbH,Bautzen
Mayer GmbH & Co. KG,Heidenheim an der Brenz
Sandvik Holding GmbH,Düsseldorf
Haimer GmbH,Igenhausen
Nederman GmbH,Köngen
Troester GmbH & Co. KG,Hannover
PERFECTA,Bautzen
Neugart GmbH,Kippenheim
SCHMIDT Technology GmbH,St. Georgen im Schwarzwald
Albert & Hummel GmbH,Bamberg
Glaston Germany GmbH,Neuhausen (Enzkreis)
Spatz & Heitmüller GmbH & Co. KG,Bremen
Häcker Automation GmbH,Waltershausen
EKATO HOLDING GmbH,Freiburg im Breisgau
elumatec AG,Mühlacker
ROVEMA GmbH,Fernwald
Neue ZWL Zahnradwerk Leipzig GmbH,Leipzig
RONO Maschinenbau GmbH,Selmsdorf
HEKUMA GmbH,Hallbergmoos
SWF Krantechnik GmbH,Mannheim
B&B Verpackungstechnik GmbH,Hopsten
Christian Pfeiffer,Beckum
SFA Mechanische Fertigung,Aichstetten
Sumitomo (SHI) Demag,Schwaig
Baljer & Zembrod GmbH & Co. KG,Altshausen
Bihl + Wiedemann GmbH,Mannheim
Dürkopp Fördertechnik GmbH,Bielefeld
Avermann Maschinenfabrik GmbH & Co. KG,Osnabrück
Schwarz Elektromotoren GmbH,Rehau
THIES GmbH & Co. KG,Coesfeld
Bertschinger GmbH & Co. KG,Aldingen
FlexLink Systems GmbH,Offenbach am Main
KTR Systems GmbH,Rheine
Heinzmann GmbH & Co. KG,Schönau im Schwarzwald
Sander Maschinenbau GmbH & Co. KG,Ibbenbüren
HECHT Technologie GmbH,Pfaffenhofen an der Ilm
GLAMA Maschinenbau GmbH,Gladbeck
Eugen Arnold GmbH.,Filderstadt
Janz Tec AG,Paderborn
VAF Gesellschaft für Verkettungsanlagen,Bopfingen
WEKAL Maschinenbau GmbH,St. Egidien
komax Kabelverarbeitungs-,Nürnberg
MBM Industrie GmbH,Mühldorf a. Inn
Gämmerler GmbH,Geretsried
airinotec GmbH,Bayreuth
Maschinenfabrik Herkules GmbH & Co. KG,Siegen
Rollon GmbH,Düsseldorf
WESPA Metallsägenfabrik,Melsungen
Unterschütz Sondermaschinenbau GmbH,Hettstedt
AMOVA GmbH,Hilchenbach
Engel Deutschland GmbH,Nürnberg
Supfina Grieshaber GmbH & Co. KG,Wolfach
Franz Kessler GmbH,Bad Buchau
Bauer Unternehmensgruppe GmbH & Co. KG,Weilheim i.OB
Ludwig Schwerdtel GmbH,Karlsfeld
PLAKOMA GmbH Hütten- und Walzwerktechnik,Nalbach
BBM Maschinenbau und Vertriebs GmbH,Langenberg
Hinterkopf GmbH,Eislingen/Fils
Robert Bürkle GmbH,Freudenstadt
GoGaS Goch GmbH & Co. KG,Dortmund
Günther Maschinenbau GmbH,Eppertshausen
Kuper Maschinen und Anlagen GmbH,Rietberg
Carl Kurt Walther GmbH & Co. KG,Haan
bielomatik GmbH,Römerstein
Holz-Her GmbH,Nürtingen
Borsig GmbH,Berlin
Heinrich Georg GmbH Maschinenfabrik,Kreuztal
Richter GmbH & Co. KG,Hürtgenwald
Rodriguez GmbH,Eschweiler
MSB GmbH & Co. KG,Bischofsheim a.d.Rhön
VIBRA MASCHINENFABRIK,Offenbach am Main
EWAB Engineering GmbH,Hann. Münden
IGENO Fahrzeug-,Nordhausen
A.T.A. Anlagentechnik Aschersleben,Aschersleben
PROFILMETALL GmbH,Hirrlingen
Mall + Herlan GmbH,Pfinztal
Wartinger Maschinenbau GmbH,Ebnath
KAMA GmbH,Dresden
Steremat Induktion GmbH,Schöneiche bei Berlin
Grimm Maschinenbau GmbH,Apen
Haugg-Kühlerfabrik GmbH,Aachen
WAFIOS Aktiengesellschaft,Reutlingen
Aachener Maschinenbau GmbH,Alsdorf
Kranservice Rheinberg GmbH,Duisburg
Cohu GmbH,Kolbermoor
SMB Spezialmaschinenbau GmbH& Co. KG,Marienberg
SCHUKO H. Schulte-Südhoff GmbH,Bad Laer
Manfred Blind GmbH,Hassel (Weser)
Karl Eugen Fischer GmbH,Burgkunstadt
DREHMO GmbH,Wenden
Kiefel GmbH,Freilassing
Waldrich Siegen,Siegen
FLP Microfinishing GmbH,Zörbig
Brother,Emmerich am Rhein
A B Graphic International GmbH,Baesweiler
Friedrich Hippe,Hagen am Teutoburger Wald
ETW Energietechnik GmbH,Moers
Autotherm,Waxweiler
STAMA Stahl- und Maschinenbau,Bad Saarow
JENSEN GmbH,Harsum
Härtwig Maschinenbau GmbH & Co. KG,Cunewalde
Weisstaler Bödenpresswerke GmbH,Burbach
ENGMATEC GmbH,Radolfzell am Bodensee
Toss GmbH & Co KG Verpackungssysteme,Buseck
Schneider Maschinenbau GmbH + Co. KG,Lennestadt
WIDOS Wilhelm Dommer Söhne GmbH,Ditzingen
NTG Neue Technologien GmbH & Co. KG,Gelnhausen
Loeser GmbH,Speyer
Uth GmbH,Fulda
Schubert Maschinen- und Anlagenbau GmbH,Ennepetal
WUMAG TEXROLL GmbH & Co. KG,Krefeld
MBH Maschinenbau & Blechtechnik GmbH,Ibbenbüren
KINKELE GmbH & Co. KG,Ochsenfurt
Grunwald GmbH,Wangen im Allgäu
b + b Automations- und,Oberzent OT Beerfelden
FPT Robotik GmbH & Co. KG,Amtzell
Knecht Maschinenbau GmbH,Bergatreute
BMA Braunschweigische,Braunschweig
BVM BRUNNER GMBH & Co. KG,Reutlingen
Aschaffenburger Maschinenfabrik,Aschaffenburg
MADO GmbH,Dornhan
