Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
MWS Friedrichshafen GmbH,https://www.mws.eu,False,Sandgüsse,Kokillengüsse,Niederdruckgüsse,,,,Gießens,Mechanische Bearbeitungen,,Friedrichshafen,9840033.0,200-350,200,75000
BAGR Berliner Aluminiumwerk GmbH,https://www.bagr.de,False,Aluminium-Gussblöcke,Walzbarren,Sekundäraluminium,Schmelzöfen,Gießöfen,Porössteine,Schmelzen,Gießen,Raffinieren,Berlin,10207072.0,350-600,350,131250
FERTINGER TUBES GmbH,https://fertingertubes.de,False,Aluminiumrohre,Wärmetauscher,Kühlsysteme,Schweißmaschinen,Schneidmaschinen,Biegemaschinen,Schweißen,Schneiden,Biegen,Remscheid,2084292.0,80-120,80,30000
COIL GmbH,https://www.coil.be,False,Anodisierte,ALOXIDE,kontinuierliche Coil-Anodisierung,,,,Beschichtungen,Kontinuierliche Eloxierungen,Eloxierungen,Bernburg (Saale),14380414.0,350-600,350,131250
Richter Aluminium GmbH,https://www.richter-aluminium.com,False,Strangpressprofile,Aluminiumprofile,Oberflächenveredelungen,Strangpressen,Weiterverarbeitungsmaschinen,Oberflächenbehandlungsmaschinen,Strangpressen,Weiterverarbeitungen,Oberflächenbehandlungen,Schutterwald,4725768.0,120-200,120,45000
Hydro Aluminium Gießerei Rackwitz GmbH,https://www.hydro.com/de/,False,Aluminiumprofile,Low-Carbon Aluminium,Recycled Aluminium,Extrusionsmaschinen,Fräsmaschinen,Oberflächenbehandlungsmaschinen,Extrudierungen,Fräsungen,Oberflächenbehandlungen,Rackwitz,3520992.0,120-200,120,45000
Aluminium-Werke Wutöschingen AG & Co. KG,https://www.aww.de,False,Profile,Butzen,Verpackungen,Strangpressen,Oberflächenbehandlungsmaschinen,Mechanische Bearbeitungsmaschinen,Strangpressen,Oberflächenbehandlungen,Mechanische Bearbeitungen,Wutöschingen,11592514.0,350-600,350,131250
Rheinfelden Alloys GmbH & Co. KG,https://rheinfelden-alloys.eu,False,Legierungen,Castasile,Anticorodale,,,,,,,Rheinfelden (Baden),7242843.0,200-350,200,75000
HMT Höfer Metall Technik GmbH & Co. KG,https://www.hoefer-hmt.de,True,Aluminiumprofile,Aluminiumlegierungen,Komponenten,Strangpressen,CNC-Bearbeitungszentren,Biegemaschinen,Strangpressen,CNC-Bearbeitungen,Biegearbeiten,Hettstedt,9769620.0,200-350,200,75000
BE-Aluschmiede GmbH,https://www.bons-evers.com/de/,False,Warmpressteile,Aluminiumteile,Messingteile,Pressen,Bearbeitungsmaschinen,Montagemaschinen,Pressen,Bearbeitungen,Montagen,Geisingen,6307037.0,200-350,200,75000
