Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Sehon innovative Lackieranlagen GmbH,https://www.sehon-lackieranlagen.de,False,Arbeitsplätze,Lackierkabinen,Werkstattausrüstungen,,,,,,,Gechingen,204008.0,No Match,,
W & Z Rohrsystem-Technik GmbH,https://www.rohrsystemtechnik.de/de/,False,Industriearmaturen,Schalldämpfer,Wärmetauscher,3D-Konstruktionsmaschinen,Pulverbeschichtungsmaschinen,Schweißmaschinen,3D-Konstruktionen,Pulverbeschichtungen,Schweißungen,Netphen,165967.0,No Match,,
DOMINION Deutschland GmbH,https://www.dominion-global.com/en/,False,Dienstleistungen,Projekte,Wartungen,,,,,,,Ratingen,2173284.0,80-120,80,30000
Heinrich Steuber GmbH + Co.,https://steuber.net/de/,False,Digitaldrucksysteme,Druckmaschinen,Druckplattenbelichter,,,,,,,Mönchengladbach,24244.0,No Match,,
KMU LOFT Cleanwater GmbH,https://www.kmu-loft.de,False,Prozesswasserlösungen,Vakuumverdampfer,Vorbehandlungen,,,,,,,Kirchentellinsfurt,167314.0,No Match,,
Gerd Bär GmbH,https://www.baer-cargolift.com,False,Hebebühnen,Heckklappen,Steuerungssysteme,,,,,,,Heilbronn,2556121.0,120-200,120,45000
Andreas Lupold Hydrotechnik GmbH,https://www.lupold.de,False,Pumpen,Ventile,hydraulische Hubgeräte,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Erodieren,Fräsen,Laserschneiden,Vöhringen,13463278.0,350-600,350,131250
TAKRAF GmbH,https://www.takraf.com,False,Bergbausysteme,Mineralverarbeitung,Schüttgut-Handling,,,,,,,Leipzig,1674641.0,60-80,60,22500
Julius Montz GmbH,https://www.montz.de,False,Blechpackungen,Gewebepackungen,Strukturpackungen,,,,,,,Hilden,249227.0,No Match,,
LIKUSTA Umwelttechnik GmbH,https://www.likusta.com/de/,False,Abluftbehandlungsanlagen,Dosiertechniken,Wasseraufbereitungsanlagen,,,,,,,Lich,74554.0,No Match,,
2G Energy AG,https://2-g.com/de/,False,Blockheizkraftwerke,Container-Lösungen,Großwärmepumpen,,,,,,,Heek,557050.0,10-15,10,3750
Sokratherm GmbH,https://www.sokratherm.de,False,BHKW-Services,Blockheizkraftwerke,Kundenbetreuungen,,,,,,,Hiddenhausen,434975.0,10-15,10,3750
Dehoust GmbH,http://www.dehoust.de,False,Heizöltanks,Lagertanks,Pufferspeicher,,,,,,,Leimen,2968244.0,120-200,120,45000
Loibl Förderanlagen GmbH,https://loibl-group.com/de/,False,Fördertechniken,Sondermaschinen,Verfahrenstechniken,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Erodieren,Fräsen,Laserschneiden,Straubing,739132.0,15-20,15,5625
IMSTec GmbH,https://www.imstec.de,True,Anlagenbau,Automatisierungslösungen,Prozessentwicklungen,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen,Klein-Winternheim,11551393.0,350-600,350,131250
AP & S International GmbH,https://ap-s.de,False,Nassprozessanlagen,Nassprozesse,Produktfilter,,,,Photoresist Strippings,Reinigungen,Ätzungen,Donaueschingen,2083877.0,80-120,80,30000
A+F Automation + Fördertechnik GmbH,https://af-gmbh.de/de/,False,Maschinen,Packer,Palettierer,,,,,,,Kirchlengern,739234.0,15-20,15,5625
FUNKE Wärmeaustauscher Apparatebau GmbH,https://www.funke.de/de/,False,Luftgekühlte Wärmetauscher,Plattenwärmetauscher,Rohrbündelwärmetauscher,,,,,,,Gronau (Leine),1122681.0,21-40,21,7875
NESS Wärmetechnik GmbH,https://www.ness.de,False,Brenner,Elektrische Heizgeräte,Thermische Ölsysteme,,,,,,,Remshalden,252332.0,No Match,,
Mauell GmbH,https://www.mauell.com,False,Konsolen,Kontrollräume,Simulatoren,,,,,,,Velbert,255353.0,No Match,,
SEMPA SYSTEMS GmbH,https://sempa.de/de/,False,CHEM'BOTS,GAS'BOTS,VAPOR'BOTS,,,,,,,Dresden,1428260.0,40-60,40,15000
Sesotec GmbH,https://www.sesotec.com,False,Metallsuchsysteme,Röntgeninspektionssysteme,Sortiersysteme,,,,,,,Schönberg,632212.0,10-15,10,3750
Hydro-Elektrik GmbH,https://www.hydrogroup.de,False,Filteranlagen,Ozonerzeuger,Trinkwasserbehälter,,,,,,,Ravensburg,250684.0,No Match,,
Konrad Pumpe GmbH,http://www.pumpegmbh.de,False,Agrartechniken,Biogastechniken,Metalltechniken,CNC-Abkantungen,CNC-Zerspanungen,Lasertechniken,Abkanten,Laserschneiden,Zerspanen,Sendenhorst,1455929.0,40-60,40,15000
Schröter Technologie GmbH & Co. KG,https://www.schroeter-technologie.de,False,Backanlagen,Heißrauchanlagen,Klimareifeanlagen,Raucherzeugungssysteme,Steuerungssysteme,Trocknungsanlagen,Backen,Räucherungen,Trocknungen,Borgholzhausen,138209.0,No Match,,
EDL Anlagenbau Gesellschaft mbH,https://www.edl.poerner.de,False,Rückstandstechnologien,Solvent Deasphalting,Technologien,,,,,,,Leipzig,36306.0,No Match,,
ProTec Polymer Processing GmbH,https://sp-protec.com/de/,False,,,,,,,,,,Bensheim,274227.0,No Match,,
TRENNSO-TECHNIK,https://www.trennso-technik.de,False,Dichtesortiertechniken,Siebtechniken,Windsichtertechniken,,,,,,,Weißenhorn,1540797.0,60-80,60,22500
GOHL-KTK GmbH,https://www.gohl-ktk.de,False,Kühltürme,Rückkühler,Ventilatoren,,,,,,,Durmersheim,336251.0,10-15,10,3750
Hymmen GmbH Maschinen- und Anlagenbau,https://www.hymmen.com,False,Doppelbandpressenanlagen,Industrielle Digitaldruckanlagen,Mehretagenpressenanlagen,,,,,,,Bielefeld,581808.0,10-15,10,3750
BV Anlagenbau GmbH,https://www.bv-anlagenbau.de/de/,True,Gittermasten,Stahlkonstruktionen,Windenergieanlagen,Fräsmaschinen,Laserschneidmaschinen,Schleifmaschinen,Montagen,Oberflächenbehandlungen,Schweißens,Salzbergen,364613.0,10-15,10,3750
Eliquo Stulz GmbH,https://www.eliquostulz.com/de/,False,Abwässer,Faulgase,Schlammbehandlungen,,,,,,,Grafenhausen,987162.0,21-40,21,7875
Combé Anlagenbau GmbH,https://combe.de,False,Beregnungsanlagen,Springbrunnen,Sprinkleranlagen,,,,,,,Berlin,324583.0,10-15,10,3750
YADOS GmbH,https://www.yados.de,False,Gebäudenetze,Kalte Wärmenetze,Wärmenetze,,,,,,,Hoyerswerda,1429136.0,40-60,40,15000
COMBITHERM,https://www.combitherm.de,False,Hochtemperaturwärmepumpen,Kühlsysteme,Wärmepumpen,,,,,,,Fellbach,163939.0,No Match,,
Kramer & Best Anlagenbau GmbH,https://www.kramerbest.com,False,Ingenieurdienstleistungen,Technische Dienstleistungen,Turn-Key-Anlagen,,,,,,,Dörth,240983.0,No Match,,
WOLF Power Systems GmbH,https://www.wolf-ps.de,False,BHKWs,WOLF POWER HOUSES,Wasserstoff-BHKWs,,,,,,,Wolfhagen,395027.0,10-15,10,3750
Camfil APC GmbH,https://camfilapc.com/de/,False,Absaugsysteme,Filtermedien,Luftfilter,,,,,,,Tuttlingen,289637.0,No Match,,
