Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Gentherm GmbH,https://www.gentherm.com,False,Thermomanagementsysteme,Pneumatische Komforttechnologien,Patienten-Temperaturmanagementsysteme,Elektronik,Kabel,Spritzgießmaschinen,Elektronikfertigungen,Kabelherstellungen,Spritzgussverfahren,Odelzhausen,2517740.0,120-200,120,45000
BING Power Systems GmbH,https://www.bingpower.de,False,Drosselklappen,Schaltassistenten,Ölspritzdüsen,,,,,,,Nürnberg,202698.0,No Match,,
Danfoss Silicon Power GmbH,https://www.danfoss.com,False,Hydraulikzylinder,Elektrische Umrichter,Hydraulikaggregate,,,,,,,Flensburg,21259555.0,350-600,350,131250
MicroFuzzy Industrie-Elektronic GmbH,https://www.microfuzzy.com/en/,False,Softwareentwicklungen,Hardwareentwicklungen,Funktionsentwicklungen,,,,,,,München,42240.0,No Match,,
L&P Automotive Europe GmbH,https://leggett-automotive.com,False,Lumbarsysteme,mechanische Kabel,Motoren und Aktuatoren,,,,,,,Nürnberg,151045.0,No Match,,
Sinterwerke Herne GmbH,http://www.sinterwerke.com/de/,False,Sinterformteile,Bauteile,Sinterprodukte,Pressen,Sinteröfen,Bearbeitungsmaschinen,Pressen,Sintern,Mechanische Bearbeitungen,Herne,3725279.0,120-200,120,45000
H+E Molding Solutions GmbH,https://www.hero-ittlingen.com,False,Komponenten,Dekorelemente,Bewegungssysteme,Spritzgussmaschinen,,,Spritzgießens,,,Ittlingen,557802.0,10-15,10,3750
Konvekta Aktiengesellschaft,https://www.konvekta.de,False,Klimasysteme,Kühlanlagen,Thermomanagementsysteme,,,,,,,Schwalmstadt,167517.0,No Match,,
Nobo Automotive Systems Germany GmbH,http://www.motusintegrated.com,False,Headliner,Türarmlehnen,Konsolenarmlehnen,Pressungen,Schneidungen,Schweißungen,Fertigung,Ingenieuren,Montagen,Überherrn,7930389.0,200-350,200,75000
Musashi Luechow GmbH,https://www.lue.de.musashi-group.com,False,Zwischenwellen,Zwischenräder,Parksperrenräder,Ringwalzmaschinen,Schmiedemaschinen,Wärmebehandlungsanlagen,Umformungen,Mechanische Bearbeitungen,Wärmebehandlungen,Lüchow (Wendland),4224285.0,120-200,120,45000
Halung AG,http://www.halung.de,False,IT-Systeme,Automotive-Systeme,,,,,,,,Döllstädt,903470.0,21-40,21,7875
SCHRAMM Coatings GmbH,https://www.akzonobel.com/en/,False,Farben,Beschichtungen,Marken,,,,Malereien,Beschichtungen,Herstelllungen,Offenbach am Main,1849163.0,80-120,80,30000
FUBA Automotive Electronics GmbH,https://www.fuba-automotive.com,False,Antennen,Steuergeräte,Carsharing-Module,Leiterplattenbestückungsmaschinen,Montagemaschinen,Testsysteme,Montagen,Leiterplattenfertigungen,Testen,Bad Salzdetfurth,1777154.0,60-80,60,22500
Adval Tech (Germany) GmbH & Co. KG,https://www.advaltech.com,False,Komponenten,Baugruppen,Module,Pressen,Schneidemaschinen,Stanzmaschinen,Stanzen,Schneiden,Pressen,Endingen am Kaiserstuhl,7724032.0,200-350,200,75000
BJ Automotive GmbH,https://www.bjautomotive.de/de/,False,Schalter,Systeme,Komponenten,,,,,,,Hamm,45640.0,No Match,,
BEDIA Motorentechnik GmbH & Co. KG,http://www.bedia.com,False,Motoren,Kabel,Sensoren,Fräsmaschinen,Erodiermaschinen,Bohrungen,Fräsen,Erodieren,Bohren,Altdorf bei Nürnberg,95636.0,No Match,,
Haartz GmbH,http://www.haartz.com,False,Stoffe,Textilien,Beschichtungen,,,,,,,Mannheim,1040273.0,21-40,21,7875
