Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Schreinerei & Metallbau Wagner GmbH,https://www.fensterbau-wagner.de,False,Fenster,Haustüren,Heizgläser,CNC-Maschinen,Kunststoffschweißanlagen,Fräsmaschinen,Schnitte,Schweißnähte,Oberflächenbehandlungen,Niederwürschnitz,70247.0,No Match,,
SELO Fensterbau GmbH,http://www.selo-premiumfenster.de,False,Fenster,Haustüren,Hebe-Schiebesysteme,,,,,,,Frankenthal,1000481.0,21-40,21,7875
Aldra Fenster und Türen GmbH,https://www.aldra.de,False,Fenster,Haustüren,Schiebeelemente,,,,,,,Meldorf,3126711.0,120-200,120,45000
Otto Blecher GmbH,https://www.blecher-fenster.de,False,Fenster,Haustüren,Schiebetüren,Extrusionsmaschinen,Schweissmaschinen,Fräsmaschinen,Extrusionen,Schneidens,Schweißens,Bad Laasphe,1171537.0,21-40,21,7875
Zimmermann Fenster + Türen GmbH,https://www.zimmermann-fenster.de,False,Fenster,Türen,Rollläden,,,,,,,Sontra,2930570.0,120-200,120,45000
Wikka Fenster + Türen Systeme GmbH,https://wikka.de,False,Fenstersysteme,Türsysteme,Garagentore,Fräsmaschinen,Erodiermaschinen,Laserschneidemaschinen,Fräsen,Erodieren,Laserschneiden,Waghäusel,417524.0,10-15,10,3750
MOBA Fenster + Türen GmbH,https://moba-fenster.de,False,Kunststofffenster,Aluminiumfenster,Fassadenelemente,,,,,,,Lübeck,147624.0,No Match,,
IDEAL Fensterbau Weinstock GmbH,https://www.ideal-fensterbau.de,False,Fenster,Haustüren,Schiebetüren,,,,,,,Wittlich an der Lieser,898766.0,15-20,15,5625
Vieler International GmbH + Co. KG,https://www.vieler.net,False,Vitrinenbeschläge,Ladenbausysteme,,,,,,,,Iserlohn,20051.0,No Match,,
Diedrich Schröder GmbH,https://www.schroeder-hesel.de,False,Fenster,Türen,Wintergärten,,,,,,,Hesel,480361.0,10-15,10,3750
EXTE GmbH,https://www.exte.de,False,Rollladenkastensysteme,Fensterzubehöre,Verkleidungen,,,,,,,Wipperfürth,3987015.0,120-200,120,45000
DIETEL Bauelemente GmbH,https://www.dietel.de,False,Fenster,Türen,Treppen,CNC-Maschinen,Fräsmaschinen,Sägen,Montagen,Oberflächenbehandlungen,Lackierungen,Jöhstadt,1202550.0,40-60,40,15000
Hydro Building Systems Germany GmbH,https://www.hydro.com,False,Aluminium,Energien,Nachhaltigkeiten,,,,,,,Ulm,3889182.0,120-200,120,45000
HAMA Alu + Holzbauwerk GmbH,https://www.hama-fenster.de,False,Fenster,Türen,Fassaden,,,,Montagen,Fräsen,Bohren,Rottenburg an der Laaber,1023947.0,21-40,21,7875
FRESAND GmbH,https://fresand.de,False,Fenster,Haustüren,Terrassendächer,,,,,,,Reddelich,1630948.0,60-80,60,22500
TH. ZINK GmbH Fenster und Türen,https://www.zink-fenster.de,False,Kunststofffenster,Haustüren,Hebeschiebetüren,,,,,,,Bergen,256221.0,No Match,,
hapa AG,https://hapa.de,False,Kunststofffenster,Kunststoff-Haustüren,Sonnenschutz,,,,,,,Herrieden,418213.0,10-15,10,3750
Wigger Fenster + Fassaden GmbH,https://www.wigger.de,False,Fenster,Haustüren,Fassaden,,,,,,,Rosendahl,2537920.0,120-200,120,45000
wipfler fenster+fassaden gmbh,https://www.wipfler-fenster.de,False,Fenster,Fassaden,Haustüren,Fräsmaschinen,Schleifmaschinen,Lackieranlagen,Fräsen,Schleifen,Lackieren,Zusmarshausen,428393.0,10-15,10,3750
Lemuth GmbH,http://www.lemuth.com,False,Maschinen,Anlagen,Dienstleistungen,Fräsmaschinen,Zuschnittmaschinen,Bearbeitungszentren,Fräsen,Zuschneiden,Bearbeitungen,Meiningen,815831.0,15-20,15,5625
Fensterbau Otto GmbH,https://www.fensterbau-otto.de,False,Fenster,Türen,Aufsatzelemente,,,,,,,Gronau (Westf.),238813.0,No Match,,
H. O. Schlüter GmbH,https://www.ho-schlueter.com,False,Fenster,Türen,Fassadenelemente,Computergesteuerte Maschinen,Moderne Maschinen,Produktionsmaschinen,Fertigungen,Montagen,Computergestützte Arbeitsabläufe,Hanerau-Hademarschen,4256366.0,120-200,120,45000
Feldhaus Fenster + Fassaden,https://feldhaus.de,True,Fassaden,Fenster,Türen,,,,Blechbearbeitungen,Aluminiumverarbeitungen,Stahlverarbeitungen,Emsdetten,350724.0,10-15,10,3750
WINDOR Fensterwerk GmbH,https://www.windor-fensterwerk.de,False,Fenster,Türen,Sonnenschutze,,,,,,,Bleicherode,889278.0,15-20,15,5625
UNILUX GmbH,https://www.unilux.de/de/,False,Fenster,Türen,Glas-Fassaden,,,,,,,Salmtal,2044102.0,80-120,80,30000
RITTER Fenster & Türen GmbH,https://www.ritter-fenster.de,False,Fenster,Türen,Schiebetüren,,,,,,,Bitburg,741943.0,15-20,15,5625
Meißner Fenstertechnik GmbH,https://www.meissnerfenstertechnik.de,False,Fenstersysteme,Hebeschiebetüren,Türsysteme,,,,,,,Niederau,1017656.0,21-40,21,7875
Karl Lingel Fensterbau GmbH & Co. KG,https://www.lingel-fenster.de,False,Fenster,Haustüren,Schiebetüren,Fräsmaschinen,Bohrungen,Schleifungen,Montagen,Schneidungen,Schweißungen,Ellwangen (Jagst),1550099.0,60-80,60,22500
al bohn Fenster-Systeme GmbH,https://www.albohn.de,False,Fenster,Haustüren,Vordächer,,,,Schweißens,Montagen,Recyclings,Sinsheim,1075103.0,21-40,21,7875
Kochs GmbH,https://www.kochs.de,False,Fenster,Haustüren,Schiebetüren,,,,,,,Herzogenrath,1715825.0,60-80,60,22500
vitaDOOR GmbH & Co. KG,https://www.vitadoor.de,False,Türen,Zargen,Extras,,,,,,,Stadtlohn,4798826.0,120-200,120,45000
neuform-Türenwerk Hans Glock,https://www.neuform-tuer.com,False,Türsysteme,Türelemente,Türlösungen,Fräsmaschinen,CNC-Fräsmaschinen,Kantenanleimmaschinen,Fräsen,Montagen,Oberflächenbehandlungen,Erdmannhausen,3082728.0,120-200,120,45000
Pollmann & Renken GmbH,https://www.pollmann-renken.de,False,Fenster,Haustüren,Wintergärten,,,,,,,Aurich,98066.0,No Match,,
traba GmbH & Co. KG,https://www.traba.de,False,Fenster,Haustüren,Wintergärten,,,,,,,Wiesmoor,255140.0,No Match,,
