Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Albrecht Bäumer,https://www.baeumer.com/en/,False,Anlagenbauten,Schaumschneidemaschinen,Software,,,,,,,Freudenberg,1118210.0,15-20,15,5625
Maschinenbau Scholz GmbH & Co. KG,https://www.scholz-autoclaves.com,False,Anlagen,Autoklaven,Schnellverschlüsse,,,,,,,Coesfeld,4518516.0,120-200,120,45000
BMA Braunschweigische Maschinenbauanstalt GmbH,https://www.bma-worldwide.com,False,EPC-Lösungen,Extraktionsanlagen,Kristallisationsanlagen,Trockner,Verdampfer,Zentrifugen,Extraktionen,Kristallisationen,Verdampfungen,Braunschweig,5263733.0,No Match,,
MWN in Niefern Maschinenfabrik GmbH,http://www.mwn-niefern.de,False,Breitstreckwalzen,Presswalzen,Saugwalzen,,,,,,,Niefern-Öschelbronn,540969.0,10-15,10,3750
elumatec AG,https://www.elumatec.com/de/,False,Maschinen für Fassadenbau,,,,,,,,,Mühlacker,507883.0,No Match,,
Eckart Maschinenbau GmbH,https://www.eckart-de.com,False,Beschickungstechniken,Güllefässer,Multi Misch-Schaufeln,,,,,,,Schaufling,262392.0,No Match,,
FORTUNA Spezialmaschinen GmbH,https://www.fortuna-gmbh.de,False,Pressmaschinen,Schärfmaschinen,Spaltmaschinen,,,,,,,Weil der Stadt,1325190.0,No Match,,
CEROBEAR GmbH,https://www.cerobear.com/de/,False,Keramikrollen,Ultraharte Stahlringe,Wälzlagerkäfige,,,,,,,Herzogenrath,5454191.0,200-350,200,75000
Franz Ruberg & Co GmbH,https://franz-ruberg.de,False,Annahmetechniken,Fördertechniken,Verfahrenstechniken,,,,,,,Nieheim,51969.0,No Match,,
Breyer GmbH Maschinenfabrik,https://www.breyer-extr.com,False,Extrusionsanlagen,Gebrauchtmaschinen,Komponenten,Breitschlitzdüsen,Extruder,Glättmaschinen,Coextrusionen,Extrusionen,Glättungen,Singen (Hohentwiel),565547.0,10-15,10,3750
T R E I F - Maschinenbau GmbH,https://www.treif.de/de/,False,Brotschneidemaschinen,Portioniermaschinen,Schneidemaschinen,,,,Brotschneiden,Portionieren,Schneiden,Oberlahr,1673634.0,60-80,60,22500
RKT Rodinger Kunststoff-Technik GmbH,https://www.rkt.de/de/,True,Design Engineerings,Kunststoffspritzgüsse,Werkzeugbauten,CNC-Bearbeitungsmaschinen,Lasermaschinen,Spritzgießmaschinen,Design Engineerings,Kunststoffspritzgüsse,Werkzeugbauten,Roding,1643441.0,60-80,60,22500
WIDOS Wilhelm Dommer Söhne GmbH,https://www.widos.de,False,Baustellenmaschinen,Heizwendel-Schweißmaschinen,Muffenschweißmaschinen,,,,,,,Ditzingen,28655.0,No Match,,
TML Technik GmbH,https://www.tml.de,False,Spezialmaschinen,Teleskop-Ausleger,Teleskopbagger,Hydraulikpressen,Richtmaschinen,Schweißmaschinen,Hydraulikprozesse,Richtprozesse,Schweißprozesse,Monheim am Rhein,446748.0,10-15,10,3750
MSK Verpackungs-Systeme GmbH,https://www.msk.de,False,Fördersysteme,Palettiersysteme,Verpackungssysteme,,,,,,,Kleve,36875.0,No Match,,
Pematech AG,https://pematech.de,True,Montagelinien,Prüflinien,Softwarelösungen,,,,Integrationsprozesse,Montageprozesse,Prüfprozesse,Radolfzell am Bodensee,203476.0,No Match,,
Mehrer Compression GmbH,https://www.mehrer.de,False,Kolbenkompressoren,Membrankompressoren,Systemlösungen,,,,,,,Balingen,291690.0,No Match,,
Gebr. Schmid GmbH,https://schmid-group.com,False,Lösungen für die Elektronikindustrien,Lösungen für die Photovoltaik- und Glasindustrien,Maschinen und Automatisierungssysteme,,,,,,,Freudenstadt,1954375.0,80-120,80,30000
Schwarz Elektromotoren GmbH,https://www.schwarz-elektromotoren.de,False,Elektrofahrzeuge,Löschsysteme,Windenergien,,,,,,,Rehau,2392776.0,80-120,80,30000
LAMBDA Gesellschaft für Gastechnik mbH,https://www.lambda.de,False,Blockheizkraftwerke,Fackeln,Schwachgasbehandlungsanlagen,,,,,,,Herten,1208490.0,40-60,40,15000
Tennant GmbH & Co. KG,http://de.tennantco.com,False,Cleaner,Extraktoren,Scrubber,,,,,,,Unna,1426415.0,40-60,40,15000
EWK Umwelttechnik GmbH,https://www.valmet.com,False,Automatisierungslösungen,Dienstleistungen,Technologien,,,,,,,Kaiserslautern,135752.0,No Match,,
Krifft & Zipsner GmbH Maschinenbau,https://www.krifft-zipsner.de/de/,False,Anlagenkonstruktionen,Fördertechniken,Stapelwender,,,,,,,Steinebach/Sieg,102509.0,No Match,,
STASSKOL GmbH,https://www.stasskol.de,False,Dichtungselemente,Digitale Lösungen,Hochleistungspolymere,,,,,,,Staßfurt,1010283.0,21-40,21,7875
WS Wärmeprozesstechnik GmbH,https://flox.com/de/,False,Brennersysteme,FLOX® Brenner,Green Gas Ready Lösungen,,,,,,,Renningen,426140.0,10-15,10,3750
Linck Holzverarbeitungstechnik GmbH,https://www.linck.com,False,Profilierlinien,Reduzierlinien,Sägewerksanlagen,Mechanisierungsmaschinen,Profiliermaschinen,Spanmaschinen,Mechanisierungen,Profilieren,Späne,Oberkirch,3078177.0,120-200,120,45000
Hugo MIEBACH GmbH,https://www.miebach.de,False,Reparaturservices,Schaltanlagen,Schweißmaschinen,,,,,,,Dortmund,123281.0,No Match,,
SOMIC Verpackungsmaschinen GmbH & Co. KG,https://www.somic-packaging.com,False,Kollationssysteme,Produkthandlings- und Transportsysteme,Verpackungsmaschinen,,,,,,,Amerang,999583.0,21-40,21,7875
Hans Hundegger AG,https://www.hundegger.de,False,Abbundmaschinen,Plattenbearbeitungsmaschinen,Zuschnittmaschinen,,,,,,,Hawangen,167545.0,No Match,,
Temafa Maschinenfabrik GmbH,https://www.temafa.com,False,Air-Engineering-Lösungen,Fasermischanlagen,Recyclinganlagen,,,,,,,Bergisch Gladbach,1324163.0,40-60,40,15000
NTG Neue Technologien GmbH & Co. KG,https://www.ntg.de,True,Ionenstrahl-Bearbeitungen,Teilchen-Beschleuniger,Vakuum-Technologien,Fräsmaschinen,Lohnfertigungsmaschinen,Sondermaschinen,Elektronikfertigungen,Metallbearbeitungen,Präzisionsfertigungen,Gelnhausen,4245230.0,120-200,120,45000
ruhlamat GmbH,https://www.ruhlamat.com,True,Kartensysteme,Montagesysteme und Automatisierungssysteme,Original Equipment Manufacturing,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Automatisierungsprozesse,Montageprozesse,Qualitätssicherungsprozesse,Gerstungen OT Marksuh,2342530.0,80-120,80,30000
Sumitomo (SHI),https://emeia.sumitomodrive.com,False,Aktuatoren,Getriebe- & Getriebemotoren,Industriegetriebe,,,,,,,Markt Indersdorf,6834400.0,200-350,200,75000
Gebr. Reinfurt GmbH Co. KG,https://www.grw.de/de/,False,Kugellager,Prüftechniken,Zubehörteile,,,,,,,Rimpar,8007232.0,200-350,200,75000
WTO-Werkzeug-Einrichtungen GmbH,https://www.wto-tools.com/de/,False,CoolSpeed® Ultra-High-Speed-Werkzeugspindeln,Präzisionswerkzeughalter,Werkzeugsysteme,,,,,,,Ohlsbach,830929.0,15-20,15,5625
bdg Gesellschaft für Montage- und Prüfsysteme,https://bdg-online.de,False,Automationsanlagen,Beratungsdienstleistungen,Prüfsysteme,,,,,,,Künzelsau,97968.0,No Match,,
Wilhelm Fischer Spezialmaschinenfabrik GmbH,https://www.wilhelm-fischer.de,False,Automatisierungslösungen,Dienstleistungen,Verpackungsmaschinen,,,,,,,Durach,753248.0,15-20,15,5625
Aachener Maschinenbau GmbH,http://www.amba.de/de/,False,All-in-one Schraubenmaschinen,All-in-one Speichenmaschinen,Rohrumformungs-Maschinen,,,,Kaltumformungen von Metallen,,,Alsdorf,302372.0,10-15,10,3750
JW Froehlich Maschinenfabrik GmbH,https://www.jwf.com,False,Batterien,Brennstoffzellen,Elektrische Antriebseinheiten,,,,,,,Leinfelden-Echterdingen,84765.0,No Match,,
Eberlein Apparatebau GmbH,https://www.eberlein-apparatebau.de,True,Blechteile aus Aluminiumwerkstoffen,Konstruktionen,Werkzeugbauten,3D Laserschneiden / Schweißen,3D Messen,Baugruppen / Gerätemontagen,3D Laserschweißen,Baugruppenmontagen,Biegen,Langenzenn,173450.0,No Match,,
ILLIG Maschinenbau GmbH & Co. KG,https://www.illig.de,False,Thermoformmaschinen,Verpackungsmaschinen,Werkzeuge,Thermoformmaschinen,Verpackungsmaschinen,Werkzeugmaschinen,Thermoformungen,Verpackungsprozesse,Werkzeugherstellungen,Heilbronn,4671265.0,120-200,120,45000
Theegarten-Pactec GmbH & Co. KG,https://www.theegarten-pactec.de,False,Integrierte Verpackungssysteme,Systemkomponenten,Verpackungsmaschinen,,,,,,,Dresden,1001757.0,15-20,15,5625
Christian Pfeiffer Maschinenfabrik GmbH,https://www.christianpfeiffer.com/en/,False,Diaphragmen,Mühlen,Separatoren,,,,,,,Beckum,785581.0,15-20,15,5625
Karl Eugen Fischer GmbH,https://kefischer.de,False,Extrusionsmaschinen,RFID-Systeme,Schneidmaschinen,,,,,,,Burgkunstadt,2347590.0,80-120,80,30000
REBS Zentralschmiertechnik GmbH,https://www.rebs.de/de/,False,Kettenschmiersysteme,Zentralschmiersysteme,Öl-Luft-Schmierungen,,,,,,,Ratingen,652264.0,10-15,10,3750
Starrag Technology GmbH,https://www.starrag.com,False,CNC-Drehmaschinen,CNC-Fräsmaschinen,CNC-Schleifmaschinen,,,,Drehen,Fräsen,Schleifen,Mönchengladbach,380161.0,10-15,10,3750
PEKRUN GETRIEBEBAU GmbH,https://www.pekrun.de,False,Mühlen-Getriebeeinheiten,Turbo-Getriebeeinheiten,Walzwerk-Getriebeeinheiten,,,,,,,Iserlohn,1128607.0,21-40,21,7875
MultiWeigh GmbH,https://www.multiweigh.com,False,Einzellösungen,Multihead-Waagen,Sonderverpackungslösungen,,,,,,,Wetzlar,527954.0,10-15,10,3750
Kutter- und Gerätebau Wetter GmbH,https://kgwetter.de,False,Kutter,Mischwölfe,Wölfe,,,,,,,Biedenkopf,469848.0,10-15,10,3750
Alfa Laval Mid Europe GmbH,https://www.alfalaval.de,False,Plattenwärmetauscher,Separatoren,Services,,,,,,,Glinde,57158.0,No Match,,
