Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
VAUTID GmbH,https://vautidgroup.com,False,Gussprodukte,Hardfacing-Schweißzusatzwerkstoffe,Verschleißschutzplatten,,,,,,,Ostfildern,522316.0,10-15,10,3750
Eisenbau Krämer GmbH,https://www.eisenbau-kraemer.de,False,Kraftwerksrohre,Leitungsrohre,Premium Stahlrohre,,,,,,,Kreuztal,12535231.0,350-600,350,131250
Friedr. Lohmann GmbH,https://www.lohmann-stahl.de,True,Blechprodukte,Stabstahlprodukte,hitzebeständige Güsse,,,,,,,Witten,11403794.0,200-350,200,75000
IBF Industrielle Blechfertigung GmbH,http://www.ibf-biberach.de,True,Fertigungsdienstleistungen,Maßgeschneiderte Lösungen,Präzisionswerkzeuge,Biegemaschinen,CNC-Fräsmaschinen,Laserschneidmaschinen,Biegen,CNC-Fräsen,Laserschneiden,Biberach,2077425.0,80-120,80,30000
Betafence GmbH,https://www.betafence.de,False,Gabionen,Tore,Zaunsysteme,,,,,,,Schwalmtal,216641.0,No Match,,
Stahlhammer Bommern GmbH,https://stahlhammer.de,False,Hebezeuge,Schmiedestücke,,,,,Schmiedeverfahren,,,Hamm,3054967.0,120-200,120,45000
HMS Maass GmbH & Co. KG,https://www.hms-maass.de,True,Hitzeschutzböden,Stahlböden,Traversen,FaserlaserLaserverfahren,Montageanlagen,Pulverbeschichtungsanlagen,CO2-Laserschneiden,Faserlaserschneiden,Metall-Aktivgas-Schweißens,Kalletal,607324.0,10-15,10,3750
König & Co. GmbH,https://www.koenig-co.de,False,Behälterböden,Lagerböden,Sonderpressteile,,,,,,,Netphen,6980877.0,200-350,200,75000
Kimmel GmbH & Co. KG,https://www.kimmel-metall.de,True,Blechverarbeitungen,Produktbeispiele,Pulverbeschichtungen,Biegemaschinen,Clinchen-Pressen,Lasermaschinen,Biegen,Clinchen,Dichtschäumen,Simbach,1976084.0,80-120,80,30000
Rudi Göbel GmbH & Co. KG,https://www.rgoebel.de,False,Automotives,Industrietechniken,Leistungselektroniken,,,,,,,Helmbrechts,3262421.0,120-200,120,45000
Ernst Strassacker GmbH & Co. KG,https://www.strassacker.com/de/,True,Auftragsarbeiten,Großprojekte,Sonderanfertigungen,,,,Gusstechniken,Handwerke,Moderne Fertigungstechniken,Süßen,650365.0,No Match,,
PROGRESSIO Feinblechtechnik GmbH,https://www.progressio-feinblech.de,False,Blechbaugruppen,Blechteile,Werkstückträger,,,,,,,Aglasterhausen,204076.0,No Match,,
Reinhold Mendritzki Kaltwalzwerk GmbH,https://www.mendritzki.de,False,Broschüren,Präzisionsteile,Schneidwerkzeuge,,,,,,,Plettenberg,18132881.0,350-600,350,131250
Hammerwerk Erft,http://www.hammerwerk-erft.de/de/,True,Formwellen,Geschmiedete Ringe,Nahtlos gewalzte Ringe,,,,,,,Bad Münstereifel,3872394.0,120-200,120,45000
PPM-Aberle GmbH & Co KG,https://www.ppm-aberle.de,True,Automobilkomponenten,Baugruppen,Präzisionsteile,Drehmaschinen,Fräsmaschinen,Zerspanungsmaschinen,Drehens,Fräsens,Zerspanens,Gutach (Schwarzwaldbahn),3568692.0,120-200,120,45000
G. Schürfeld GmbH,https://www.schuerfeld-gmbh.de,True,Gesenkschmiedeprodukte,Schmiedeteile,Werkzeuge,3-D-Messmaschinen,HSC-Fräsmaschinen,hydraulische Pressen,Konstruktionen,Prägen,Qualitätssicherungen,Halver,2710966.0,120-200,120,45000
KrampeHarex GmbH & Co. KG,https://www.krampeharex.com,False,Kunststoffmakrofasern,Kunststoffmikrofasern,Stahlfasern,,,,,,,Hamm,3750472.0,120-200,120,45000
von Schaewen GmbH,https://www.von-schaewen.de,True,Flachprodukte,Großmechaniken,Schmiedeprodukte,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Drehen,Erodieren,Fräsen,Essen,3104768.0,120-200,120,45000
Bartz-Werke GmbH,https://www.bartz-heiztechnik.de,False,Herde,Kaminöfen,,,,,,,,Dillingen,2990677.0,No Match,,
Norican Group,https://www.noricangroup.com,False,Bearbeitungsmaschinen,Formenbaumaschinen,Gießereianlagen,Bearbeitungsmaschinen,Formenbaumaschinen,Gießereimaschinen,Bearbeitungen,Formenbauten,Gussformen,Wiehl,26994.0,No Match,,
WiRoPa GmbH,https://wiropa.de,True,Baugruppen,Metallbauteile,Trommeln und Spulen,Abkantpressen,Laserschneidmaschinen,Plasmaschneidmaschinen,Abkantarbeiten,Laserschneiden,Plasmaschneiden,Gescher,1209742.0,21-40,21,7875
Dörrenberg Edelstahl GmbH,https://www.doerrenberg.de,False,Beschichtung,Gussprodukte,Spezialstähle,,,,,,,Engelskirchen,8503088.0,200-350,200,75000
MICROMETAL GmbH,https://www.micrometal.de,True,Bipolarplatten,Filter und Siebe,Heizelemente und Wärmetauscher,,,,Fotochemische Ätzungen,Reel-to-Reel-Ätzungen,Sheet Etchings,Müllheim,511953.0,10-15,10,3750
Auerhammer Metallwerk GmbH,https://www.auerhammer.com,False,Metallbänder,Plattierte Werkstoffe,Thermobimetalle,,,,,,,Aue-Bad Schlema,4029804.0,120-200,120,45000
Hörle Wire GmbH,https://horlewire.com/de/,False,Blankdrähte,Flachedrähte,verzinkte Produkte,,,,Drahtzieher,Verzinkungen,,Hagen,1381988.0,40-60,40,15000
Albrecht Zwick GmbH,https://www.zwick-edelstahl.de,False,Blech,Rohren,Stabstähle,,,,,,,Hagen,373475.0,10-15,10,3750
Sprint Metal Edelstahlziehereien GmbH,https://sprintmetal.schmolz-bickenbach.com,False,,,,,,,,,,Hemer,522672.0,10-15,10,3750
WW-K Warmwalzwerk Königswinter GmbH,https://www.ww-k.net,False,,,,,,,,,,Königswinter,2020220.0,80-120,80,30000
