Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
AKO - Kunststoffe Alfred Kolb GmbH,https://www.ako-kolb.de/de/,True,Präzisionsbaugruppen,Spritzgusswerkzeuge,Thermoplastspritzgüsse,Entnahmeroboter,Spritzgießmaschinen,Zerspanungsmaschinen,Drehen,Erodieren,Fräsen,Sinsheim,24878.0,No Match,,
Neuhäuser Präzisionswerkzeuge GmbH,https://www.neuhaeuser-controx.de,True,Composite Werkzeuge,Metallkreissägeblätter,Scheibenfräser,,,,,,,Prüm,527475.0,10-15,10,3750
ACTech GmbH,https://www.actech.de/de/,True,Gussteile,Kleinserien,Prototypen,Biegen und Abkantmaschinen,Drehmaschinen,Erodiermaschinen,Biegungen,Bohrungen,Drehungen,Freiberg,7232946.0,200-350,200,75000
Schneider Form GmbH,https://www.schneider-form.de,True,CFK / Thermoformen,Druckgussformen,Spritzgießformen,CAD-Maschinen,Heiz- und Kühlgeräte,Materialtrockner,Ausproben,CAD-Konstruktionen,Druckgießverfahren,Dettingen unter Teck,3209100.0,No Match,,
Stolz & Seng GmbH,https://stolz-seng.de,True,Formen,Präzisionsteile,Werkzeuge,Spritzgussmaschinen,,,Spritzgießens,Weiterverarbeitungen,,Donaueschingen,1081113.0,No Match,,
Carl Hilzinger-Thum GmbH & Co. KG,https://www.hilzinger-thum.de,False,Gummiwalzen,Technische Bürsten,Werkzeugbürsten,,,,,,,Tuttlingen,2968645.0,120-200,120,45000
Frielinghaus GmbH,https://www.frielinghaus.de,False,Mähmesserklingen,Rotorspitzen,Strohmesser,,,,Hartbeschichtungen,Pressungen,Prägungen,Ennepetal,2660959.0,120-200,120,45000
August Beck GmbH & Co. KG,https://beck.mapal.com,False,Bohrwerkzeuge,Entgratungswerzeuge,Reibahlen,,,,Biegen,Bohren,Drehen,Winterlingen,2319138.0,80-120,80,30000
MWS Schneidwerkzeuge GmbH & Co KG,https://www.mendritzki.de,True,Bandstähle,Präzisionsteile,Schneidwerkzeuge,Biegemaschinen,Erodiermaschinen,Fräsmaschinen,Biegungen,Bohrungen,Drehungen,Schmalkalden,4208102.0,120-200,120,45000
Christian Karl Siebenwurst GmbH & Co. KG,https://siebenwurst.de,True,Formenbauten,Modellbauten,Tool Doctors,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Biegungen,Bohrungen,Drehungen,Dietfurt an der Altmühl,2439169.0,80-120,80,30000
