Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
wolfcraft GmbH,https://www.wolfcraft.com/en/,False,Handwerkzeuge,Maschinenzubehör,Werkstattausrüstungen,,,,,,,Kempenich,1882671.0,80-120,80,30000
Steinbach & Vollmann GmbH,https://www.stuv.de,False,Beschläge,Scharniere,Schlösser,,,,,,,Heiligenhaus,233232.0,No Match,,
Gerd Eisenblätter GmbH,https://www.eisenblaetter.de,False,Elektrogeräte,Polier- und Pflegemittel,Schleifwerkzeuge,Bandschleifer,Satiniermaschinen,Schleifmaschinen,Polieren,Satinieren,Schleifen,Geretsried,753481.0,15-20,15,5625
VON ZITZEWITZ GRUPPE GmbH & Co. KG,https://www.cwalter.de/de/,False,Handwerkzeuge,Hydraulikwerkzeuge,Schraubwerkzeuge,,,,,,,Wuppertal,378195.0,10-15,10,3750
Altrad Lescha Atika GmbH,https://www.lescha-atika.de,False,Baumaschinen,Gartenmaschinen,Holzbearbeitungsmaschinen,,,,,,,Burgau,234316.0,No Match,,
Hufschmied Zerspanungssysteme GmbH,https://www.hufschmied.net,True,CNC-Fräser,Laserschneidanlagen,Schleifmaschinen,Fräsmaschinen,Laserschneidmaschinen,Schleifmaschinen,Fräsen,Laserschneiden,Schleifen,Bobingen,1909277.0,80-120,80,30000
Inovatools Eckerle & Ertel GmbH,https://www.inovatools.eu,False,Kataloge,Werkzeugfinder,Werkzeugkonfiguratoren,,,,,,,Kinding,4993947.0,120-200,120,45000
ZCC Cutting Tools Europe GmbH,https://www.zccct-europe.com,False,Bohrer,Drehwerkzeuge,Fräser,,,,Bohrungen,Drehungen,Fräsungen,Düsseldorf,786233.0,15-20,15,5625
Heller Tools GmbH,https://www.hellertools.de/de/,False,Betonbohrer,Hammerbohrer,Meißel,,,,,,,Dinklage,1844253.0,80-120,80,30000
Günter Effgen GmbH,https://effgen.com,False,Abrichtwerkzeuge,Polierwerkzeuge,Schleifwerkzeuge,Abrichtmaschinen,Poliermaschinen,Schleifmaschinen,Abrichten,Polierens,Schleifen,Herrstein,2411494.0,80-120,80,30000
Gleason Cutting Tools GmbH,https://www.gleason.com/de/,False,Spannmittel,Verzahnungmaschinen,Werkzeuge,Fräsmaschinen,Honmaschinen,Schleifmaschinen,Fräsen,Honen,Schleifen,Eisenbach (Hochschwarzwald),1463496.0,40-60,40,15000
Ruwac Industriesauger GmbH,https://www.ruwac.de,False,Absauganlagen,Akkusauger,Industriesauger,,,,,,,Melle,772093.0,15-20,15,5625
HUNTER Deutschland GmbH,https://www.hunter.com/de/,False,Achsvermessungsanlagen,Radauswuchtmaschinen,Reifenmontiermaschinen,,,,,,,Puchheim,268826.0,No Match,,
BDS Maschinen GmbH,https://www.bds-maschinen-gmbh.de,False,Kantenfräsmaschinen,Kernbohrer,Magnet-Kernbohrmaschinen,,,,,,,Mönchengladbach,1012828.0,No Match,,
Elektrowerkzeuge GmbH Eibenstock,https://www.eibenstock.com/de/,False,Antriebe & Motoren,Elektrowerkzeuge,Zubehör,Bohrmaschinen,Schleifmaschinen,Sägen,Bohren,Schleifen,Sägen,Eibenstock,3496509.0,120-200,120,45000
Joh. Clouth GmbH & Co. KG,https://www.clouth.com/de/,False,Kreppschaber,Schaberklingen,Streichmesser,,,,,,,Hückeswagen,826004.0,No Match,,
KULLEN-KOTI GmbH,https://www.kullen.de/de/,False,Bürsten,Fachlexika,Kataloge,,,,,,,Reutlingen,1478335.0,40-60,40,15000
Hartmetall-Werkzeugfabrik Paul Horn GmbH,https://www.horn-group.com,False,Hochharte Schneidstoffe,Sonderwerkzeuge,Zerspanungswerkzeuge,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Tübingen,18636469.0,No Match,,
Eugen Lägler GmbH,https://www.laegler.com,False,Ersatzteile,Maschinen,Schleif- und Fräswerkzeuge,Bohrmaschinen,Fräsmaschinen,Schleifmaschinen,Bohren,Fräsen,Schleifen,Güglingen,459569.0,10-15,10,3750
Spezialwerkzeuge GmbH Zella-Mehlis,https://swz-zm.de,True,Lohnräume,Räumwerkzeuge,Sonder Räumwerkzeuge,CNC-Schärfmaschinen,,,Härten,Schleifen,Spannen,Zella-Mehlis,3716827.0,120-200,120,45000
Karl Schüßler GmbH & Co. KG,https://www.k-schuessler.de,False,Schrumpfsysteme,Werkzeugspannsysteme,Wuchtgeräte,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehen,Fräsen,Schleifen,Bodelshausen,3238450.0,120-200,120,45000
Fichtner & Schicht GmbH,https://fi-sch.de,True,Elektroformen,Modell- und Vorrichtungsbauten,Werkzeugbauten,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Elektroformen,Modellbauten,Werkzeugbauten,Schlangen,157104.0,No Match,,
Anton Kessel GmbH,https://www.die-werkbank.com/de/,False,Arbeitstische,Rollcontainer,Werkbänke,,,,,,,Langenenslingen,467835.0,10-15,10,3750
ZEROCLAMP GmbH,https://www.zeroclamp.com,False,Modulare Spannschienen Systeme,Nullpunktspannsysteme,Spanntechnik,,,,,,,Bruckmühl,1578816.0,60-80,60,22500
LINCOLN ELECTRIC DEUTSCHLAND GmbH,https://www.oerlikon-welding.com,False,Cooper™ Schweiß-Cobots,HYPERFILL®,SPRINTER S-RANGE,,,,Schweißarbeiten,,,Eisenberg (Pfalz),7771442.0,200-350,200,75000
Schwegler Werkzeugfabrik GmbH & Co. KG,https://www.schwegler.de,True,Dienstleistungen,Sonderanfertigungen,Werkzeuge,Bohrungen,Fräsmaschinen,Schleifungen,Bohren,Fräsen,Schleifen,Vöhringen,258476.0,No Match,,
Mogatec GmbH,https://www.mogatec.de/de/,False,Gartengeräte,Heckenscheren,Kettensägen,Automatisierte Drahtschneidemaschinen,CNC-Maschinen,Laserschneidemaschinen,CNC-Bearbeitungen,Laserschneiden,Montagen,Drebach,4164958.0,120-200,120,45000
Orbis Will GmbH + Co. KG,https://www.orbiswill.de,False,Bolzenschneider,Kunststoffteile,Zangen,2K-Spritzgussmaschinen,3K-Spritzgussmaschinen,Härteanlagen,Härten,Montagen,Spritzgießens,Ahaus,1550358.0,60-80,60,22500
Kelch GmbH,https://www.kelch.de,False,Messmittel,Präzisionswerkzeuge,Werkzeugeinstellgeräte,,,,,,,Weinstadt,750472.0,15-20,15,5625
MESTO Spritzenfabrik,https://www.mesto.de,False,Drucksprüher,Gießkannen,Sprühgeräte,,,,,,,Freiberg am Neckar,176421.0,No Match,,
botek Präzisionsbohrtechnik GmbH,https://www.botek.de/de/,True,Einlippenbohrer,Fräser,Zweilippenbohrer,,,,Bohren,Fräsen,Schleifen,Riederich,13763332.0,350-600,350,131250
Comet Schleifscheiben GmbH,http://www.comet-d.de,False,,,,,,,,,,St. Ingbert,2367278.0,No Match,,
Stanley Black & Decker Deutschland GmbH,https://www.blackanddecker.de,False,Elektrowerkzeuge,Gartengeräte,Haushaltsreinigungen,,,,,,,Idstein,667898.0,10-15,10,3750
J. König GmbH & Co. Werkzeugfabrik,https://www.j-koenig.de,False,Hilfsmittel,Maschinen,Werkzeuge,Diamantwerkzeuge,Fräsmaschinen,Schleifmaschinen,Diamantbearbeitungen,Fräsen,Schleifen,Karlsruhe,805250.0,15-20,15,5625
Consul Werkstattausrüstung GmbH,https://www.consul-gmbh.com,False,Hebebühnen,Hebetechniken,Sonderlösungen,,,,,,,Halver,565872.0,10-15,10,3750
SOLO Kleinmotoren GmbH,https://shop.solo.global,False,Akkugeräte,Spritzen,Sprühgeräte,,,,,,,Sindelfingen,670779.0,10-15,10,3750
Paul Dümmel Werkzeugfabrik GmbH,https://www.duemmel.de/de/,False,Bohrungswerkzeuge,Drehwerkzeuge,Fräswerkzeuge,Bohrmaschinen,Drehmaschinen,Fräsmaschinen,Bohrungen,Drehungen,Fräsungen,Hülben,2317972.0,80-120,80,30000
Weisskopf Werkzeuge GmbH,https://www.weisskopf-tools.de,False,Bohrwerkzeuge,Fräswerkzeuge,Werkzeuge,5-Achs-Schleifmaschinen,Beschichter,Schleifmaschinen,Beschichtungen,Fräsen,Schleifen,Meiningen,3149821.0,120-200,120,45000
THERMOTEX NAGEL GmbH,https://www.thermo-tex.de/de/,False,Patchmaschinen,Thermotransferdrucksysteme,Transferpressen,Patchmaschinen,Thermotransferdrucker,Transferpressen,Bedrucke,Drucke,Montagen,Schutterwald,765231.0,15-20,15,5625
Maschinenfabrik Otto Baier GmbH,https://www.baier-tools.com/de/,False,Elektrowerkzeuge,Ersatzteile,Zubehör,Bohrmaschinen,Fräsmaschinen,Mischmaschinen,Bohren,Fräsen,Mischen,Asperg,819579.0,15-20,15,5625
BSW Zerspanungswerkzeuge GmbH,https://www.bsw-gmbh.com,False,CBN-Werkzeuge,CVD-Werkzeuge,PKD-Werkzeuge,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen,Saarwellingen,3236196.0,120-200,120,45000
GEDORE Automotive GmbH,https://www.gedore-automotive.com,False,Ersatzteile,Reparatur-Services,Spezialwerkzeuge,,,,,,,Donaueschingen,93135.0,No Match,,
DreBo Werkzeugfabrik GmbH,https://www.drebo.de,False,Anwendungshinweise,Bohrwerkzeuge,Meißelwerkzeuge,,,,,,,Altshausen,1563900.0,No Match,,
DALEX GmbH & Co. KG,https://www.dalex.de,False,Industriemaschinen,MF-Transformatoren,Roboterschweißzangen,Buckelschweißmaschinen,Punktschweißmaschinen,Rollnahtschweißmaschinen,Buckelschweißungen,Punktschweißungen,Rollnahtschweißungen,Wissen,357774.0,10-15,10,3750
OTEC Präzisionsfinish GmbH,https://www.otec.de,False,Gleitschleifmaschinen,Schleif- und Poliersysteme,Verfahrensmittel,,,,Oberflächenbehandlungen,Polierens,Schleifen,Straubenhardt,2600234.0,120-200,120,45000
CERATIZIT Balzheim GmbH & Co. KG,https://www.ceratizit.com/de/,False,Dienstleistungen,Hartmateriallösungen,Zerspanungswerkzeuglösungen,,,,,,,Balzheim,19526251.0,350-600,350,131250
Feinhütte Halsbrücke GmbH,https://www.feinhuette.de/de/,False,Bleilegierungen,Legierungen,Metallformate,,,,Produktionen,Recyclings,Verarbeitungen,Halsbrücke,2907277.0,120-200,120,45000
Rennsteig Werkzeuge GmbH,https://www.rennsteig.com/de/,False,Abisolierzangen,Aderendhülsen-Lösungen,Kabelscheren,,,,,,,Viernau,4830675.0,120-200,120,45000
ZECHA Hartmetallwerkzeugfabrikation GmbH,https://www.zecha.de/de/,False,Mikrowerkzeuge,Schleifwerkzeuge,Stanzwerkzeuge,Fräsmaschinen,Schleifmaschinen,Stanzmaschinen,Fräsen,Schleifen,Stanzen,Königsbach-Stein,1183415.0,No Match,,
Alfred Jäger GmbH,https://www.nakanishi-jaeger.com,False,Hochfrequenzspindeln,Motorspindeln,Synchron- und Asynchron-Motoren,Bohrmaschinen,Fräsmaschinen,Schleifmaschinen,Bohren,Fräsen,Schleifen,Ober-Mörlen,604216.0,10-15,10,3750
FLEX-Elektrowerkzeuge GmbH,https://www.flex-tools.com,False,Akkuwerkzeuge,Luftreiniger,Staubsauger,,,,,,,Steinheim an der Murr,1255576.0,40-60,40,15000
ELORA Werkzeugfabrik GmbH,https://www.elora.de,False,Schlüssel,Schraubenschlüssel,Steckdosen,,,,,,,Remscheid,34091.0,No Match,,
United Salon Technologies GmbH,https://www.tondeo.com/de/,False,Friseurscheren,Haarstyler,Rasiermesser,,,,Montagen,Oberflächenbehandlungen,Schleifen,Solingen,1130918.0,21-40,21,7875
