company name,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
KS Tools Werkzeuge und Maschinen GmbH,"361.494,00","524.197,00","1.535.174,28","1.718.514,78",01.01.2013,31.12.2013,bundesanzeiger_local_data/KS_Tools_Werkzeuge_und_Maschinen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2013_bis_zum_31.12.2013
Karl-Heinz Arnold GmbH,"2.960.141,50","1.797.797,00","13.057.626,54","12.286.957,03",01.01.2021,31.12.2021,bundesanzeiger_local_data/Karl-Heinz_Arnold_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
August Berghaus GmbH & Co. KG,NA,NA,NA,NA,-,-,
Philipp Hafner GmbH & Co. KG.,"654.338,46",734,"1.880.545,08",2.445,01.01.2021,31.12.2021,bundesanzeiger_local_data/Philipp_Hafner_GmbH_and_Co._KG./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SWM Werkzeugfabrik GmbH & Co.KG,"1.226.901,59","1.340.209,61","2.928.499,53","2.709.884,63",01.07.2017,30.06.2018,bundesanzeiger_local_data/SWM_Werkzeugfabrik_GmbH_and_Co.KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2017_bis_zum_30.06.2018
KULLEN-KOTI GmbH,"1.478.335,79","1.468.587,59","59.077,60","318.495,60",01.01.2021,31.12.2021,bundesanzeiger_local_data/KULLEN-KOTI_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ThermoTex Nagel GmbH,"765.231,00","616.886,00","1.446.657,00","1.408.879,00",31.12.2021,31.12.2020,bundesanzeiger_local_data/ThermoTex_Nagel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Kirchhoff Witte GmbH,NA,NA,NA,NA,-,-,
SFS intec GmbH,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_data/SFS_intec_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ADGA - Adolf Gampper GmbH,"6.858.806,00",7.725,"19.126.049,36",17.978,01.01.2021,31.12.2021,bundesanzeiger_local_data/ADGA_-_Adolf_Gampper_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
