Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size
Hoedtke GmbH & Co. KG,https://hoedtke.de,True,3D-Drucke,Blechbearbeitungen,Lasertechniken,CNC-Maschinen,Lasermaschinen,Wasserstrahlmaschinen,CNC-Bearbeitungen,Laserschneiden,Wasserstrahlschneiden,Pinneberg,3598429.0,120-200
R. Mannhardt GmbH,https://www.mannhardtgmbh.com,True,Baugruppen,Blechteile,Werkzeuge,Reinigungsanlagen,Stanzmaschinen,Umformmaschinen,Reinigen,Stanzen,Umformen,Dauchingen,1922759.0,80-120
Sturm Blechverarbeitung GmbH,https://www.sturm-blech.de,True,Entgraten,Gleitschleifen,Laserschneiden,Abkantpressen,Laserschneidanlagen,Schleifmaschinen,Biegen,Laserschneiden,Schleifen,Salching,498070.0,10-15
KUIPERS technologies GmbH,https://kuipers-technologies.de,True,Biegemaschinen,Laserschneidanlagen,Stanzmaschinen,Biegemaschinen,Drehmaschinen,Fräsmaschinen,Biegen,Drehen,Fräsen,Meppen,3103168.0,120-200
Wilhelm Becker GmbH & Co. KG,https://wilhelm-becker.de,True,Federn,Montageteile,Stanzteile,CNC-Drahtbiegeautomaten,Federwindeautomaten,Pressen,Biegeprozesse,Montageprozesse,Stanzprozesse,Mettmann,3150464.0,120-200
Purkart Systemkomponenten GmbH,https://purkart.de,True,Baugruppen,Einzelteile,Systeme,Abkantmaschinen,Beschichtungsanlagen,CNC-Bearbeitungszentren,Blechbearbeitungen,Konstruktionen,Mechanische Bearbeitungen,Großrückerswalde,984127.0,21-40
Hennig GmbH,https://hennigworldwide.com/de/,False,Kühlmittelfiltrationssysteme,Maschinenschutzsysteme,Späneförderer,,,,,,,Kirchheim bei München,162920.0,No Match
Vosseler GmbH,https://vosseler-gruppe.de,True,Gelenke,Muttern,Schraubverbindungen,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Bohrungen,Drehungen,Fräsungen,Aldingen,1425060.0,40-60
Eirenschmalz Maschinenbaumechanik und Metallbau GmbH,https://www.eirenschmalz.de,True,Baugruppen,Blechteile,Präzisionsteile,Abkantpressen,Laserschneidanlagen,Schweißanlagen,Abkanten,Laserschneiden,Schweißen,Schwabsoien,4925779.0,120-200
Stork GmbH & Co. KG,https://stork-online.de,True,Baugruppen,Sondermaschinen,Werkzeuge,Exzenterpressen,Hydraulikpressen,Stanzautomaten,Biegen,Laserschneiden,Schweißen,Harsewinkel OT Marienfeld,1417133.0,40-60
ERICH GRAU GMBH,https://www.grau-stanzwerk.de,True,Laserteile,Pakete,Stanzbiegeteile,Laserschneidmaschinen,Paketiermaschinen,Stanzmaschinen,Laserschneiden,Paketfertigungen,Stanztechniken,Sersheim,2820269.0,120-200
EPflex Feinwerktechnik GmbH,https://www.epflex.com,False,Fangschlingen,Führungsdrähte,Steinfanginstrumente,,,,,,,Dettingen an der Erms,4765355.0,120-200
Karl Enghofer GmbH & Co. KG,https://www.enghofer.de,False,Präzisionsrohrteile,Präzisionsstanzteile,lötfreie Kabelverbindungen,Galvanisierungen,Maschinenbau,Werkzeugbau,Galvanisieren,Maschinenbau,Werkzeugbau,Birkenfeld,4339583.0,120-200
