Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size
Federnfabrik Dietz GmbH,https://www.dietz.eu,False,Hybride Baugruppen,Präzisionsfedern,Stanz-Umformteile,Biegemaschinen,CNC-gesteuerte Fertigungsmaschinen,Lasermaschinen,Biegeprozesse,Montagen,Qualitätskontrollen,Neustadt bei Coburg,1340184.0,40-60
Hans Ziller GmbH,https://www.ziller-federn.de,False,Druckfedern,Schenkelfedern,Zugfedern,Durchlauföfen,Federwindeautomaten,Kammeröfen,Kaltverformungen,Kugelstrahlen,Schleifen,Böhmenkirch,937440.0,21-40
thema Form- & Federntechnologie GmbH & Co. KG,https://www.thema-federn.de/de/,False,Druckfedern,Federzinken,Zugfedern,,,,,,,Finnentrop,2183447.0,80-120
Baumann GmbH,https://www.baumann-springs.com,False,Biegungen,Federn,Stanzteile,,,,,,,Lichtenstein,7148662.0,200-350
Bischoff Federnwerk,https://www.federnwerk-bischoff.de,True,Bahnfedern,Blattfedern,Parabelfedern,,,,Montagen,Oberflächenbehandlungen,Schweißens,Staßfurt,4922702.0,120-200
Ernst W. Velleuer GmbH & Co. KG,https://velleuer.de,True,Drehfedern,Stanzbiegeteile,Stanzteile,Biegemaschinen,Drahtformmaschinen,Stanzmaschinen,Biegen,Drahtbiegen,Stanzen,Velbert,3441753.0,120-200
SOGEFI PC SUSPENSIONS Germany GmbH,https://www.sogefigroup.com/de/,False,Fahrwerkskomponenten,Kühlungen,Luftansaugungen,,,,,,,Völklingen,665770.0,10-15
Kurt Kauffmann Technische Federn GmbH,https://www.kauffmann-federn.de/de/,False,Druckfedern,Zugfedern,Zusammenbauten,,,,,,,Weinstadt,1153976.0,21-40
Schomäcker Federnwerk GmbH,https://www.schomaecker.de,False,Federn,Technische Federn,Zubehörartikel,,,,Kugelstrahlen,Warmumformungen,Wärmetbehandlungen,Melle,481068.0,10-15
HAHN-Gasfedern GmbH,https://www.hahn-gasfedern.de,False,Dämpfer,Gasdruckfedern,Gaszugfedern,,,,,,,Aichwald,1931010.0,80-120
BREMA-WERK GmbH & Co. KG,https://www.bremawerk.de,True,Stanzbiegeteile,Stanzteile,Technische Federn,Exzenterpressen,Stanzbiegeautomaten,,Oberflächenbehandlungen,Schleifen,Wärmebehandlungen,Schwabach,767210.0,15-20
WEFORMA Dämpfungstechnik GmbH,https://www.weforma.com,False,Industriestoßdämpfer,Luftfedern,Schwerlastdämpfer,,,,,,,Stolberg (Rheinland),2709039.0,120-200
Pieron GmbH,https://pieron.international,False,Drahtbiegeteile,Drehfedern,Druckfedern,Automaten,Bihler-Technologien,Windemaschinen,Biegeprozesse,Drahtbiegeprozesse,Stanzprozesse,Bocholt,5273770.0,200-350
Federnwerke J.P. Grueber GmbH & Co. KG,https://grueber.de,False,Biegeteile,Druckfedern,Zugfedern,CNC-Biegemaschinen,Kaltformmaschinen,Warmformmaschinen,Biegungen,Kaltformungen,Warmformungen,Hagen,2876548.0,120-200
Stumpp & Schüle GmbH,https://www.stumpp-schuele.de,True,Baugruppen,Federn,Stanzteile,Mehrschieberbiegeautomaten,Stanzautomaten,Werkzeugbaumaschinen,Biegefertigungen,Prüftechnologien,Stanzfertigungen,Beuren,1168718.0,21-40
CEFEG GmbH,https://www.cefeg.de,True,Baugruppen,Federn,Stanzbiegeteile,Biegemaschinen,CNC-Maschinen,Stanzmaschinen,Biegen,CNC-Bearbeitungen,Stanzen,Chemnitz,4797655.0,120-200
Bansbach easylift GmbH,https://www.bansbach.com,False,Dämpfer,Elektro-Aktuatoren,Gasfedern,,,,,,,Lorch,1762329.0,60-80
S & P Federnwerk GmbH & Co. KG,https://www.lesjoforsab.com,True,Federbeine,Gasfedern,Stanzteile,Biegemaschinen,Schneidemaschinen,Stanzmaschinen,Biegungen,Schnitte,Stanzungen,Nisterau,1549473.0,60-80
