Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size
Murrplastik Systemtechnik GmbH,https://www.murrplastik.de,False,Kabeldurchführungen,Kennzeichnungen,Schläuche,,,,,,,Oppenweiler,4522931.0,120-200
Innovatec Microfibre Technology,https://melt-blown.com,False,Filterprodukte,Spinnvliese,Vliesstoffe,Laboreinrichtungen,Meltblown-Anlagen,Spinnvliesanlagen,Extrudierungen,Montierungen,Verarbeitungen,Troisdorf,9393004.0,200-350
Funke Kunststoffe GmbH,https://www.funkegruppe.de,False,Hausanschlüsse,Rohrsysteme,Rohrverbindungen,,,,,,,Hamm,5177642.0,200-350
Deutsche Technoplast GmbH,https://www.deutsche-technoplast.com,True,Automatisierungssysteme,Kunststoffteile,Werkzeuge,Automatisierungsmaschinen,Spritzgussmaschinen,Werkzeugmaschinen,Automatisierungen,Spritzgießverfahren,Werkzeugbauten,Wörth a.d.Donau,52939.0,No Match
ACLA-WERKE GMBH,https://www.acla.de,False,Dichtungen,Formartikel,Halbzeuge,Extruder,Pressen,Spritzgussmaschinen,Extrudierens,Pressens,Spritzgießens,Köln,2870926.0,120-200
Findeis GmbH,https://www.findeis.de,False,,,,,,,,,,Kirchlengern,218297.0,No Match
Camso Deutschland GmbH,https://camso.co/de/,False,Gummibänder,Kettensysteme,Umrüstsysteme,,,,,,,Duisburg,713962.0,15-20
ttp Papenburg GmbH,https://www.ttp-kunststoffprofile.de,False,Kunststoffprofile,Ladenbauprofile,Resystas,Extrusionsanlagen,Laborextruder,Werkzeugmaschinen,Extrusionen,Labormischungen,Spritzgießungen,Papenburg,951412.0,21-40
Trelleborg Sealing Profiles Germany GmbH,http://www.trelleborg.com/de/,False,Dichtungen,Lösungen,Profile,,,,,,,Großheubach,1079940.0,21-40
Amper-Plastik R. Dittrich GmbH & Co. KG,https://www.amperplastik.de,True,Kunststoffprodukte,Spritzgießformen,Systemlösungen,Hochleistungswerkstoffmaschinen,Präzisionsmessgeräte,Spritzgießmaschinen,Baugruppenmontagen,Formenbauten,Spritzgießens,Dachau,875304.0,15-20
