Company,Table,Machine_1,Machine_2,Machine_3
MWS Friedrichshafen GmbH,AKTIVA,9840033,12494,
BE-Aluschmiede GmbH,Aktiva,6307037,7665,
Richter Aluminium GmbH,AKTIVA,4725768,6674,
Aluminiumwerk Unna Aktiengesellschaft,Aktiva,4243,4894,
HMT Höfer Metall Technik GmbH & Co. KG,AKTIVA,9769620,9649,
Rheinfelden Alloys GmbH & Co. KG,AKTIVA,7242843,6016905,
BAGR Berliner Aluminiumwerk GmbH,A K T I V A,10207072,2278008,
Aluminium-Werke Wutöschingen AG & Co. KG,Aktiva,10734692,11592514,
Bikar-Aluminium GmbH,AKTIVA,2661,2408,
FERTINGER TUBES GmbH,Aktiva,1964211,2084292,
Aluminium Oxid Stade GmbH,AKTIVA,59870412,61511716,
COIL GmbH,AKTIVA,14380414,15477,
Hydro Extrusion Offenburg GmbH,Aktiva,6177440,5659,
Hydro Aluminium Gießerei Rackwitz GmbH,Aktiva,3520992,2456544,
