Company,Table,Machine_1,Machine_2,Machine_3
IMSTec GmbH,Aktiva,2952272,11551393,
Hymmen GmbH Maschinen- und Anlagenbau,A K T I V A,581808,95,
Rudnick & Enners,Aktiva,1975618,2137336,
EMDE Industrie-Technik GmbH,Aktiva,3088589,3138167,
ULT AG,Aktiva,101793,97859,
Europress Umwelttechnik GmbH,Die Europress Umwelttechnik GmbH hat im Geschäftsjahr 2021 vor allem durch den Jahresfehlbetrag und ,107804,13234,
Vollert Anlagenbau GmbH,Aktiva,1300177,1358646,
Cremer Thermoprozessanlagen GmbH,Aktiva,200369,238843,
Riensch & Held GmbH & Co. KG,Unknown Table,787729,609589,
Robert Josef Wolf GmbH & Co. KG,AKTIVSEITE,1577642,2041543,
CREAVAC-Creative Vakuumbeschichtung GmbH,Aktiva,1418065,1711346,
Schmidt & Heinzmann GmbH & Co. KG,AKTIVA,1040260,897431,
Energas BHKW GmbH,Aktiva,78290,66630,
agriKomp GmbH,Aktiva,235,617,
Dresdner Kühlanlagenbau GmbH,Aktiva,9907,15096,
Schmack Biogas GmbH,Aktiva,29404,,
FAIST Anlagenbau GmbH,AKTIVA,376749,477905,
NESS Wärmetechnik GmbH,AKTIVA,220704,252332,
Hydro-Elektrik GmbH,Unknown Table,205631,250684,
Comes Maschinen- u. Apparatebau GmbH,Aktiva,896652,1135756,
Binder GmbH,AKTIVSEITE,553478,713923,
Becton Dickinson Rowa Germany GmbH,AKTIVA,2684939,3431,
SenerTec,Unknown Table,1543653,1850499,
Inductoheat Europe GmbH,AKTIVA,1080041,706,
TRANSNORM SYSTEM GmbH,AKTIVA,177703,263452,
KLEIN Anlagenbau AG,AKTIVSEITE,1543620,1728496,
Loibl Förderanlagen GmbH,Aktiva,739132,371004,
TeKo Gesellschaft für Kältetechnik mbH,AKTIVA,853228,782907,
AZO GmbH & Co. KG,Aktiva,1959247,1986759,
Dr. Diestel GmbH,"A. Wirtschaftsbericht I. Grundlagen des Unternehmens Im September 1991 gegründet, ist das Unternehme",105004,118150,
Veolia Water Technologies,Aktiva,5611592,5209997,
Eliquo Stulz GmbH,Aktiva,987162,945393,
AKE technologies GmbH,AKTIVA,184891,144784,
b+m surface systems GmbH,Aktiva,49326,58770,
Sesotec GmbH,AKTIVSEITE,632212,620017,
REICH Thermoprozesstechnik GmbH,Aktiva,108617,119482,
Ambros Schmelzer & Sohn GmbH & Co KG,Aktiva,976475,1235739,
IEM Fördertechnik GmbH,Aktiva,216887,30908,
COMBITHERM,AKTIVA,163939,120,
INVENT Umwelt- und Verfahrenstechnik AG,Aktiva,337624,345351,
Ebner GmbH & Co. KG Anlagen und Apparate,Aktiva,317225,491809,
KW Energie GmbH & Co. KG,Angabe gemäß § 327 Nr. 1 HGB,336543,,
FSM Frankenberger GmbH & Co. KG,Aktiva,20,20,
Rump Strahlanlagen GmbH & Co. KG,Aktiva,402984,272966,
NEUERO Industrietechnik für Förderanlagen,AKTIVA,829429,940156,
Lödige Industries GmbH,Aktiva,141864,193239,
VWH GmbH,Vermögensstruktur Das Gesamtvermögen erhöht sich gegenüber dem Vorjahr von 8.857 TEUR auf 10.370 TEU,583926,485795,
DWA Dialyse-Wasser-Aufbereitungsanlagen,AKTIVA,14098,9919,
MBA Anlagenbau GmbH,AKTIVA,55474,65408,
TRENNSO-TECHNIK,Aktiva,1292468,1540797,
PlanET Biogastechnik GmbH,AKTIVA,33479,25293,
Julius Montz GmbH,Aktiva,201398,249227,
Harald Liebers Behälter-Apparatebau GmbH,Aktiva,1378767,1626978,
OneSubsea GmbH,Aktiva,5620129,6082598,
CeH4 technologies GmbH,Unknown Table,918913,1089086,
Seebach GmbH,Aktiva,939772,950968,
Keil Anlagenbau GmbH & Co. KG,Aktiva,116714,136179,
EDL Anlagenbau Gesellschaft mbH,Aktiva,31750,36306,
IMS Industriemontage,Aktiva,7241,9808,
Fäth GmbH,AKTIVA,1587243,1632001,
2G Energy AG,Aktiva,504676,557050,
Kramer & Best Anlagenbau GmbH,AKTIVA,240983,160,
Bühler GmbH,Aktiva,3092776,4156625,300734
Combé Anlagenbau GmbH,AKTIVA,324583,354,
A+F Automation + Fördertechnik GmbH,Aktiva,739234,285008,
GOHL-KTK GmbH,Aktiva,291240,336251,
Lübbers Anlagen- und Umwelttechnik GmbH,Aktiva,106456,154575,
EBAWE Anlagentechnik GmbH,Aktiva,3041527,3830642,
RIKUTEC Richter,Aktiva,2690202,1856030,
Volkmann GmbH,Aktiva,2060706,2492648,
FHR Anlagenbau GmbH,Aktiva,330655,459800,
Anlagenbau Günther GmbH,Aktiva,116792,338281,
JC Eckardt GmbH,Aktiva,3527,4903,
Watts Industries Deutschland GmbH,AKTIVA,625989,770438,
EFD Induction GmbH,Unknown Table,226536,265404,
Kuhne Anlagenbau GmbH,Aktiva,4219,5588,
BV Anlagenbau GmbH,AKTIVA,77074,364613,
Suma Rührtechnik GmbH,Aktiva,84989,83604,
Hof Sonderanlagenbau GmbH,Aktivseite,2046706,2118592,
SEAR GmbH,Aktiva,7997,9853,
Sell GmbH,Aktiva,240673,229895,
SAR Elektronic GmbH,Aktiva,651691,670165,
IDS-Industrieservice Anlagenbau GmbH,Aktiva,21731,29169,
ViscoTec Pumpen-u. Dosiertechnik GmbH,Aktiva,857830,950,
Westinghouse Electric Germany GmbH,Aktiva,837031,897338,
AAR GmbH Brauer und Wolter,Aktiva,248777,242962,
symex GmbH & Co. KG,Aktiva,988484,1118936,
Züblin Chimney and Refractory GmbH,Aktiva,417296,369,
Schwelm Anlagentechnik GmbH,Aktiva,36494,41745,
ONEJOON GmbH,Aktiva,990315,794916,
WTE Wassertechnik GmbH,AKTIVA,39875,33933,
Schröter Technologie GmbH & Co. KG,Aktiva,126171,138209,
Hubert Eing Kunststoffverwertung GmbH,Aktiva,6244387,6487658,
F.A.T. Förder- und Anlagentechnik GmbH,Aktiva,374088,409787,
Primetals Technologies Germany GmbH,Aktiva,69562,80947,
INFASTAUB GmbH,AKTIVA,26059,35,
Hedemann Technik GmbH,Aktivseite,205527,240130,
Andreas Lupold Hydrotechnik GmbH,Andreas Lupold Hydrotechnik Gesellschaft mit beschränkter Haftung,13463278,,
STF Maschinen- und Anlagenbau GmbH,Aktiva,9510644,7907519,
BÜTTNER,AKTIVA,73892,44710,
Schauenburg,Unknown Table,1,5994,
FUNKE Wärmeaustauscher Apparatebau GmbH,AKTIVA,1122681,1231,
Konrad Pumpe GmbH,Aktiva,1455929,531740,
ELIQUO KGN GmbH & Co. KG,Aktiva,3,3,
CTA Chemie- und Tankanlagenbau,Aktiva,565613,537202,
Carrier Klimatechnik GmbH,Aktiva,5342245,3727823,
MFI GmbH,AKTIVA,212856,183081,
Daxner Germany GmbH,Aktiva,170633,198494,
Ammeraal Beltech GmbH,Aktiva,1113211,1048341,
Biogas Service Tarmstedt GmbH,AKTIVA,70203,,
AP & S International GmbH,Aktiva,1592170,2083877,
PURPLAN GmbH,A K T I V A,267548,97563,
Wilhelm Alte GmbH,Aktivseite,2396083,2173450,
Sempa Systems GmbH,Aktiva,1262443,1428260,
Chriwa Wasseraufbereitungstechnik GmbH,Aktiva,413392,452020,
Mauell GmbH,A K T I V A,213910,255353,
Dieffenbacher Maschinenfabrik GmbH,Aktiva,197912,127134,
Louis Schierholz GmbH,AKTIVA,839561,992848,
WERO-Rohrleitungsbau,Aktiva,687375,768403,
ADITOR GmbH,Aktiva,24647,33616,
wks Technik GmbH,Aktiva,33562,40906,
Heinrich Steuber GmbH + Co.,Aktiva,22514,24244,
BTD Behälter- und Speichertechnik,Aktiva,1574763,1659,
Josef Große Kracht GmbH & Co. KG,Aktiva,14143,14502,
Aqseptence Group GmbH,Aktiva,245655,372841,
Gerd Bär GmbH,Aktiva,2240619,2556121,
Hans Lingl Anlagenbau,AKTIVA,8647,13,
ProTec Polymer Processing GmbH,Aktiva,179214,274227,
Bernd Münstermann GmbH & Co. KG,AKTIVA,971766,1229320,
CFM Schiller GmbH,Aktiva,9429,10618,
Camfil APC GmbH,AKTIVA,289637,287555,
SINGLE Temperiertechnik GmbH,AKTIVSEITE,55697,76767,
SPIE OSMO GmbH,Aktiva,26170,34993,
Zemmler Siebanlagen GmbH,Unknown Table,136354,303178,
