Company,Table,Machine_1,Machine_2,Machine_3
Rollax GmbH & Co. KG,Aktiva,430254,,
Hammerwerk Fridingen GmbH,Aktiva,2224191,2926800,
plastic concept gmbh,Aktiva,3805179,4481788,
Haartz GmbH,AKTIVA,1040273,907111,
Musashi Bad Sobernheim GmbH & Co. KG,Aktiva,21185379,7527930,
BRUSS Sealing Systems GmbH,Aktiva,10074209,12449379,
RUPF ATG Casting GmbH,AKTIVA,1204858,1573,
BIA Kunststoff- und Galvanotechnik,Aktiva,7147935,8644619,
J.H. Ziegler GmbH,Aktiva,9896645,11351147,
Feintool System Parts Obertshausen GmbH,Aktiva,8433274,8994401,
Trompetter Guss GmbH & Co. KG,Aktiva,928974,897944,
Groß Präzisionsdrehteile GmbH,AKTIVA,1443030,1684336,
Akkumulatorenfabrik Moll,AKTIVA,1417953,7913317,
Alcar Leichtmetallräder GmbH,Aktiva,8447184,9338894,
Yanfeng International Automotive,Aktiva,1341811,1610444,
Snop Automotive Cologne GmbH,Aktiva,7599,22799,
FEMEG Feinmechanik + Gerätebau,AKTIVA,1295287,2185379,
G S T GmbH GERMAN SENSOR TECHNOLOGY,Aktiva,208027,220350,
Frauenthal Airtank Elterlein GmbH,AKTIVA,4551610,5046490,
Eppsteiner Apparatebau GmbH Sitz Elz,Aktiva,219486,276234,
Wagner Automotive GmbH,AKTIVA,277639,305956,
Gestamp Griwe Westerburg GmbH,Aktiva,16537388,13608936,
Wethje Carbon Composites GmbH,Aktiva,1397866,1712894,
ESKA Automotive GmbH,AKTIVA,2,9003850,10416886
Böckmann Fahrzeugwerke GmbH,AKTIVA,1835057,2182644,
KW automotive GmbH,Aktiva,2706330,2069780,
Kokinetics GmbH,Aktiva,3733193,4389,
Hanwha Advanced Materials Germany GmbH,AKTIVA,20572,3063061,
L&P Automotive Europe GmbH,AKTIVA,151045,109034,
Walther Flender GmbH,AKTIVSEITE,2925862,2841805,
ELEKTRA GmbH,AKTIVA,3704846,4140903,
Craemer GmbH,AKTIVA,31802336,40167,
Antolin Straubing GmbH,Aktiva,7594442,9136535,
Flex Automotive GmbH,Aktiva,930678,726,
Adval Tech (Germany) GmbH & Co. KG,Aktiva,7724032,9101,
