Company,Table,Machine_1,Machine_2,Machine_3
Wilhelm Becker GmbH & Co. KG,AKTIVA,2814852,3150464,
RMIG GmbH,Aktiva,5042096,5526112,
KODA Stanz- und Biegetechnik GmbH,Unknown Table,2,2683259,3278142
Sturm Blechverarbeitung GmbH,AKTIVA,354580,498070,
Feinwerktechnik hago GmbH,Die internationalen Automobilmärkte konnten sich 2021 trotz anhaltender Lieferengpässe in vielen Mär,20925138,24182289,
Eirenschmalz Maschinenbaumechanik,AKTIVA 31.12.2021,4925779,4796442,
Hoedtke GmbH & Co. KG,Aktiva,3598429,3193708,
Ludwig Michl Apparate- Geräte-,AKTIVA,508869,574484,
de Crignis Blechverarbeitung GmbH,Aktiva,3022344,3421841,
Schulz Fördersysteme GmbH,Aktiva,8428,13608,
Rime GmbH,Aktiva,3287864,3769545,
Hadrian GmbH & Co. Metall- und,Im Übrigen kann die Ertragslage der Gesellschaft durch Gegenüberstellung der folgenden drei Teilerge,1690195,2053112,
W. B. Metallverarbeitung-Service,Aktiva,1,1,
Karl Enghofer GmbH & Co. KG,AKTIVA,4339583,4248270,
Vosseler GmbH,AKTIVA,1035554,1425060,
Geyer Umformtechnik GmbH,AKTIVA,3767475,2526148,
R. Mannhardt GmbH,AKTIVA,1755978,1922759,
Scheideler GmbH & Co KG,AKTIVA,4555007,4351817,
BVS-Blechtechnik GmbH,Aktiva,334859,585191,
EPflex Feinwerktechnik GmbH,Aktiva,4765355,4506865,
Erich Grau GmbH,Aktiva,2309562,2820269,
Hennig GmbH,Aktiva,127697,162920,
Purkart Systemkomponenten GmbH,Aktiva,795417,984127,
Teckentrup GmbH + Co. KG,Aktiva,1144441,930818,
Ziegler GmbH,Aktiva,1725441,2418629,
KUIPERS technologies GmbH,AKTIVSEITE,3103168,998163,
UFT Produktion GmbH,Aktiva,3819916,4430606,
Wieland Eucaro GmbH,Aktiva,1327138,1633,
Hoedtke Kiel GmbH & Co. KG,Aktiva,1808720,1012091,
Hombach Wärmetechnik GmbH,,1191927,1122131,
Ernst Umformtechnik GmbH,Aktiva,9570609,10671362,
Stork GmbH & Co. KG,Aktiva,1417133,973061,
MVK Blech- und Metallverarbeitung,Unknown Table,866411,789544,
WWS Metallformen GmbH,Aktiva,1222458,1846999,
KWL Blechverarbeitungs GmbH,Aktiva,3047251,3408476,
