Company,Table,Machine_1,Machine_2,Machine_3
Hoppe Aktiengesellschaft,"Die für das Jahr 2021 erwarteten Entwicklungen bestätigten sich zwar grundsätzlich, zeigten sich in ",14705,14699,
Oskar Sachs,Aktiva,534047,516790,
Josef Meeth - Fensterfabrik GmbH + Co.KG,AKTIVA,374966,309123,
Merschmann Fenster GmbH & Co. KG,Aktiva,2715873,3117883,
Döpfner Betriebs GmbH & Co. KG,Aktiva,102773,,
Gugelfuss GmbH,AKTIVA,4121553,4275849,
CZIOTEC Industrie- Umform- und,Aktiva,470035,447798,
Bayerwald - Fenster Haustüren GmbH,Aktiva,1142184,1238321,
H. O. Schlüter GmbH,Aktiva,4256366,3896395,
TH. ZINK GmbH Fenster und Türen,Aktiva,117350,256221,
Süd-Fensterwerk GmbH & Co.,Aktiva,693330,843722,
Zimmermann Fenster + Türen GmbH,Aktiva,2243712,2930570,
WERTBAU GmbH,Aktiva,10581381,15265429,
EGE GmbH,Aktiva,498089,514575,
UNILUX GmbH,Aktiva,2044102,777,
Seufert-Niklaus GmbH,AKTIVA,2080527,1173178,
SELO Fensterbau GmbH,Aktiva,904687,1000481,
IDEAL Fensterbau Weinstock GmbH,Aktiva,822054,898766,
Uniplast GmbH Bauteile,AKTIVA,116974,139485,
vitaDOOR GmbH & Co. KG,AKTIVA,4050443,4798826,
Elementebau Höfler GmbH,Aktiva,126236,221449,
Schreinerei & Metallbau Wagner GmbH,AKTIVA,53401,70247,
Moser GmbH Innenausbau/Fensterbau,Aktiva,658157,793807,
wipfler fenster+fassaden gmbh,Unknown Table,384696,428393,
Klaus Pfeil GmbH & Co. KG,Aktivseite,9629,,
Klauke Aluminium-,Aktiva,504639,585045,
Vieler International GmbH + Co. KG,Aktiva,16656,20051,
Otto Blecher GmbH,Aktiva,936601,1171537,
Trefz GmbH,Aktiva,359439,354159,
JTJ Sonneborn Industrie GmbH,Aktiva,26095862,27094019,
FeBa Fensterbau GmbH,AKTIVSEITE,6,6,
Karl Lingel Fensterbau GmbH & Co. KG,Aktiva,1391855,1550099,
neuform-Türenwerk Hans Glock,AKTIVA,2778674,3082728,
MACO HAUTAU Deutschland GmbH,Bilanz,607,682,
Dobler Metallbau GmbH,Aktiva,2133341,1210926,
Stader Glas GmbH & Co.,"Die Nettoumsatzerlöse (nach Skonti und Boni) nahmen um T€ 1.079 oder ebenfalls 11,8 % auf T€ 10.214 ",409363,476796,
Fenster Türen Fassaden Hoffmann GmbH,AKTIVA,8447,12307,
Lemuth GmbH,c) Vermögenslage,715257,815831,
TMP Fenster + Türen GmbH,Aktiva,1452352,1671180,
Dr. Hahn GmbH & Co. KG,Aktiva,4081119,5496787,
Siems fenster + türen GmbH,AKTIVA,4651292,2852421,
HAUTAU GmbH,AKTIVA,1692614,1814543,
Pollmann & Renken GmbH,AKTIVA,92757,98066,
Fenstertechnik brand GmbH,AKTIVA,3562610,4095919,
traba GmbH & Co. KG,AKTIVA,255140,226796,
BE BAUELEMENTE GMBH,Aktivseite,3071975,3620977,
Feldhaus Fenster + Fassaden,Aktiva,290122,350724,
Fensterbau Otto GmbH,Aktiva,238813,151071,
Richert-Gruppe GmbH,Richert-Gruppe GmbH,17059,17059,
MOBA Fenster + Türen GmbH,AKTIVSEITE,147624,1028,
FRESAND GmbH,Aktiva,1426728,1630948,
Iller Plastic Fensterbau GmbH,AKTIVA,950807,19,
Schindler Fenster + Fassaden GmbH,Es besteht folgende 100%ige Beteiligung:,3409133,3289194,
Frerichs Glas GmbH,AKTIVA,518422,568765,
Terhalle Holzbau GmbH,Aktiva,715754,741169,
Schock Fensterwerk GmbH,Aktiva,64032,68420,
Kochs GmbH,Aktiva,1715825,1096668,
GW GERMAN WINDOWS Südlohn GmbH,Aktiva,1647630,2100218,
Deceuninck Germany GmbH,Entwicklung des Anlagevermögens für die Zeit vom 1. Januar bis 31. Dezember 2021,60407805,782295,53648933
Hans Timm Fensterbau GmbH & Co. KG,Aktiva,3349170,2135197,
