Company,Table,Machine_1,Machine_2,Machine_3
Pfeifer Holz Lauterbach GmbH,AKTIVA,32774597,26450172,
Sonae Arauco Beeskow GmbH,Aktiva,48899262,26927060,
Hansa-Holz Wilhelm Krüger GmbH,Aktiva,487474,537,
OPITZ HOLZBAU GmbH & Co. KG,Aktiva,1324381,1170169,
PALETTEN-SERVICE Hamburg AG,Aktiva,4,4,
Ziegler Holzindustrie GmbH & Co. KG,AKTIVA,13651884,13343401,
Holzwerke Pfarrkirchen GmbH,AKTIVA,819529,108,
Westerwälder Holzpellets GmbH,Unknown Table,7646327,6421053,
KGM Massivholz GmbH,AKTIVA,1252558,1568630,
Thede & Witte Holzimport GmbH & Co. KG,Aktiva,9817,14373,
elka-Holzwerke GmbH,Aktiva,4030991,3882256,
HolzLand Becker GmbH,Aktivseite,751958,820581,
Holzwerke Ladenburger GmbH & Co. KG,Aktiva,6991371,7091187,
HCR Holz Centrum Regensburg GmbH,Aktiva,2331912,2970121,
Caspari GmbH & Co. KG,Aktiva,4334897,3684649,
Leistenfabrik Arnold Deppe GmbH & Co. KG,Aktiva,988083,593145,
ante-holz GmbH,Aktiva,12126394,3825347,
Josef Schmelter GmbH Sägewerk,Aktiva,7276544,7536098,
Holzwerke van Roje GmbH & Co. KG,Aktivseite,1839590,1493823,
HOLZ BALK GmbH & Co. KG,Die Struktur des lang- und kurzfristigen Vermögens ist stabil. Das langfristig gebundene Vermögen is,472090,,
Schwaiger Holzindustrie GmbH & Co. KG,AKTIVA,31174632,,
GELO Holzwerke GmbH,AKTIVA,1860279,1275942,
MeisterWerke Schulte GmbH,AKTIVA,19784466,22443608,
Deutsche Holzveredelung Schmeing,Aktiva,976915,1077565,
SWL-Tischlerplatten Betriebs-GmbH,Aktiva,4222521,4417651,
Poppensieker & Derix GmbH & Co. KG,AKTIVSEITE,13797816,15875212,
Holz-Hauff GmbH,Aktiva,643993,782415,
Josef Baust Holzbetrieb GmbH,Aktiva,642283,868410,
Binderholz Burgbernheim GmbH,AKTIVA,23647768,27055963,
Bruno Reimann GmbH & Co. KG,Aktiva,39889,46087,
Dölker Holzwerk GmbH & Co. KG,Aktiva,50390,61529,
Theodor Herbert GmbH & Co. KG,Aktiva,1570048,520989,
Sörnsen Holzleisten GmbH,Aktiva,1450661,1437336,
HBV Holz- und Baustoff-Vertrieb,Aktiva,22254,32773,
Pfeifer Holz GmbH,AKTIVA,29257844,26375398,
Nordhäuser Palettenbau GmbH,Unknown Table,162207,202667,
Holzwerk Gebrüder Schneider GmbH,Aktiva,298439,372602,
W. u. J. Derix GmbH & Co.,AKTIVSEITE,5966375,1959161,
Gebr. Eigelshoven GmbH & Co. KG,Aktiva,3508800,1489934,
Holzwerk Schilling GmbH & Co. KG,AKTIVA,3532782,2856168,
Binderholz Kösching GmbH,AKTIVA,10129735,14925663,
MOCOPINUS GmbH & Co. KG,Aktivseite,2333823,825208,
Holzwerke Weinzierl GmbH,AKTIVA,8568517,8599885,
Adolf Münchinger,Aktiva,116121,163813,
ASTA-Holzwerk GmbH,AKTIVA,15529370,16689050,
Karl Ahmerkamp Vechta GmbH & Co. KG,Aktiva,113793,145516,
Friedrich Klatt GmbH,Aktiva,554032,606062,
Holzkontor Preussen GmbH,Aktiva,2835718,4803688,
Palettenfabrik Bassum GmbH,AKTIVSEITE,941403,1387,
Gebrüder Hosenfeld Sägewerk GmbH,Aktiva,6311101,,
Holzindustrie Templin GmbH,Aktiva,1432881,1783333,
Holz Ruser GmbH & Co KG,Unknown Table,5930624,2985959,
Holz Schiller GmbH,AKTIVA,2823952,3884443,
Bockelmann-Holz GmbH,Aktiva,377971,234698,
Gebhardt Holz-Zentrum GmbH,Aktiva,3548,3550,
GUTEX Holzfaserplattenwerk,AKTIVA,20224811,18811552,
Hermann Keller,Aktiva,44162,53138,
Karl Streit GmbH & Co. KG Holz- und,Aktiva,5346327,6041772,
JAF IMHOLZ GmbH,Aktiva,20402,17343,
Pieper Holz GmbH,Aktiva,3084286,3318835,
Hördener Holzwerk GmbH,Aktiva,3638828,3980276,
Anreu GmbH,AKTIVA,9591,60531,
Ilim Nordic Timber GmbH & Co. KG,Aktiva,17927322,21264,
Bernd Jorkisch GmbH & Co. KG,Unknown Table,3242,5067,
KRUG Holzsystembinder GmbH,Aktivseite,795922,757572,
häussermann GmbH & Co. KG,Aktiva,338025,600089,
HWW GmbH & Co. Holzwerke KG,Aktiva,129592,155274,
Hirsch & Sohn Holzhandel GmbH,"1. Entwicklung von Branche und Gesamtwirtschaft Die Umsatzentwicklung im Holzhandel, soweit dieser w",79918,67222,
Holzwerke Pröbstl GmbH,AKTIVA,5481761,4952139,
MERKLE HOLZ-GmbH,Aktiva,8207252,4928502,
ABALON Hardwood Hessen GmbH,Aktiva,1979165,2476332,
Dauerholz AG,AKTIVA,66762,82110,
HIT Holzindustrie Torgau GmbH & Co. KG,Aktiva,75880816,78698527,
Hüster GmbH,Aktiva,2020185,2423705,
