Company,Table,Machine_1,Machine_2,Machine_3
FISCHER Deutschland GmbH,AKTIVA,1641195,1870,
Stanztechnik und Werkzeugbau,Aktiva,3726829,3623739,
hacker feinmechanik GmbH,Aktiva,987742,825248,
Wichmann GmbH,A K T I V A,40662,51860,
Staiger GmbH & Co. KG,AKTIVA,1216392,1257710,
RK Kutting GmbH,Aktiva,1064531,888633,
W. Gröning GmbH & Co. KG,Aktiva:,8509765,9503127,
Spindelfabrik Suessen GmbH,Aktiva,3565924,4445216,
Bade und Rinscheid,AKTIVA,119488,137728,
Aerotechnik E. Siegwart,Aktiva,2037684,1262727,
Liebherr-Ettlingen GmbH,AKTIVSEITE,486581,455396,
Hans Pfeiffer GmbH,Aktiva,2511135,3032455,
Kößler Technologie GmbH,Aktiva,17889011,20596687,
Jäger GmbH,Aktiva,286558,239919,
Kurotec-KTS Kunststofftechnik Stade GmbH,Aktiva,173387,106938,
Magnetfabrik Bonn GmbH,AKTIVA,2404224,2972013,
FRANK GmbH,Aktiva,596412,518617,
Brüninghaus & Drissner GmbH,Unknown Table,1148681,1368334,
RÖCO GmbH,Aktiva,23779,,
Oehmetic GmbH,Die Entwicklung des Brutto- bzw. Netto-Anlagevermögens ergibt sich aus dem folgenden Anlagengitter:,1443679,1598509,
Sauter Feinmechanik GmbH,Aktiva,101751,89220,
Rempel Stanztechnik GmbH,Aktiva,835385,1044047,
häwa GmbH,Aktiva,3259201,3493430,
Wilhelm Schulz GmbH,Aktiva,2472337,2661083,
Wilhelm Weber GmbH & Co. KG,AKTIVA,2384137,2218940,
Cytec Zylindertechnik GmbH,AKTIVA,833697,955310,
Albert Pielhau GmbH & Co. KG,Aktiva,877962,784773,
EMW filtertechnik GmbH,AKTIVA,217510,103194,
Gantrex GmbH,Aktiva,985,2542,
Stüwe GmbH & Co. KG,Aktiva,2357792,1771717,
Stengel GmbH,Aktiva,10994280,10310707,
Gustav Grimm Edelstahlwerk GmbH & Co. KG,Aktiva,2,1,
Magontec GmbH,Aktiva,37024,57094,
Booster Precision Components,Aktiva,12705757,,
Walter Schneider GmbH,Aktiva,5483602,4372745,
SD GmbH Klaus Hirsch,Aktiva,727810,814492,
CEMO GmbH,AKTIVA,843768,772,
Metawell GmbH,Aktiva,540758,352810,
SZW Prophet GmbH,Aktiva,2312692,2095314,
Bernhard Gotzeina & Co. GmbH,Aktiva,1775429,2180555,
PANA Foamtec GmbH,Aktiva,546106,314495,
Norafin Industries (Germany) GmbH,AKTIVA,1332491,2535225,
GMT-Gummi-Metall-Technik GmbH,Aktiva,725398,548721,
Kurt Allert GmbH + Co. KG,Aktiva,1233628,1298707,
Wiedemann GmbH,Aktiva,1377730,1467272,
Liebherr-Components Deggendorf GmbH,AKTIVA,30259580,30361,
DIRAK Dieter Ramsauer,AKTIVA,2104572,2151804,
eurocylinder systems AG,AKTIVA,3721574,4287792,
Heckler GmbH,,3795957,4263042,
Unifrax GmbH,Aktiva,1200357,1096548,
FOBOHA (Germany) GmbH,AKTIVA,2723454,2393,
NEUMO Armaturenfabrik-Apparatebau-,Aktiva,422706,558,
Miba Industrial Bearings Germany GmbH,Aktiva,925616,1040871,
Gilbarco GmbH,Aktiva,56344,69142,
Nederman MikroPul GmbH,Aktiva,7462,2,
Heinz Dreeskornfeld GmbH & Co. KG,Aktiva,2695335,2832914,
horizont group gmbh,AKTIVA,3547072,1344,
VINCENZ WIEDERHOLT GmbH,Aktiva,2,4485964,5779118
Odenwälder Kunststoffwerke,AKTIVA,1039696,1171007,
ALBONAIR GmbH,A K T I V A,687465,798948,
MPT Präzisionsteile GmbH Mittweida,AKTIVA,3530372,2300469,
HGGS LaserCUT GmbH & Co. KG,Aktiva,1012829,1507,
NORRES Schlauchtechnik GmbH,Aktiva,2829236,2382706,
ST Stanztechnik GmbH,Aktiva,5769961,6670850,
Uhlig Wel-Cor GmbH,Aktiva,1650681,,
WESTFALIA Metal Hoses GmbH,A K T I V A,2989041,3543064,
Glüpker Blechtechnologie GmbH,Aktiva,5983850,6266494,
Baisch GmbH,Aktiva,1124816,1247574,
MAAS Profilzentrum GmbH,AKTIVA,195075,232268,
Cellofoam GmbH & Co. KG,Aktiva,1918365,2343971,
H. Gewing GmbH,AKTIVA,2846464,3034135,
M.D.S. Meyer GmbH,Aktiva,1027768,1282964,
Sauter GmbH,Aktiva,10399515,13590134,
Sill Optics GmbH & Co. KG,AKTIVA,4122647,4113761,
Hubert Stüken GmbH & Co. KG,Aktiva,18799005,,
Afflerbach Bödenpresserei GmbH & Co KG,"Zusätzliche Auswirkungen sind durch den Krieg in der Urkraine seit dem 24. Februar 2022 eingetreten,",5992501,6666141,
AWS Fertigungstechnik GmbH,Aktiva,2165895,1746636,
Blech- und Technologiezentrum Linda GmbH,Entwicklung des Anlagevermögens im Geschäftsjahr 30. April 2021 bis 29. April 2022,5724258,1935,5726193
Müller Präzision GmbH,Aktiva,11959500,11209416,
Kurt Zecher GmbH,AKTIVA,2182015,2441214,
Feindrahtwerk Adolf Edelhoff,AKTIVA,2169771,2214422,
Wunderlich GmbH,AKTIVA,292388,289268,
Harald Böhl GmbH,Unknown Table,2454344,2856898,
Schondelmaier GmbH Presswerk,AKTIVA,12723551,13585777,
Tillmann Profil GmbH,Unknown Table,4266172,4731904,
Porex Technologies GmbH,AKTIVA,3967577,1820,
Ludwig Boschert Maschinen-,Aktiva,668395,795803,
Seilflechter Tauwerk GmbH,AKTIVA,1143,152,
Aerocom GmbH & Co,Aktiva,517987,586423,
ISEO Deutschland GmbH,AKTIVSEITE,1813892,1823725,
AHP Merkle GmbH,AKTIVA,91058,103,
Wagner Magnete GmbH & Co. KG,AKTIVA,129914,115,
Loll Feinmechanik GmbH,AKTIVA,1979002,2290782,2290782
Hutzel Seidewitztal GmbH,AKTIVA,5679364,4601060,
C. Otto Gehrckens GmbH & Co. KG,AKTIVA,1022179,948,
Georg Martin GmbH,Unknown Table,1242487,1381833,
Möller-Industrietechnik GmbH,Aktiva,704352,768831,
Spindelfabrik Neudorf GmbH,Aktiva,2237812,2546239,
Presswerk Struthütten GmbH,Aktiva,4533978,5337,
DSG-Canusa GmbH,Aktiva,6103901,5666318,
F & S Feuerfestbau GmbH & Co. KG,Unknown Table,126738,134693,
ESCHA GmbH & Co. KG,AKTIVA,7384227,7864577,
AMS Apparate-Maschinen-Systeme,Aktiva,1021662,1222233,
MJM-Metallverarbeitung Mangner GmbH,Aktiva,9999586,11299579,
GC-heat Gebhard GmbH & Co. KG,Aktiva,879409,694909,
AL-KO DÄMPFUNGSTECHNIK GMBH,Aktiva,758,275,
GRONEMEYER & BANCK GmbH & Co. KG,AKTIVA,878759,882906,
Edwin Deutgen Kunststofftechnik GmbH,AKTIVA,4411525,4730,
ALU-LINE,Aktiva,2361245,2330014,
BRIDON INTERNATIONAL GMBH,Aktiva,2569731,3055401,
LST - Laserschneidtechnik GmbH,Aktiva,2566496,1689686,
gh AUER GUSS GmbH,Aktivseite,1098797,1265264,
Hutzel DrehTech GmbH,AKTIVA,5679364,4601060,
PCM.de GmbH,Aktiva,6840781,3318755,
H & H Gesellschaft für Engineering,A K T I V A,605865,657,
ACE Stoßdämpfer GmbH,Aktiva,15815,18106,
RT-Lasertechnik GmbH,Aktiva,491101,592577,
Rampf Formen GmbH,Aktiva,1036470,781,
POLYWEST Kunststofftechnik,AKTIVA,374091,590746,
wafi Walter Fischer GmbH & Co. KG,AKTIVA,559568,635460,
Silcos GmbH,Aktiva,1534282,1547559,
HFB Wälzlager - Gehäusetechnik GmbH,Aktiva,235134,340584,
ACE Advanced Composite Engineering GmbH,AKTIVA,1776069,1419447,
DLB Oberviechtach GmbH & Co. KG,AKTIVA,2692504,2933,
Kremo Werke Hermanns GmbH & Co. KG,Aktiva,1056144,1200872,
Schukat electronic Vertriebs GmbH,Aktiva,5281874,5513508,
LMS Landshuter Metall- und,Aktiva,1430127,1691792,
Selectrona GmbH,Aktiva,2386024,2518901,
bedea Berkenhoff & Drebes GmbH,Aktiva,2886900,2692062,
Fitesa Germany GmbH,Aktiva,36373593,35371406,
IBG HydroTech GmbH,AKTIVA,420743,676018,
Sekisui Alveo BS GmbH,Aktiva,4904771,4852307,
RHR Profiltechnik GmbH,Aktiva,1374028,779016,
Proto Labs Germany GmbH,Aktiva,10099377,9977262,
Solmax Geosynthetics GmbH,AKTIVA,3926708,4927,
Ing. Lang & Menke GmbH,"Hemer, den 3. Juni 2022",3144123,3613119,
SMW Druckgießtechnik GmbH,Aktiva,1505910,1970329,
Flühs Drehtechnik GmbH,Aktiva,565950,,
Fidlock GmbH,Aktiva,1069211,848264,
Deutsche Giessdraht GmbH,AKTIVA,2686069,2864234,
Sixt GmbH Werkzeugbau und Stanzerei,AKTIVA,2006098,1470187,
Grob GmbH,Aktiva,1021995,1256311,
BINDER-KLETTEN-HAFTVERSCHLUSS-SYSTEME GMBH,AKTIVA,440320,658,
Kurt Grützmann Feinmechanik GmbH,AKTIVA,199770,219065,
