Company,Table,Machine_1,Machine_2,Machine_3
KABO-PLASTIC GmbH,Aktiva,1052608,1062866,
Bada AG,Aktiva,1735206,2219079,
JACO Dr. Jaeniche GmbH & Co. KG,Aktiva,2109662,2210,
Kremer - Kautschuk - Kunststoff,Aktivseite,368667,199823,
Wischemann Kunststoff GmbH,Aktiva,3294857,3048261,
FORMTECHNIK Dr. Hasel GmbH,Aktiva,1852987,1465586,
F&W Frey & Winkler GmbH,Aktiva,4909642,4978,
FRÖTEK-Kunststofftechnik GmbH,AKTIVA,23770,,
Camso Deutschland GmbH,Aktiva,677408,713962,
W. Köpp GmbH & Co. KG,Aktiva,1089099,1293139,
Jelenia Plast GmbH,Aktiva,1842,2059,
MITRAS Materials GmbH,Aktiva,8248910,7107670,
Tip Top Industrievulkanisation,Aktiva,343041,393320,
bomo trendline Technik GmbH,Aktiva,3259864,2758539,
PEZET Aktiengesellschaft,AKTIVA,3054287,1366136,
Polytron Kunststofftechnik GmbH & Co. KG,Aktiva,968140,1188354,
ZEIBINA Kunststoff-Technik GmbH,Aktiva,475908,648321,
KKT Kaller Kunststoff Technik GmbH,Aktiva,1006721,1370419,
Gubesch Engineering & Production GmbH,Aktiva,727444,848121,
RF Plast GmbH,Unknown Table,2390480,824293,
Kunststofftechnik Backhaus GmbH,Aktiva,666130,790694,
Weißer + Grießhaber GmbH,Aktiva,11866507,10343418,
Schoplast Plastic GmbH,Aktiva,3694631,3949227,
HKS GmbH industrieller Hersteller von,AKTIVA,242401,112980,
SCHAUENBURG Ruhrkunststoff GmbH,Aktiva,528009,478963,
BERGI-PLAST GmbH,Aktiva,1978221,1953778,
Lehmann & Frommelt Thermoformung GmbH,Aktiva,1179081,1392374,
Kunststoff Christel GmbH & Co. KG,AKTIVSEITE,1109583,1288398,
Heinz Plastics Böhm GmbH,AKTIVA,1512816,1335,
Bänninger Kunststoff-Produkte GmbH,Aktiva,695450,319228,
Reiss Kunststofftechnik GmbH,AKTIVA,1961499,1819935,
Weiß Kunststoffverarbeitung,Aktiva,589146,851062,
Eckerle Holding GmbH,Aktiva,26922,40030,
Formex Plastik GmbH,Aktiva,1762717,1436389,
Erich Rothe GmbH & Co. KG,Aktiva,1502818,1384490,
INOTECH Kunststofftechnik GmbH,AKTIVA,1473138,946404,
CT Formpolster GmbH,AKTIVA,655814,757013,
Egon Nesper GmbH & Co. KG,Aktiva,5542047,5671420,
Gramß GmbH Kunststoffverarbeitung,Die entsprechenden Zahlen der werden in der folgenden Tabelle dargestellt:,3344203,4721802,
KUNSTSTOFF-FRÖHLICH GMBH,Aktiva,1102263,1296933,
Poly Plast GmbH,Aktiva,2569169,2567873,
Woco Kronacher Kunststoffwerk GmbH,Aktiva,6859342,5499,
ABC Tautenhahn GmbH,Aktiva,731194,434834,
Fibox GmbH,Aktiva,274606,298526,
SLG Kunststoff GmbH,Bei den Investitionen handelt es sich im Wesentlichen um die Anschaffung von Maschinen und Anlagen f,4565910,1833917,
DS Dichtungstechnik GmbH,Aktiva,388810,569085,
Polynt Composites Germany GmbH,Aktiva,4819210,4613260,
Sauer Product GmbH,Aktiva,4585749,4717064,
VIAOPTIC GmbH,AKTIVSEITE,3845846,2395141,
NOVAPAX Kunststofftechnik Steiner,Aktiva,3586931,4096,
Reinhard Bretthauer GmbH,Aktiva,805893,799301,
KVR Kunststoff- und Verfahrenstechnik,AKTIVA,1148071,819479,
Hahn Kunststoffe GmbH,Aktiva,2631864,2033108,
Indorama Ventures Polymers Germany GmbH,Aktiva,3537965,3468479,
Riel Kunststoffverarbeitung,Aktiva,1263227,1560856,
TechnoCompound GmbH,AKTIVA,2544575,2958,
Aldoplastic GmbH & Co. KG,Aktiva,803491,642796,
Polyblend GmbH,AKTIVA,890246,1289965,
Gebrüder Schmidt KG,Aktiva,628567,135884,
Walter Potthoff GmbH,Aktiva,1544669,1352883,
SEALABLE Solutions GmbH,Aktiva,2869789,2929550,
Gentner GmbH,Aktiva,1007503,979307,
IPT - Pergande Gesellschaft,AKTIVA,4496216,6375,
Funke Kunststoffe GmbH,AKTIVA,5177642,3955765,
Dietrich Lüttgens GmbH & Co. KG,Aktiva,243534,296090,
Gebr. Schwarz GmbH,AKTIVA,160101,155709,
Burkhardt Kunststoffverarbeitung GmbH,Aktiva,2496476,2935184,
Kunststofftechnik Rodenberg GmbH,Aktiva,1623831,1734729,
Polycomb GmbH,Aktiva,3419859,3273041,
Ninkaplast GmbH,Unknown Table,730289,857659,
Kunststofftechnik Krug GmbH,Aktiva,3819177,1609184,
KB Roller Tech Kopierwalzen GmbH,AKTIVA,1039329,938247,
Spritz-Plast GmbH,Unknown Table,3516382,3947751,
Polyfoam KAUTSCHUK GmbH,Aktiva,1206338,1026496,
Zittauer Kunststoff GmbH,Aktiva,1560457,1503453,
Menke-Kunststoffe GmbH & Co. KG,Aktiva,1324840,1340008,
Lätzsch - GmbH Kunststoffverarbeitung,Aktiva,2744881,,
Thermodyne GmbH,AKTIVA,1138860,1281584,
satek gmbh,AKTIVA,506122,624519,
Scobalitwerk Wagner GmbH,Aktiva,13131,5988,
Bernd Meffle Kunststoffverarbeitung GmbH,Aktiva,1741025,1607581,
Hörl Kunststofftechnik GmbH & Co. KG,Aktiva,1002109,1204071,
Häfner & Krullmann GmbH,Aktiva,2775674,3383713,
Vola Plast GmbH & Co. KG,Folgende Posten sind nach § 327 Nr. 1 HGB bei verkürzter Bilanz gesondert anzugeben:,2020322,2210,
C.F. Maier Polymertechnik GmbH & Co KG,Aktiva,534007,640290,
Mouldtec Kunststoff - GmbH,Aktiva,2549151,2792054,
AKRO-PLASTIC GmbH,AKTIVA,9006015,7666,
ISO-Tech Kunststoff GmbH,Aktiva,1894851,2206365,
Findeis GmbH,Aktiva,218297,242,
STAR Piping Systems GmbH,AKTIVA,2415043,2105991,
Plastro Mayer GmbH,Aktiva,630930,640659,
microart GmbH & Co. KG,Aktiva,7099334,8665456,
GETA Gesellschaft,Aktiva,649204,650373,
PB-Kunststoffverarbeitung,Aktiva,654906,481075,
Wilhelm Herm. Müller GmbH & Co. KG,Aktiva,728715,484321,
PVS-Kunststofftechnik GmbH + Co. KG,Aktiva,1011966,889,
Mecalit GmbH Kunststoffverarbeitung,Aktiva,4873039,3346481,
Tip Top Vulkanisiertechnik GmbH,Aktiva,230426,189390,
Stella Kunststofftechnik GmbH,Aktiva,4862601,3289117,
Südbadische Gummiwerke GmbH,Unknown Table,367828,442600,
G. Mertgens & Co. GmbH,Aktiva,119376,4801,
SOLE HOERGERTSHAUSEN GmbH,Aktivseite,4850029,3153028,
ROMIRA Gesellschaft für Vertrieb &,Aktiva,1698097,1520600,
SLS Kunststoffverarbeitungs-,Aktiva,730358,452069,
Würfel Kunststofftechnik GmbH,Aktiva,1705908,423352,
Röchling Medical Waldachtal AG,Aktiva,3337281,3921,
VACU-FORM Wischemann GmbH & Co KG,Aktiva,1714584,1844597,
Terbrack Kunststoff GmbH & Co. KG,AKTIVA,140403,169928,
Hilti Kunststofftechnik GmbH,AKTIVA,14150078,12530119,
Küper GmbH & Co. KG,Auf der Aktivseite sind folgende Posten enthalten:,638431,798911,
ACLA-WERKE GMBH,Aktiva,2721134,2870926,
Isowa GmbH Isolier- und Abdichtprodukte,AKTIVA,1747760,1981453,
Friedrichs & Rath GmbH,,1719648,,
ET Elastomer Technik GmbH,Die Investitionen verteilen sich wie folgt:,103,,
Gerodur MPM,Aktiva,12057596,11504504,
ttp Papenburg GmbH,Passiva,870222,951412,
Cetto Kunststoffverarbeitung GmbH,Aktiva,1406106,1185209,
Repac Montagetechnik GmbH & Co. KG,Aktiva,433711,506279,
HEMA Maschinen- und Apparateschutz GmbH,Aktiva,187501,299696,
Werner Schmid GmbH,Aktiva,553418,656919,
Amper-Plastik R. Dittrich GmbH & Co. KG,AKTIVA,730139,875304,
INNO TAPE GmbH,Aktiva,321753,350226,
Jacob-Formschaumtechnik GmbH,AKTIVA,3395233,1903713,
Otto Klumpp GmbH,AKTIVA,116703,213562,
Hartmann Kunststofftechnik GmbH & Co. KG,V. Gesonderte Angaben gem. § 327 Abs. 1 Nr. 1 HGB,969523,826410,
Deutsche Technoplast GmbH,Aktiva,22021,52939,
Metak GmbH & Co. KG,A K T I V A,413119,366619,
Wefapress Beck + Co. GmbH,Aktiva,1310911,2667157,
Wilkes GmbH,Aktiva,226681,215646,
GEMA - Technik GmbH,Aktiva,111671,148639,
Joma-Polytec GmbH,Aktiva,2984337,3071760,
PROTEC THE CAP COMPANY GmbH & Co. KG,AKTIVA,547590,338,
M + S Silicon GmbH & Co. KG,Unknown Table,873505,993749,
Murrplastik Systemtechnik GmbH,AKTIVA,3563778,4522931,
Innovatec Microfibre Technology,Aktiva,8315775,9393004,
Universal Polythex - Kunststoffe GmbH,Aktiva,398585,665122,
Burwinkel Kunststoffwerk GmbH,AKTIVA,1619665,1194185,
HaTeFo GmbH,(2) Sachanlagen,1880,,
Mitras Composites Systems GmbH,Aktiva,1344494,1754776,
REKU Thermoforming Reckermann GmbH,AKTIVA,1322363,1850056,
AGOFORM GmbH,Aktiva,605465,553516,
