Company,Table,Machine_1,Machine_2,Machine_3
LISA Laser Products GmbH,AKTIVA,43404,44747,
Rudolf Storz GmbH,Aktiva,1666,2166,
Sysmex Partec GmbH,Aktiva,134017,157219,
Eberle GmbH & Co. KG,Aktiva,2547073,812,
Hager & Meisinger,Die Anlagepositionen zeigen folgende Entwicklung:,2791923,2720546,
Hellmut Ruck GmbH,Aktiva,164718,178285,
Microfluidic ChipShop GmbH,Aktiva,3395,4348,
RUDOLF Medical GmbH + Co. KG,Aktiva,203893,233621,
Happersberger Otopront GmbH,Aktiva,7281,8981,
Brainlab AG,AKTIVA,1735809,1729265,
Weber Ultrasonics AG,Aktiva,539236,535648,
Cantel (Germany) GmbH,AKTIVA,243367,194581,
ALTATEC GmbH,2. Sonstige finanzielle Verpflichtungen,60,57,1
CeMed GmbH Vertrieb und Konfektionierung,Aktiva,249666,271842,
OMNILAB-LABORZENTRUM GmbH & Co. KG,Aktivseite,1,1,
Merz Dental GmbH,Aktiva,2061456,2078435,
medi-G GmbH,Aktiva,3773309,3388451,
JOTEC GmbH,Aktiva,3572194,3327,
POLYTECH Health & Aesthetics GmbH,Aktiva,2076431,2231000,
SWS-Medicare GmbH,Unknown Table,1253221,437016,
BRUKER AXS GmbH,Die Leistungsindikatoren haben sich gegenüber dem Vorjahr wie folgt entwickelt:,5060987,5811,
KS SYSTEC Dr. Schmidbauer GmbH & Co. KG,AKTIVA,198623,149,
Phenox GmbH,Aktiva,222292,173609,
Sivantos GmbH,Aktiva,6,9,
ITD GmbH,Unknown Table,92201,116649,
Bruker BioSpin MRI GmbH,Aktiva,112080,107,
Heidelberg Engineering GmbH,A K T I V A,923547,888333,
ABIOMED Europe GmbH,Aktiva,16733094,17451346,
Berner International GmbH,Aktiva,473129,502240,
IfM Ingenieurbüro,AKTIVA,12050,13726,
ENDO-FLEX GmbH,Aktiva,45933,54,
Novo Klinik-Service GmbH,AKTIVA,91255,106464,
Haux-Life-Support GmbH,AKTIVA,588645,679244,
DiaSys Diagnostic Systems GmbH,Aktiva,19608,32678,
Möller Medical GmbH,Aktiva,3025505,2451349,
aks Aktuelle Krankenpflege,Aktiva,22504,30018,
IMS Röntgensysteme GmbH,Aktiva,46045,52409,
W.O.M. World of Medicine GmbH,Aktiva,4851720,4488810,
Oticon GmbH,AKTIVA,110115,127,
Aesku.Diagnostics GmbH & Co. KG,Aktiva,28312,47106,
Tekno-Medical Optik-Chirurgie GmbH,Aktiva,2009,2166,
Physiotherm GmbH Deutschland,Aktiva,372177,425696,
Honeywell Healthcare Solutions GmbH,AKTIVA,158847,165715,
Hoffrichter GmbH,Unknown Table,7365,3935,
KNAUER Wissenschaftliche Geräte GmbH,Aktiva,1285223,1501673,
EKF-diagnostic GmbH,Aktiva,723892,764150,
BOSCH + SOHN GmbH u. Co. KG,Aktiva,5386,5930,
Fuhrmann GmbH,AKTIVA,17004,20,
Bort GmbH,Aktiva,5133065,5778902,
Dr. Ausbüttel & Co. GmbH,Aktiva,68653,28354,
MT.DERM GmbH,AKTIVA,2013806,5,2721382
ACL GmbH,AKTIVA,1058545,1257180,
IONTO Health & Beauty GmbH,Aktiva,93606,136132,
LRE Medical GmbH,AKTIVA,2297473,654432,
MSP Schmeiser GmbH,AKTIVA,2336,2716,
BUSCH & CO. GmbH & Co. KG,AKTIVA,436635,832940,
WaveLight GmbH,AKTIVA,1641821,1136,
DiaSorin Deutschland GmbH,Aktiva,975394,983659,
ATMOS MedizinTechnik GmbH & Co. KG,Aktiva,504621,565,
Bruker Daltonik GmbH,Aktiva,11493083,,
FSSB Chirurgische Nadeln GmbH,Aktiva,237619,234899,
inheco,AKTIVA,500047,395798,
DT&SHOP GmbH,AKTIVA,386834,468640,
Dornier MedTech GmbH,AKTIVA,500,186,
AAT Alber Antriebstechnik GmbH,Aktiva,287463,382562,
Scheu-Dental GmbH,Aktiva,1287005,891099,
Dr. Mach GmbH & Co. KG,Aktiva,420839,593047,
ANALYTICON Biotechnologies GmbH,Aktiva,55558,62559,
Gerhard Menzel GmbH,Aktiva,2013768,,
FEG Textiltechnik Forschungs-,AKTIVA,362042,432685,
Alpha Plan GmbH,AKTIVA,169575,160429,
Tutogen Medical GmbH,Stefan Puskeppelies,69715,86,
Dieter Marquardt Medizintechnik GmbH,"Zweigniederlassungen werden von der Gesellschaft nicht unterhalten. Spaichingen, den 28. Oktober 202",1137576,1520714,
Alber GmbH,Aktiva,287463,382562,
Mathys Orthopädie GmbH,AKTIVA,4013225,4203738,
ProCon Medizintechnik GmbH,Unknown Table,518817,667049,
implantcast GmbH,AKTIVA,1113969,1173680,
Renfert GmbH,Aktiva,1774885,1632461,
Synergy Health Radeberg GmbH,Aktiva,8126977,8011713,
B.R.A.H.M.S GmbH,AKTIVA,417430,488046,
Armbruster GmbH,Aktiva,7314,10325,
Sengewald Klinikprodukte GmbH,Aktiva,49687,65338,
Mediq Deutschland GmbH,Aktiva,439738,537697,
Fior & Gentz GmbH,Aktiva,24,80,
Nipro PharmaPackaging Germany GmbH,Aktiva,61719894,64493627,
PerkinElmer Cellular Technologies,AKTIVA,1315511,1383465,
medentis medical GmbH,Aktiva,230920,305538,
Medisana AG,Aktiva,129880,50457,
Ivoclar Vivadent GmbH,Aktiva,42,,
wissner-bosserhoff GmbH,AKTIVSEITE,197832,228336,
PARI GmbH,Folgende Abschreibungssätze und -methoden werden angewandt:,6,,
Philipp Kirsch GmbH,Aktiva,1708342,2050302,
SERAG-WIESSNER GmbH & Co. KG,Unknown Table,8270258,8204092,
FUJIFILM medwork GmbH,Aktiva,3364495,2882842,
MAVIG GmbH,AKTIVA,319730,439206,
SRL Dental GmbH,AKTIVA,1052758,1220108,
SHERA Werkstoff-Technologie,Aktiva,807604,928421,
Medi-Globe GmbH,Aktiva,27723,31,
FRITSCH GmbH,Aktiva,1244073,1383366,
nal von minden GmbH,Aktiva,123652,8,
WALDEMAR LINK GmbH & Co. KG,AKTIVA,8608383,7680492,
XION GmbH,AKTIVA,145531,197388,
MATACHANA Germany GmbH,Aktiva,3,1,
Medtron Aktiengesellschaft,Aktiva,224924,288549,
Cortronik GmbH,AKTIVA,7734226,8967,
HITADO GmbH,Aktiva,618098,655290,
FotoFinder Systems GmbH,AKTIVA,41267,44527,
Novanta Europe GmbH,AKTIVA,873507,1380207,
RoweMed AG - Medical 4 Life,AKTIVA,1110176,1006,
Mikrogen GmbH,AKTIVA,886038,628310,
Andreas Fahl,AKTIVA,53904,59535,
SycoTec GmbH & Co KG,Aktiva,592655,604949,
HEBUmedical GmbH,AKTIVA,1751196,2186468,
Nihon Kohden Europe GmbH,Aktiva,48484,33410,
NRI Medizintechnik GmbH,AKTIVA,966593,664114,
inomed Medizintechnik GmbH,"Die inomed Medizintechnik GmbH entwickelt, produziert und vertreibt Geräte und Systeme für die intra",48658,53142,
Injecta GmbH,Aktiva,3542470,2987431,
DETAX GmbH,Aktiva,978453,1061196,
BAG Health Care GmbH,Aktiva,1022614,1031,
BMG Labtech GmbH,Aktiva,75896,84694,
rehaform GmbH & Co. KG,Aktiva,574683,626761,
Getinge Deutschland GmbH,Aktiva,8459495,8282406,
Dental Direkt GmbH,Unknown Table,1216066,1107668,
Aero Pump GmbH,Aktiva,10270245,5506,
Bernhard Förster GmbH,Aktiva,5041574,5342664,
ERBE Elektromedizin GmbH,Aktiva,54845,71073,
Life Systems Medizintechnik-Service GmbH,Aktiva,1835591,1294037,
GPE Systeme GmbH,Aktiva,354337,444,
Proxomed Medizintechnik GmbH,Aktiva,2,2,
Gharieni Group GmbH,Aktiva,1,1,
Mold-Masters Europa GmbH,Aktiva,1207959,1477,
Sapio Life GmbH & Co. KG,AKTIVA,4716792,3978,
Sunrise Medical GmbH,Aktiva,553252,632144,
Stryker Leibinger GmbH & Co. KG,AKTIVA,21600437,23783,
GS Elektromedizinische,Aktiva,482689,315466,
VascoMed GmbH,AKTIVA,1475909,1646,
pfm medical ag,AKTIVA,121694,145839,
Bavaria Medizin Technologie GmbH,AKTIVA,1571097,1595337,
Medos Medizintechnik AG,Aktiva,807483,404413,
Cytiva Europe GmbH,Aktiva,5894,10697,
REGUMED Regulative Medizintechnik GmbH,Aktiva,28731,22045,
RESORBA Medical GmbH,Aktiva,627617,762,
Erkodent Erich Kopp GmbH,Unknown Table,1950318,2307944,
OSARTIS GmbH,Aktiva,665714,647263,
Tecan Deutschland GmbH,Aktiva,256171,269135,
TZMO Deutschland GmbH,AKTIVA,65049,69460,
Dreve Otoplastik GmbH,AKTIVA,315143,376018,
Hittech PRONTOR GmbH,AKTIVSEITE,1163458,535438,
Berlin Heart GmbH,Aktiva,4090496,3896131,
Manfred Sauer GmbH,Aktiva,8199584,8182150,
Eckert & Ziegler Bebig GmbH,AKTIVA,1081859,1167986,
SLK Vertriebsgesellschaft mbH,AKTIVA,23103,28989,
AMPri Handelsgesellschaft mbH,Aktiva,204271,212032,
Trusetal Verbandstoffwerk GmbH,Aktiva,12957,13134,
Pulsion Medical Systems SE,AKTIVA,1505174,1750790,
elm-plastic GmbH,Aktiva,2537104,2673139,
Luttermann GmbH,Aktiva,8421,10515,
AMOENA Medizin-Orthopädie-Technik GmbH,Aktiva,1262190,1190374,
Andreas Hettich GmbH & Co. KG,Aktivseite,856685,638329,
MEYRA GmbH,Aktiva,14959,18005,
WEINMANN Emergency Medical Technology,AKTIVA,3052,4,
m-u-t GmbH,AKTIVA,438,1101,
Belimed GmbH,Aktiva,273264,1034,
BOWA-electronic GmbH & Co. KG,Aktiva,1213309,1174,
Joline GmbH & Co. KG,AKTIVA,1042407,935666,
Portegra GmbH,AKTIVA,1583,2091,
Geuder Aktiengesellschaft,AKTIVA,204917,225,
OPED GmbH,AKTIVA,928600,900325,
Kettenbach GmbH & Co. KG,Das Restobligo aus den Miet- und Leasingverträgen beträgt zum 31. Dezember 2021 TEUR 2.211.,238376,328203,
Thuasne Deutschland GmbH,AKTIVA,479235,605364,
Polytech Domilens GmbH,Aktiva,1,1,
Greggersen Gasetechnik GmbH,Aktiva,538264,346205,
Haselmeier GmbH,Aktiva,253439,306412,
Medizintechnik Rostock GmbH,Aktiva,13938,55643,
Pall GmbH,Aktiva,585865,459,
Dietz GmbH,Aktiva,27855,16070,
Elementar Analysensysteme GmbH,Aktiva,98641,117449,
Bio-Rad Medical Diagnostics GmbH,Aktiva,602317,749060,
GTI Medicare GmbH,Aktiva,7539,9703,
MAICO Diagnostics GmbH,AKTIVA,178707,260,
PHYSIOMED ELEKTROMEDIZIN AG,Aktiva,33081,46751,
Edwards Lifesciences Services GmbH,Aktiva,1375964,1411693,
Catgut GmbH,Aktiva,894921,828732,
Julius Zorn GmbH,Aktiva,8849777,8958625,
Bricon Technology GmbH,Aktiva,3236478,3202387,
Hecht Contactlinsen GmbH,Aktiva,189329,281107,
Memmert GmbH + Co. KG,AKTIVA,1767319,2342161,
Werfen GmbH,AKTIVA,10213051,9596462,
egger Otoplastik + Labortechnik GmbH,Aktiva,22420,36196,
DW Lingual Systems GmbH,Aktiva,510591,534582,
SPRINGER AKTIV AG,Aktiva,402984,334496,
HERCO Wassertechnik GmbH,A K T I V A,44638,44509,
NVT GmbH,Aktiva,341630,352807,
Stryker Trauma GmbH,AKTIVA,24016800,17801311,
IBA Dosimetry GmbH,Aktiva,1529952,1367491,
Agfa-Gevaert Graphic Systems GmbH,Aktiva,12783134,14671532,
bredent GmbH & Co. KG,AKTIVA,851310,831,
Haag-Streit Surgical GmbH & Co. KG,Aktiva,117961,165678,
B. Braun Vorratsgesellschaft Nr. 1 GmbH,Unknown Table,80703,,
DOT GmbH,AKTIVA,6436349,6200932,
Christoph Miethke GmbH & Co KG,Aktiva,2219647,2592245,
Königsee Implantate GmbH,AKTIVA,1661461,2013590,
HMT Medizintechnik GmbH,Aktiva,6,6,
NovaTec Immundiagnostica GmbH,Aktiva,1534,2621,
Jahn GmbH,Aktiva,397421,408098,
NTI-Kahla GmbH,Aktiva,1030505,626408,
sfm medical devices GmbH,AKTIVA,7569980,6182399,
Tcoag Deutschland GmbH,Aktiva,245713,315,
GN Hearing GmbH,Aktiva,5195,13253,
NOBAMED Paul Danz AG,AKTIVA,752616,885,
MaiMed GmbH,AKTIVA,121288,128286,
Köttermann GmbH,Aktiva,20932,31677,
Coltène/Whaledent GmbH + Co. KG,AKTIVA,826566,900,
IREMA-FILTER GmbH,Unknown Table,1385087,1328046,
Nypro Healthcare GmbH,Aktiva,6228212,7164026,
Nikkiso Europe GmbH,Aktiva,65930,56,
Günter Bissinger Medizintechnik GmbH,Aktiva,1313317,1489561,
Saegeling Medizintechnik Service-,Aktiva,50247,44202,
em-tec GmbH,Aktiva,598403,551106,
Critical care Gesellschaft für home care,AKTIVA,169741,202,
Zimmer MedizinSysteme GmbH,Aktiva,23,131,
Pharmpur GmbH,AKTIVA,1600913,1132963,
Drive Medical GmbH & Co KG,Aktiva,22585,25625,
S & C Polymer Silicon- und,AKTIVA,1965780,1874497,
Occlutech GmbH,Der Umsatz aus den Produkten stellt den wesentlichen finanziellen Leistungsindikator dar. Dieser set,1,1155693,1133261
DÜRR DENTAL SE,Aktiva,1190,696,
Vermes Microdispensing GmbH,Aktiva,1100262,837471,
VDW GmbH,Aktiva,3635960,4395325,
W. Söhngen GmbH,Aktiva,87494,82242,
Stryker GmbH & Co. KG,Aktiva,274807,81,
Berchtold GmbH & Co. KG,Aktiva,2549532,2176,
VBM Medizintechnik GmbH,AKTIVA,139495,199,
optimed,AKTIVA,331035,352,
SCHWIND eye-tech-solutions GmbH,Aktiva,4747045,4792363,
Rudolf Riester GmbH,Aktiva,586547,682398,
Medline International Germany GmbH,Aktiva,860508,1003342,
XENIOS AG,Aktiva,122011,97411,
Schütz Dental GmbH,AKTIVA,272183,64998,
Medika Medizintechnik GmbH,A K T I V A,14436,10890,
Audia Akustik GmbH,Aktiva,411142,364,
BUNZL Healthcare GmbH,Aktiva,3719,4111,
Bernafon Hörgeräte GmbH,Aktiva,22863,37,
WILAmed GmbH,AKTIVA,3666349,2802759,
ITM Isotopen Technologien München AG,Aktiva,1894,2034,
Agfa-Gevaert HealthCare GmbH,AKTIVA,1312898,1540887,
Hemoteq AG,AKTIVA,1066261,1160,
Aristotech Industries GmbH,Aktiva,4265896,5011106,
Christian Diener GmbH,Aktiva,752176,1085036,
Promedia A. Ahnfeldt GmbH,AKTIVA,1,1,
